,Concept_ID,no,fi
163,Feder::N,fjær,höyhen
164,Fell::N,skinn,talja
165,Flügel::N,vinge,siipi
166,Klaue::N,klauv,kynsi
167,Kralle::N,klo,kynsi
168,Schwanz::N,hale,häntä
169,Schwanz::N,hale,pyrstö
170,Ei::N,egg,muna
171,Nest::N,rede,pesä
172,Bau::N,hi,pesä
173,Tier::N,dyr,eläin
174,Herde::N,flokk,lauma
175,Kuh::N,ku,lehmä
176,Bulle::N,tyr,sonni
177,Pferd::N,hest,hevonen
178,Schaf::N,får,lammas
179,Schwein::N,gris,sika
180,Hund::N,hund,koira
181,Katze::N,katt,kissa
182,Bär::N,bjørn,karhu
183,Eichhörnchen::N,ekorn,orava
184,Elch::N,elg,hirvi
185,Fuchs::N,rev,kettu
186,Hase::N,hare,jänis
187,Maus::N,mus,hiiri
188,Wolf::N,ulv,susi
189,Wolf::N,varg,susi
190,Vogel::N,fugl,lintu
191,Schwarm::N,sverm,parvi
192,Huhn::N,høne,kana
193,Hahn::N,hane,kukko
194,Gans::N,gås,hanhi
195,Adler::N,ørn,kotka
196,Ente::N,and,ankka
197,Eule::N,ugle,pöllö
198,Kranich::N,trane,kurki
199,Krähe::N,kråke,varis
200,Kuckuck::N,gjøk,käki
201,Schwan::N,svane,joutsen
202,Fisch::N,fisk,kala
203,Barsch::N,abbor,ahven
204,Hecht::N,gjedde,hauki
205,Schlange[Tier]::N,orm,käärme
206,Schlange[Tier]::N,slange,käärme
207,Wurm::N,orm,mato
208,Wurm::N,mark,mato
209,Spinne::N,edderkopp,hämähäkki
210,Ameise::N,maur,muurahainen
211,Laus::N,lus,täi
212,Mücke::N,mygg,sääski
213,Mücke::N,mygg,hyttynen
214,Fliege::N,flue,kärpänen
215,Schmetterling::N,sommerfugl,perhonen
216,Beere::N,bær,marja
217,Apfel::N,eple,omena
218,Pilz::N,sopp,sieni
219,Zwiebel::N,løk,sipuli
220,Saat::N,sæd,siemenet
221,Korn::N,korn,jyvä
222,Korn::N,korn,vilja
223,Heu::N,høy,heinä
224,Schale::N,skall,kuori
225,Grube::N,grop,kuoppa
226,Falle::N,felle,loukku
227,Schlinge::N,snare,ansa
228,Spur::N,spor,jälki
229,Asche::N,aske,tuhka
230,Dreck::N,møkk,lika
231,Dreck::N,skitt,lika
232,Eisen::N,jern,rauta
233,Gold::N,gull,kulta
234,Silber::N,sølv,hopea
235,Kohle::N,kol,hiili
236,Kohle::N,kull,hiili
237,Glas::N,glass,lasi
238,Lehm::N,leire,savi
239,Sand::N,sand,hiekka
240,Mensch::N,menneske,ihminen
241,Mann::N,mann,mies
242,Frau::N,kvinne,nainen
243,Kind::N,barn,lapsi
244,Junge::N,gutt,poika
245,Mädchen::N,pike,tyttö
246,Mädchen::N,jente,tyttö
247,Familie::N,familie,perhe
248,Großvater::N,bestefar,isoisä
249,Großmutter::N,bestemor,isoäiti
250,Eltern::N,foreldre,vanhemmat
251,Vater::N,far,isä
252,Mutter::N,mor,äiti
253,Sohn::N,sønn,poika
254,Tochter::N,datter,tytär
255,Bruder::N,bror,veli
256,Schwester::N,søster,sisko
257,Onkel::N,onkel,eno
258,Onkel::N,onkel,setä
259,Tante::N,tante,täti
260,Ehemann::N,ektemann,mies
261,Ehemann::N,ektemann,aviomies
262,Ehefrau::N,hustru,vaimo
263,Ehefrau::N,hustru,aviovaimo
264,Freude::N,glede,ilo
265,Freude::N,glede,riemu
266,Gelächter::N,latter,nauru
267,Glück::N,lykke,onni
268,Kummer::N,sorg,suru
269,Kummer::N,sorg,murhe
270,Wunsch::N,ønske,toive
271,Wunsch::N,ønske,toivomus
272,Lust::N,lyst,himo
273,Geist::N,ånd,henki
274,Gedanke::N,tanke,aate
275,Gedanke::N,tanke,ajatus
276,Gedächtnis::N,minne,muisti
277,Gedächtnis::N,hukommelse,muisti
278,Verstand::N,forstand,äly
279,Verstand::N,forstand,järki
280,Verstand::N,forstand,ymmärrys
281,Sinn::N,mening,merkitys
282,Sinn::N,betydning,merkitys
283,Grund::N,grunn,syy
284,Grund::N,grunn,peruste
285,Wahrheit::N,sannhet,tosi
286,Wahrheit::N,sannhet,totuus
287,Gespräch::N,samtale,puhelu
288,Gespräch::N,samtale,keskustelu
289,Märchen::N,eventyr,satu
290,Erzählung::N,fortelling,tarina
291,Erzählung::N,fortelling,kertomus
292,Nachricht::N,melding,tieto
293,Nachricht::N,melding,ilmoitus
294,Neuigkeit::N,nyhet,uutinen
295,Name::N,navn,nimi
296,Rätsel::N,gåte,arvoitus
297,Rede::N,tale,puhe
298,Sprache::N,språk,kieli
299,Stimme::N,stemme,ääni
300,Wort::N,ord,sana
301,Zeichen::N,tegn,merkki
302,Ruf::N,rop,kutsu
303,Lärm::N,bråk,melu
304,Lärm::N,bråk,hälinä
305,Laut::N,lyd,ääni
306,Ton::N,tone,sävel
307,Lied::N,vise,laulu
308,Ruhe::N,ro,lepo
309,Ruhe::N,ro,rauha
310,Leute::N,folk,väki
311,Leute::N,folk,ihmiset
312,Volk::N,folk,kansa
313,Arbeit::N,arbeid,työ
314,Gast::N,gjest,vieras
315,Geschenk::N,gave,lahja
316,Spiel::N,lek,peli
317,Spiel::N,lek,leikki
318,Spiel::N,spill,peli
319,Spiel::N,spill,leikki
320,Gesellschaft::N,selskap,seura
321,Hilfe::N,hjelp,apu
322,Freund::N,venn,ystävä
323,Kamerad::N,kamerat,toveri
324,Angelegenheit::N,sak,asia
325,Angelegenheit::N,anliggende,asia
326,Anzahl::N,antall,lukumäärä
327,Art::N,art,laji
328,Art::N,slag,laji
329,Stück::N,stykke,pala
330,Stück::N,stykke,kappale
331,Teil::N,del,osa
332,Hälfte::N,halvdel,puoli
333,Kreis::N,ring,ympyrä
334,Kreis::N,sirkel,ympyrä
335,Kreuz::N,kors,risti
336,Kreuz::N,kryss,risti
337,Linie::N,linje,viiva
338,Strich::N,strek,piirto
339,Abstand::N,avstand,väli
340,Abstand::N,avstand,väljyys
341,Entfernung::N,avstand,etäisyys
342,Gegend::N,strøk,seutu
343,Platz::N,plass,tila
344,Ort::N,sted,kohta
345,Ort::N,sted,paikka
346,Seite::N,side,sivu
347,Seite::N,side,kylki
348,Mitte::N,midte,keskus
349,Mitte::N,midte,puoliväli
350,Gegenstand::N,gjenstand,kalu
351,Gegenstand::N,gjenstand,esine
352,Sache::N,sak,asia
353,Rand::N,rand,ääri
354,Rand::N,rand,syrjä
355,Kante::N,kant,särmä
356,Ecke::N,hjørne,nurkka
357,Spitze::N,spiss,terä
358,Spitze::N,spiss,kärki
359,Ende::N,ende,pää
360,Ende::N,ende,perä
361,Loch::N,hull,kolo
362,Loch::N,hull,reikä
363,Winkel::N,vinkel,kulma
364,Muster::N,mønster,kuvio
365,Größe::N,størrelse,koko
366,Größe::N,størrelse,suuruus
367,Länge::N,lengde,pituus
368,Höhe::N,høyde,korkeus
369,Gewicht::N,vekt,paino
370,Menge::N,mengde,määrä
371,Haufen::N,haug,kasa
372,Haufen::N,bunke,kasa
373,Reihe::N,rekke,rivi
374,Boot::N,båt,vene
375,Ruder::N,åre,airo
376,Schlitten::N,slede,reki
377,Schlitten::N,slede,kelkka
378,Schlitten::N,kjelke,reki
379,Schlitten::N,kjelke,kelkka
380,Ski::N,ski,suksi
381,Lagerfeuer::N,leirbål,nuotio
382,Last::N,bør,kuorma
383,Last::N,last,kuorma
384,Gang::N,gang,kulku
385,Gang::N,gang,käynti
386,Schritt::N,steg,askel
387,Schritt::N,skritt,askel
388,Norden::N,nord,pohjoinen
389,Süden::N,sør,etelä
390,Westen::N,vest,länsi
391,Osten::N,øst,itä
392,Holz::N,tre,puu
393,Brett::N,fjøl,lauta
394,Brett::N,brett,lauta
395,Platte::N,plate,levy
396,Stütze::N,støtte,noja
397,Stange::N,stang,tanko
398,Stock::N,pinne,keppi
399,Stab::N,stav,sauva
400,Stab::N,stav,seiväs
401,Stab::N,kjepp,sauva
402,Stab::N,kjepp,seiväs
403,Rohr::N,rør,putki
404,Haus::N,hus,talo
405,Heim::N,hjem,koti
406,Ofen::N,ovn,uuni
407,Fußboden::N,gulv,lattia
408,Tisch::N,bord,pöytä
409,Stuhl::N,stol,tuoli
410,Wiege::N,vogge,kehto
411,Bett::N,seng,sänky
412,Regal::N,reol,hylly
413,Regal::N,hylle,hylly
414,Kiste::N,kasse,arkku
415,Kiste::N,kasse,kirstu
416,Kiste::N,kasse,laatikko
417,Fenster::N,vindu,ikkuna
418,Tür::N,dør,ovi
419,Tor::N,port,portti
420,Zaun::N,gjerde,aita
421,Dach::N,tak,katto
422,Leiter::N,stige,tikkaat
423,Leiter::N,stige,tikapuut
424,Besen::N,kost,luuta
425,Spaten::N,spade,lapio
426,Schaufel::N,skuffe,lapio
427,Gabel::N,gaffel,haarukka
428,Löffel::N,skje,lusikka
429,Messer::N,kniv,veitsi
430,Nagel::N,spiker,naula
431,Netz::N,nett,verkko
432,Haken::N,krok,haka
433,Haken::N,krok,koukku
434,Griff::N,tak,ripa
435,Griff::N,tak,kahva
436,Griff::N,håndtak,ripa
437,Griff::N,håndtak,kahva
438,Schloss::N,lås,lukko
439,Bild::N,bilde,kuva
440,Figur::N,figur,kuvio
441,Puppe::N,dukke,nukke
442,Beutel::N,pose,pussi
443,Bündel::N,bylt,nippu
444,Bündel::N,bylt,kimppu
445,Tasche::N,veske,laukku
446,Eimer::N,bøtte,sanko
447,Eimer::N,bøtte,ämpäri
448,Deckel::N,lokk,kansi
449,Geschirr::N,kjøkkentøy,astia
450,Sack::N,sekk,säkki
451,Tasse::N,kopp,kuppi
452,Topf::N,gryte,pata
453,Kessel::N,kjele,kattila
454,Essen::N,mål,syönti
455,Nahrung::N,mat,ruoka
456,Nahrung::N,mat,ravinto
457,Nahrung::N,næring,ruoka
458,Nahrung::N,næring,ravinto
459,Speise::N,matrett,ruoka
460,Fleisch::N,kjøtt,liha
461,Getreide::N,korn,vilja
462,Brei::N,grøt,puuro
463,Brot::N,brød,leipä
464,Scheibe::N,skive,viipale
465,Fett::N,fett,rasva
466,Butter::N,smør,voi
467,Öl::N,olje,öljy
468,Salz::N,salt,suola
469,Suppe::N,suppe,keitto
470,Honig::N,honning,hunaja
471,Milch::N,melk,maito
472,Tee::N,te,tee
473,Leder::N,lær,nahka
474,Leder::N,skinn,nahka
475,Wolle::N,ull,villa
476,Stoff::N,tøy,kangas
477,Stoff::N,stoff,kangas
478,Nadel::N,nål,neula
479,Faden::N,tråd,lanka
480,Knopf::N,knapp,nappi
481,Knoten::N,knute,solmu
482,Farbe::N,farge,maali
483,Kleidung::N,påkledning,vaatteet
484,Hemd::N,skjorte,paita
485,Kragen::N,krage,kaulus
486,Ärmel::N,erme,hiha
487,Hose::N,bukse,housut
488,Gürtel::N,belte,vyö
489,Mütze::N,lue,lakki
490,Schuh::N,sko,kenkä
491,Stiefel::N,støvel,saapas
492,Ring::N,ring,sormus
493,Band::N,band,nauha
494,Kamm::N,kam,kampa
495,Spiegel::N,speil,peili
496,Riemen::N,rem,hihna
497,Schnur::N,snor,naru
498,Schnur::N,snor,nuora
499,Leine::N,line,talutushihna
500,Decke::N,teppe,peite
501,Kissen::N,pute,tyyny
502,Kissen::N,pute,pielus
503,Tuch::N,tøy,huivi
504,Handtuch::N,håndkle,pyyheliina
505,Kraft::N,kraft,väki
506,Kraft::N,kraft,voima
507,Stärke::N,styrke,vahvuus
508,Gesundheit::N,helse,terveys
509,Gesundheit::N,sunnhet,terveys
510,Krankheit::N,syke,tauti
511,Krankheit::N,syke,sairaus
512,Krankheit::N,sykdom,tauti
513,Krankheit::N,sykdom,sairaus
514,Schmerz::N,smerte,kipu
515,Schmerz::N,smerte,särky
516,Wunde::N,sår,haava
517,Fieber::N,feber,kuume
518,Arznei::N,medisin,lääke
519,Arznei::N,legemiddel,lääke
520,Brücke::N,bro,silta
521,Brunnen::N,brønn,kaivo
522,Weide::N,beite,laidun
523,Pfad::N,sti,polku
524,Weg::N,vei,tie
525,Straße::N,gate,katu
526,Dorf::N,landsby,kylä
527,Stadt::N,by,kaupunki
528,Brief::N,brev,kirje
529,Buch::N,bok,kirja
530,Buchstabe::N,bokstav,kirjain
531,Zeitung::N,avis,lehti
532,Zeitung::N,avis,sanomalehti
533,Leben::N,liv,elo
534,Leben::N,liv,elämä
535,Tod::N,død,kuolema
536,Grab::N,grav,hauta
537,Kirche::N,kirke,kirkko
538,Sünde::N,synd,synti
539,Gott::N,gud,jumala
540,Arbeiter::N,arbeider,työläinen
541,Chef::N,sjef,päällikkö
542,Meister::N,mester,mestari
543,Arzt::N,lege,lääkäri
544,Lehrer::N,lærer,opettaja
545,Geld::N,penger,raha
546,Geschäft::N,forretning,liike
547,Laden::N,butikk,puoti
548,Laden::N,butikk,kauppa
549,Preis::N,pris,hinta
550,Ware::N,vare,tavara
551,Nutzen::N,nytte,hyöty
552,Reichtum::N,rikdom,rikkaus
553,Welt::N,verden,maailma
554,Land::N,land,maa
555,Staat::N,stat,valtio
556,König::N,konge,kuningas
557,Macht::N,makt,mahti
558,Grenze::N,grense,raja
559,Krieg::N,krig,sota
560,Feind::N,fiende,vihollinen
561,Gewalt::N,vold,väkivalta
562,Kampf::N,kamp,taistelu
563,Bogen[Waffe]::N,bue,jousi
564,Pfeil::N,pil,nuoli
565,Gewehr::N,gevær,kivääri
566,Fehler::N,feil,vika
567,Fehler::N,feil,virhe
568,Lüge::N,løgn,valhe
569,Schaden::N,skade,vaurio
570,Schaden::N,skade,vahinko
571,Unglück::N,uhell,vahinko
572,Unglück::N,uhell,onnettomuus
573,Schuld::N,skyld,syy
574,Alter::N,alder,ikä
575,Schluss::N,slutt,loppu
576,Zeit::N,tid,aika
577,Tag::N,dag,päivä
578,Morgen::N,morgen,aamu
579,Morgen::N,morgen,huomen
580,Mittag::N,middag,keskipäivä
581,Abend::N,aften,ilta
582,Nacht::N,natt,yö
583,Woche::N,uke,viikko
584,Monat::N,måned,kuukausi
585,Jahr::N,år,vuosi
586,Frühling::N,vår,kevät
587,Sommer::N,sommer,kesä
588,Herbst::N,høst,syksy
589,Winter::N,vinter,talvi
590,Januar::N,januar,tammikuu
591,Februar::N,februar,helmikuu
592,März::N,mars,maaliskuu
593,April::N,april,huhtikuu
594,Mai::N,mai,toukokuu
595,Juni::N,juni,kesäkuu
596,Juli::N,juli,heinäkuu
597,August::N,august,elokuu
598,September::N,september,syyskuu
599,Oktober::N,oktober,lokakuu
600,November::N,november,marraskuu
601,Dezember::N,desember,joulukuu
602,Montag::N,mandag,maanantai
603,Dienstag::N,tirsdag,tiistai
604,Mittwoch::N,onsdag,keskiviikko
605,Donnerstag::N,torsdag,torstai
606,Freitag::N,fredag,perjantai
607,Samstag::N,lørdag,lauantai
608,Sonntag::N,søndag,sunnuntai
609,groß::A,stor,iso
610,groß::A,stor,suuri
611,klein::A,liten,pieni
612,lang::A,lang,pitkä
613,kurz::A,kort,lyhyt
614,breit::A,bred,leveä
615,schmal::A,smal,kapea
616,dicht::A,tett,taaja
617,dick[Gegenstand]::A,tykk,paksu
618,dünn::A,tynn,ohut
619,fein::A,fin,hieno
620,fest::A,fast,luja
621,flach::A,flat,litteä
622,flach::A,flat,tasainen
623,glatt::A,glatt,sileä
624,glatt::A,glatt,siloinen
625,hart::A,hard,kova
626,weich::A,myk,pehmeä
627,weich::A,bløt,pehmeä
628,rund::A,rund,pyöreä
629,spitz::A,spiss,terävä
630,scharf::A,kvass,terävä
631,stumpf::A,stubb,tylsä
632,schwer::A,tung,raskas
633,schwer::A,tung,painava
634,schön::A,pen,kaunis
635,schön::A,vakker,kaunis
636,heiß::A,het,kuuma
637,warm::A,varm,lämmin
638,kalt::A,kald,kylmä
639,kalt::A,kald,viluinen
640,kühl::A,kjølig,viileä
641,frisch::A,fersk,tuore
642,feucht::A,fuktig,kostea
643,nass::A,våt,märkä
644,trocken::A,tørr,kuiva
645,voll::A,full,täysi
646,leer::A,tom,tyhjä
647,offen::A,åpen,avonainen
648,geschlossen::A,lukket,suljettu
649,sauber::A,ren,puhdas
650,schmutzig::A,skitten,likainen
651,roh::A,rå,raaka
652,reif::A,moden,kypsä
653,lecker::A,lekker,herkullinen
654,süß::A,søt,makea
655,bitter::A,besk,karvas
656,bitter::A,besk,kitkerä
657,bitter::A,bitter,karvas
658,bitter::A,bitter,kitkerä
659,sauer::A,sur,hapan
660,hell::A,lys,kirkas
661,hell::A,lys,valoisa
662,dunkel::A,mørk,pimeä
663,schwarz::A,svart,musta
664,weiß::A,hvit,valkea
665,rot::A,rød,punainen
666,gelb::A,gul,keltainen
667,blau::A,blå,sininen
668,grün::A,grønn,vihreä
669,grau::A,grå,harmaa
670,bunt::A,broket,kirjava
671,billig::A,billig,halpa
672,billig::A,billig,huokea
673,teuer::A,dyr,kallis
674,wertvoll::A,verdifull,arvokas
675,blind::A,blind,sokea
676,taub::A,døv,kuuro
677,kräftig::A,kraftig,väkevä
678,kräftig::A,kraftig,voimakas
679,stark::A,sterk,vahva
680,schwach::A,svak,heikko
681,fett::A,fet,lihava
682,schlank::A,slank,hoikka
683,schlank::A,slank,solakka
684,hübsch::A,pen,soma
685,hübsch::A,pen,sievä
686,böse::A,slem,paha
687,böse::A,slem,häijy
688,dumm::A,dum,tyhmä
689,dumm::A,dum,typerä
690,faul::A,lat,laiska
691,faul::A,doven,laiska
692,fleißig::A,flittig,ahkera
693,geizig::A,gjerrig,saita
694,klug::A,klok,älykäs
695,geschickt::A,hendig,taitava
696,geschickt::A,skikket,taitava
697,lieb::A,kjær,rakas
698,lieb::A,snill,rakas
699,lustig::A,morsom,hauska
700,lustig::A,morsom,iloinen
701,sanft::A,blid,lauha
702,sanft::A,blid,lempeä
703,hungrig::A,sulten,nälkäinen
704,krank::A,syk,sairas
705,nackt::A,naken,alaston
706,traurig::A,sørgmodig,surullinen
707,traurig::A,sørgmodig,murheellinen
708,lebendig::A,levende,elävä
709,gut::A,god,hyvä
710,schlecht::A,dårlig,paha
711,schlecht::A,dårlig,huono
712,richtig::A,riktig,oikea
713,schlimm::A,slem,paha
714,wahr::A,sann,tosi
715,alt::A,gammel,vanha
716,neu::A,ny,uusi
717,ehemalig::A,forhenværende,entinen
718,ehemalig::A,forhenværende,muinainen
719,alt[Lebewesen]::A,gammel,vanha
720,jung::A,ung,nuori
721,arm::A,fattig,köyhä
722,reich::A,rik,rikas
723,bekannt::A,kjent,tuttu
724,bekannt::A,kjent,tunnettu
725,berühmt::A,berømt,kuuluisa
726,fremd::A,fremmed,vieras
727,verschieden::A,forskjellig,eri
728,verschieden::A,forskjellig,erilainen
729,nah::A,nær,läheinen
730,fern::A,fjern,etäinen
731,linker::A,venstre,vasen
732,rechter::A,høyre,oikea
733,anderer::A,annen,muu
734,anderer::A,annen,toinen
735,erster::A,første,ensimmäinen
736,zweiter::A,annen,toinen
737,dritter::A,tredje,kolmas
738,letzter::A,sist,viimeinen
739,allein::ADV,alene,yksin
740,auf einmal::ADV,med ett,yhdellä kertaa
741,zusammen::ADV,sammen,yhdessä
742,lange::ADV,lenge,kauan
743,lange::ADV,lenge,pitkään
744,plötzlich::ADV,plutselig,äkkiä
745,sofort::ADV,straks,heti
746,später::ADV,senere,myöhemmin
747,jetzt::ADV,nå,nyt
748,heute::ADV,i dag,tänään
749,morgen::ADV,i morgen,huomenna
750,bald::ADV,snart,pian
751,dann::ADV,så,sitten
752,gestern::ADV,i går,eilen
753,einst::ADV,engang,aikanaan
754,damals::ADV,den gang,silloin
755,damals::ADV,den gang,siihen aikaan
756,danach::ADV,deretter,sen jälkeen
757,vorher::ADV,før,ennen
758,vorher::ADV,i forveien,ennen
759,zuerst::ADV,først,ensin
760,zuerst::ADV,først,ensiksi
761,einmal::ADV,en gang,kerran
762,manchmal::ADV,somme tider,joskus
763,oft::ADV,ofte,usein
764,immer::ADV,alltid,aina
765,niemals::ADV,aldri,ei koskaan
766,hier::ADV,her,tässä
767,hier::ADV,her,täällä
768,hierhin::ADV,hit,tähän
769,von hier::ADV,herfra,tästä
770,von hier::ADV,herfra,täältä
771,dort::ADV,der,siinä
772,dort::ADV,der,siellä
773,dorthin::ADV,dit,sinne
774,dorthin::ADV,dit,tuonne
775,geradeaus::ADV,rett fram,suoraan
776,vorwärts::ADV,fram,eteenpäin
777,vorwärts::ADV,framover,eteenpäin
778,rückwärts::ADV,baklengs,taaksepäin
779,zurück::ADV,tilbake,takaisin
780,unten::ADV,nede,alhaalla
781,hinab::ADV,ned,alas
782,hinab::ADV,nedover,alas
783,oben::ADV,oppe,ylhäällä
784,oben::ADV,ovenpå,ylhäällä
785,hinauf::ADV,opp,ylös
786,hinauf::ADV,oppover,ylös
787,überall::ADV,overalt,kaikkialla
788,nicht::ADV,ikke,ei
789,ein wenig::ADV,litt,vähän
790,kaum::ADV,neppe,tuskin
791,sehr::ADV,svært,kovin
792,sehr::ADV,svært,oikein
793,so::ADV,så,näin
794,noch::ADV,enda,vielä
795,nur::ADV,bare,vain
796,nur::ADV,bare,ainoastaan
797,schon::ADV,alt,jo
798,schon::ADV,allerede,jo
799,wieder::ADV,igjen,taas
800,wieder::ADV,igjen,jälleen
801,vergebens::ADV,forgjeves,turhaan
802,vor::PRP,foran,edessä
803,vor::PRP,utenfor,edessä
804,hinter::PRP,bak,takana
805,hinter::PRP,bakom,takana
806,unter::PRP,under,alla
807,durch::PRP,gjennom,läpi
808,durch::PRP,gjennom,kautta
809,durch::PRP,igjennom,läpi
810,durch::PRP,igjennom,kautta
811,neben::PRP,ved siden av,vieressä
812,zwischen::PRP,mellom,välillä
813,wegen::PRP,på grunn av,takia
814,wegen::PRP,på grunn av,vuoksi
815,dies::PRN,dette,tämä
816,das::PRN,det,se
817,alles::PRN,alt,kaikki
818,ich::PRN,jeg,minä
819,du::PRN,du,sinä
820,er::PRN,han,hän
821,wir::PRN,vi,me
822,ihr::PRN,dere,te
823,sie::PRN,de,he
824,was::FPRN,hva,mikä
825,wer::FPRN,hvem,ken
826,wer::FPRN,hvem,kuka
827,wo::FADV,hvor,missä
828,wohin::FADV,hvor ... hen,mihin
829,wie::FADV,hvordan,miten
830,wie::FADV,hvordan,kuinka
831,warum::FADV,hvorfor,miksi
832,wieviel::FNUM,hvor mye,paljonko
833,wieviel::FNUM,hvor mye,kuinka paljon
834,eins::NUM,en,yksi
835,eins::NUM,ett,yksi
836,zwei::NUM,to,kaksi
837,drei::NUM,tre,kolme
