,Concept_ID,no,ka
84,Schatten::N,skygge,ლანდი
85,Schatten::N,skygge,ჩრდილი
86,Wetter::N,vær,ამინდი
87,Nebel::N,tåke,ნისლი
88,Wolke::N,sky,ღრუბელი
89,Regen::N,regn,წვიმა
90,Schnee::N,snø,თოვლი
91,Eis::N,is,თოში
92,Eis::N,is,ყინული
93,Frost::N,frost,ყინვა
94,Kälte::N,kulde,სიცივე
95,Hitze::N,hete,სიცხე
96,Raureif::N,rimfrost,ჭირხლი
97,Raureif::N,rimfrost,თრთვილი
98,Regenbogen::N,regnbue,ცისარტყელა
99,Donner::N,torden,ქუხილი
100,Strömung::N,strømning,დინება
101,Tropfen::N,dråpe,წვეთი
102,Schaum::N,skum,ქაფი
103,Schaum::N,skum,დორბლი
104,Schmutz::N,søl,ჭუჭყი
105,Schmutz::N,søl,ტალახი
106,Schmutz::N,skitt,ჭუჭყი
107,Schmutz::N,skitt,ტალახი
108,See::N,sjø,ტბა
109,Sumpf::N,sump,ჭაობი
110,Sumpf::N,myrlende,ჭაობი
111,Moor::N,myr,ტორფნარი
112,Moor::N,myrhei,ტორფნარი
113,Wiese::N,eng,ველი
114,Wiese::N,eng,მდელო
115,Wald::N,skog,ტყე
116,Hügel::N,haug,ბორცვი
117,Hügel::N,bakke,ბორცვი
118,Anhöhe::N,haug,მაღლობი
119,Anhöhe::N,bakke,მაღლობი
120,Berg::N,berg,მთა
121,Berg::N,fjell,მთა
122,Gipfel::N,topp,მწვერვალი
123,Höhle::N,hule,მღვიმე
124,Höhle::N,hule,გამოქვებული
125,Abhang::N,li,ფერდობი
126,Abhang::N,skråning,ფერდობი
127,Quelle::N,kilde,წყარო
128,Quelle::N,kilde,სათავე
129,Bach::N,bekk,რუ
130,Bach::N,bekk,ნაკადული
131,Fluss::N,elv,მდინარე
132,Ufer::N,bredd,კიდე
133,Ufer::N,bredd,ნაპირი
134,Küste::N,kyst,ნაპირი
135,Festland::N,fastland,ხმელეთი
136,Meer::N,hav,ზღვა
137,Bucht::N,bukt,ყურე
138,Insel::N,øy,კუნძული
139,Blume::N,blomst,ყვავილი
140,Gras::N,gress,ბალახი
141,Wurzel::N,rot,ძირი
142,Wurzel::N,rot,ფესვი
143,Baum::N,tre,ხე
144,Stamm::N,stamme,ტანი
145,Rinde::N,bark,ქერქი
146,Ast::N,gren,ტოტი
147,Zweig::N,kvist,შტო
148,Blatt::N,blad,ფოთოლი
149,Birke::N,bjørk,არყი
150,Kiefer[Baum]::N,furu,ფიჭვი
151,Weide[Baum]::N,selje,ტირიფი
152,Weide[Baum]::N,piletre,ტირიფი
153,Tanne::N,gran,ნაძვი
154,Horn::N,horn,რქა
155,Feder::N,fjær,ფრთა
156,Fell::N,skinn,ტყავი
157,Flügel::N,vinge,ფრთა
158,Klaue::N,klauv,კლანჭი
159,Kralle::N,klo,ტორი
160,Schwanz::N,hale,კუდი
161,Ei::N,egg,კვერცხი
162,Nest::N,rede,ბუდე
163,Bau::N,hi,სორო
164,Tier::N,dyr,ნადირი
165,Tier::N,dyr,ცხოველი
166,Herde::N,flokk,ფარა
167,Kuh::N,ku,ფური
168,Kuh::N,ku,ძროხა
169,Bulle::N,tyr,ხარი
170,Pferd::N,hest,რაში
171,Pferd::N,hest,ცხენი
172,Schaf::N,får,ცხვარი
173,Schwein::N,gris,ღორი
174,Hund::N,hund,ძაღლი
175,Katze::N,katt,კატა
176,Bär::N,bjørn,დათვი
177,Eichhörnchen::N,ekorn,ციყვი
178,Elch::N,elg,ცხენ-ირემი
179,Fuchs::N,rev,მელა
180,Hase::N,hare,კურდღელი
181,Maus::N,mus,თაგვი
182,Wolf::N,ulv,მგელი
183,Wolf::N,varg,მგელი
184,Vogel::N,fugl,ჩიტი
185,Vogel::N,fugl,ფრინველი
186,Schwarm::N,sverm,გუნდი
187,Huhn::N,høne,დედალი
188,Hahn::N,hane,მამალი
189,Gans::N,gås,ბატი
190,Adler::N,ørn,არწივი
191,Ente::N,and,იხვი
192,Eule::N,ugle,ბუ
193,Kranich::N,trane,წერო
194,Krähe::N,kråke,ყვავი
195,Kuckuck::N,gjøk,გუგული
196,Schwan::N,svane,გედი
197,Fisch::N,fisk,თევზი
198,Barsch::N,abbor,ქორჭილა
199,Hecht::N,gjedde,ქარიყლაპია
200,Schlange[Tier]::N,orm,გველი
201,Schlange[Tier]::N,slange,გველი
202,Wurm::N,orm,ჭია
203,Wurm::N,mark,ჭია
204,Spinne::N,edderkopp,ობობა
205,Ameise::N,maur,ჭიანჭველა
206,Laus::N,lus,ტილი
207,Laus::N,lus,მკბენარი
208,Mücke::N,mygg,კოღო
209,Fliege::N,flue,ბუზი
210,Schmetterling::N,sommerfugl,პეპელა
211,Beere::N,bær,კენკრა
212,Apfel::N,eple,ვაშლი
213,Pilz::N,sopp,სოკო
214,Zwiebel::N,løk,ხახვი
215,Saat::N,sæd,თესლი
216,Korn::N,korn,მარცვალი
217,Heu::N,høy,თივა
218,Schale::N,skall,ჩენჩო
219,Grube::N,grop,ორმო
220,Falle::N,felle,ხაფანგი
221,Schlinge::N,snare,მახე
222,Spur::N,spor,კვალი
223,Asche::N,aske,ფერფლი
224,Dreck::N,møkk,ტალახი
225,Dreck::N,møkk,სიბინძურე
226,Dreck::N,skitt,ტალახი
227,Dreck::N,skitt,სიბინძურე
228,Eisen::N,jern,რკინა
229,Gold::N,gull,ოქრო
230,Silber::N,sølv,ვერცხლი
231,Kohle::N,kol,ნახშირი
232,Kohle::N,kull,ნახშირი
233,Glas::N,glass,მინა
234,Lehm::N,leire,თიხა
235,Sand::N,sand,ქვიშა
236,Mensch::N,menneske,ადამიანი
237,Mann::N,mann,კაცი
238,Frau::N,kvinne,ქალი
239,Kind::N,barn,ბავშვი
240,Junge::N,gutt,ვაჟი
241,Mädchen::N,pike,გოგო
242,Mädchen::N,jente,გოგო
243,Familie::N,familie,ოჯახი
244,Großvater::N,bestefar,პაპა
245,Großvater::N,bestefar,ბაბუა
246,Großmutter::N,bestemor,ბებია
247,Großmutter::N,bestemor,დიდედა
248,Eltern::N,foreldre,მშობლები
249,Vater::N,far,მამა
250,Mutter::N,mor,დედა
251,Sohn::N,sønn,ვაჟიშვილი
252,Tochter::N,datter,ქალიშვილი
253,Bruder::N,bror,ძმა
254,Schwester::N,søster,და
255,Onkel::N,onkel,ბიძა
256,Tante::N,tante,დეიდა
257,Tante::N,tante,მამიდა
258,Ehemann::N,ektemann,ქმარი
259,Ehefrau::N,hustru,ცოლი
260,Freude::N,glede,სიხარული
261,Gelächter::N,latter,სიცილი
262,Glück::N,lykke,ბედნიერება
263,Kummer::N,sorg,მწუხარება
264,Wunsch::N,ønske,წადილი
265,Wunsch::N,ønske,სურვილი
266,Lust::N,lyst,წადილი
267,Geist::N,ånd,სული
268,Gedanke::N,tanke,ფიქრი
269,Gedächtnis::N,minne,მეხსიერება
270,Gedächtnis::N,hukommelse,მეხსიერება
271,Verstand::N,forstand,ჭკუა
272,Verstand::N,forstand,გონება
273,Sinn::N,mening,მნიშვნელობა
274,Sinn::N,betydning,მნიშვნელობა
275,Grund::N,grunn,მიზეზი
276,Wahrheit::N,sannhet,სიმართლე
277,Wahrheit::N,sannhet,ჭეშმარიტება
278,Gespräch::N,samtale,ბაასი
279,Gespräch::N,samtale,საუბარი
280,Märchen::N,eventyr,არაკი
281,Märchen::N,eventyr,ზღაპარი
282,Erzählung::N,fortelling,თქმულება
283,Nachricht::N,melding,ცნობა
284,Nachricht::N,melding,ამბავი
285,Neuigkeit::N,nyhet,სიახლე
286,Name::N,navn,სახელი
287,Rätsel::N,gåte,გამოცანა
288,Rede::N,tale,სიტყვა
289,Sprache::N,språk,ენა
290,Stimme::N,stemme,ხმა
291,Wort::N,ord,სიტყვა
292,Zeichen::N,tegn,ნიშანი
293,Ruf::N,rop,ძახილი
294,Lärm::N,bråk,ხმაური
295,Laut::N,lyd,ხმა
296,Laut::N,lyd,ბგერა
297,Ton::N,tone,ტონი
298,Lied::N,vise,სიმღერა
299,Ruhe::N,ro,სიწყნარე
300,Leute::N,folk,ადამიანები
301,Volk::N,folk,ერი
302,Volk::N,folk,ხალხი
303,Arbeit::N,arbeid,მუშაობა
304,Gast::N,gjest,სტუმარი
305,Geschenk::N,gave,საჩუქარი
306,Spiel::N,lek,თამაში
307,Spiel::N,spill,თამაში
308,Gesellschaft::N,selskap,საზოგადოება
309,Hilfe::N,hjelp,შველა
310,Hilfe::N,hjelp,დახმარება
311,Freund::N,venn,მეგობარი
312,Kamerad::N,kamerat,ამხანაგი
313,Angelegenheit::N,sak,საქმე
314,Angelegenheit::N,anliggende,საქმე
315,Anzahl::N,antall,ოდენობა
316,Art::N,art,სახეობა
317,Art::N,slag,სახეობა
318,Stück::N,stykke,ნატეხი
319,Teil::N,del,წილი
320,Hälfte::N,halvdel,ნახევარი
321,Kreis::N,ring,წრე
322,Kreis::N,sirkel,წრე
323,Kreuz::N,kors,ჯვარი
324,Kreuz::N,kryss,ჯვარი
325,Linie::N,linje,ხაზი
326,Strich::N,strek,შტრიხი
327,Abstand::N,avstand,მანძილი
328,Entfernung::N,avstand,სიშორე
329,Gegend::N,strøk,არე
330,Gegend::N,strøk,მხარე
331,Platz::N,plass,ფართობი
332,Ort::N,sted,ადგილი
333,Seite::N,side,მხარე
334,Mitte::N,midte,შუა
335,Gegenstand::N,gjenstand,საგანი
336,Sache::N,sak,ნივთი
337,Rand::N,rand,კიდე
338,Kante::N,kant,ნაწიბული
339,Ecke::N,hjørne,კუთხე
340,Spitze::N,spiss,წვეტი
341,Ende::N,ende,ბოლო
342,Loch::N,hull,ხვრელი
343,Winkel::N,vinkel,კუთხე
344,Muster::N,mønster,მოხატულობა
345,Größe::N,størrelse,ზომა
346,Größe::N,størrelse,სიდიდე
347,Länge::N,lengde,სიგრძე
348,Höhe::N,høyde,სიმაღლე
349,Gewicht::N,vekt,წონა
350,Menge::N,mengde,რაოდენობა
351,Haufen::N,haug,გროვა
352,Haufen::N,bunke,გროვა
353,Reihe::N,rekke,რიგი
354,Reihe::N,rekke,წყება
355,Boot::N,båt,გემი
356,Ruder::N,åre,ხოფი
357,Ruder::N,åre,ნიჩაბი
358,Schlitten::N,slede,მარხილი
359,Schlitten::N,kjelke,მარხილი
360,Ski::N,ski,თხილამური
361,Lagerfeuer::N,leirbål,კოცონი
362,Last::N,bør,ტვირთი
363,Last::N,last,ტვირთი
364,Gang::N,gang,სვლა
365,Schritt::N,steg,ბიჯი
366,Schritt::N,skritt,ბიჯი
367,Norden::N,nord,ჩრდილოეთი
368,Süden::N,sør,სამხრეთი
369,Westen::N,vest,დასავლეთი
370,Osten::N,øst,აღმოსავლეთი
371,Holz::N,tre,ხე
372,Brett::N,fjøl,დაფა
373,Brett::N,fjøl,ფიცარი
374,Brett::N,brett,დაფა
375,Brett::N,brett,ფიცარი
376,Platte::N,plate,თლილი ქვა
377,Stütze::N,støtte,საყრდენი
378,Stange::N,stang,ჭოკი
379,Stock::N,pinne,კეტი
380,Stab::N,stav,ლატანი
381,Stab::N,kjepp,ლატანი
382,Rohr::N,rør,მილაკი
383,Haus::N,hus,სახლი
384,Heim::N,hjem,ოჯახის კერა
385,Ofen::N,ovn,ღუმელი
386,Fußboden::N,gulv,იატაკი
387,Tisch::N,bord,სუფრა
388,Tisch::N,bord,მაგიდა
389,Stuhl::N,stol,სკამი
390,Wiege::N,vogge,აკვანი
391,Bett::N,seng,საწოლი
392,Bett::N,seng,სარეცელი
393,Regal::N,reol,თაროები
394,Regal::N,hylle,თაროები
395,Kiste::N,kasse,ყუთი
396,Kiste::N,kasse,სკივრი
397,Fenster::N,vindu,ფანჯარა
398,Fenster::N,vindu,სარკმელი
399,Tür::N,dør,ბჭე
400,Tür::N,dør,კარი
401,Tor::N,port,ჭიშკარი
402,Zaun::N,gjerde,ღობე
403,Zaun::N,gjerde,გალავანი
404,Dach::N,tak,სახურავი
405,Leiter::N,stige,კიბე
406,Besen::N,kost,ცოცხი
407,Spaten::N,spade,ნიჩაბი
408,Schaufel::N,skuffe,ბარი
409,Gabel::N,gaffel,ჩანგალი
410,Löffel::N,skje,კოვზი
411,Messer::N,kniv,დანა
412,Nagel::N,spiker,ლურსმანი
413,Netz::N,nett,ბადე
414,Haken::N,krok,კავი
415,Haken::N,krok,კაუჭი
416,Griff::N,tak,ტარი
417,Griff::N,håndtak,ტარი
418,Schloss::N,lås,კლიტე
419,Schloss::N,lås,საკეტი
420,Bild::N,bilde,სურათი
421,Figur::N,figur,ფიგურა
422,Puppe::N,dukke,თოჯინა
423,Beutel::N,pose,პარკი
424,Bündel::N,bylt,გალა
425,Bündel::N,bylt,ასხმა
426,Tasche::N,veske,ჩანთა
427,Eimer::N,bøtte,ჩამჩა
428,Deckel::N,lokk,ხუფი
429,Deckel::N,lokk,სარქველი
430,Geschirr::N,kjøkkentøy,ჭურჭელი
431,Sack::N,sekk,ტომარა
432,Tasse::N,kopp,ფინჯანი
433,Topf::N,gryte,ქოთანი
434,Kessel::N,kjele,ქვაბი
435,Essen::N,mål,ჭამა
436,Nahrung::N,mat,საზრდო
437,Nahrung::N,mat,საკვები
438,Nahrung::N,næring,საზრდო
439,Nahrung::N,næring,საკვები
440,Speise::N,matrett,საჭმელი
441,Fleisch::N,kjøtt,ხორცი
442,Getreide::N,korn,მარცვლოვანი
443,Brei::N,grøt,ფაფა
444,Brot::N,brød,პური
445,Scheibe::N,skive,ნაჭერი
446,Fett::N,fett,ქონი
447,Fett::N,fett,ცხიმი
448,Butter::N,smør,კარაქი
449,Öl::N,olje,ზეთი
450,Salz::N,salt,მარილი
451,Suppe::N,suppe,სუფი
452,Honig::N,honning,თაფლი
453,Milch::N,melk,რძე
454,Tee::N,te,ჩაი
455,Leder::N,lær,ტყავი
456,Leder::N,skinn,ტყავი
457,Wolle::N,ull,მატყლი
458,Stoff::N,tøy,ქსოვილი
459,Stoff::N,stoff,ქსოვილი
460,Nadel::N,nål,ნემსი
461,Faden::N,tråd,ძაფი
462,Faden::N,tråd,მკედი
463,Knopf::N,knapp,ღილი
464,Knoten::N,knute,ნასკვი
465,Farbe::N,farge,საღებავი
466,Kleidung::N,påkledning,ტანსაცმელი
467,Hemd::N,skjorte,ხალათი
468,Hemd::N,skjorte,პერანგი
469,Kragen::N,krage,საყელო
470,Ärmel::N,erme,სახელო
471,Hose::N,bukse,შარვალი
472,Gürtel::N,belte,ქამარი
473,Mütze::N,lue,ქუდი
474,Schuh::N,sko,ფეხსაცმელი
475,Stiefel::N,støvel,ჩექმა
476,Ring::N,ring,ბეჭედი
477,Band::N,band,ბაფთი
478,Kamm::N,kam,სავარცხელი
479,Spiegel::N,speil,სარკე
480,Riemen::N,rem,ღვედი
481,Schnur::N,snor,ლარი
482,Leine::N,line,ჯაჭვი
483,Decke::N,teppe,საბანი
484,Kissen::N,pute,ბალიში
485,Tuch::N,tøy,მაუდი
486,Tuch::N,tøy,თავშალი
487,Handtuch::N,håndkle,ხელსახოცი
488,Kraft::N,kraft,ძალა
489,Stärke::N,styrke,ღონე
490,Gesundheit::N,helse,ჯანმრთელობა
491,Gesundheit::N,sunnhet,ჯანმრთელობა
492,Krankheit::N,syke,სენი
493,Krankheit::N,syke,ავადმყოფობა
494,Krankheit::N,sykdom,სენი
495,Krankheit::N,sykdom,ავადმყოფობა
496,Schmerz::N,smerte,ტკივილი
497,Wunde::N,sår,იარი
498,Wunde::N,sår,ჭრილობა
499,Fieber::N,feber,ციება
500,Arznei::N,medisin,წამალი
501,Arznei::N,legemiddel,წამალი
502,Brücke::N,bro,ხიდი
503,Brunnen::N,brønn,ჭა
504,Weide::N,beite,საძოვარი
505,Pfad::N,sti,ბილიკი
506,Weg::N,vei,გზა
507,Straße::N,gate,შარაგზა
508,Dorf::N,landsby,დაბა
509,Dorf::N,landsby,სოფელი
510,Stadt::N,by,ქალაქი
511,Brief::N,brev,წერილი
512,Buch::N,bok,წიგნი
513,Buchstabe::N,bokstav,ასო
514,Zeitung::N,avis,გაზეთი
515,Leben::N,liv,სიცოცხლე
516,Tod::N,død,სიკვდილი
517,Grab::N,grav,სამარე
518,Grab::N,grav,საფლავი
519,Kirche::N,kirke,ეკლესია
520,Sünde::N,synd,ცოდვა
521,Gott::N,gud,ღმერთი
522,Arbeiter::N,arbeider,მუშა
523,Chef::N,sjef,გამგე
524,Meister::N,mester,ოსტატი
525,Arzt::N,lege,ექიმი
526,Arzt::N,lege,მკურნალი
527,Lehrer::N,lærer,მასწავლებელი
528,Geld::N,penger,ფული
529,Geschäft::N,forretning,საქმე
530,Geschäft::N,forretning,ბიზნესი
531,Laden::N,butikk,დუქანი
532,Laden::N,butikk,მაღაზია
533,Preis::N,pris,ფასი
534,Ware::N,vare,საქონელი
535,Nutzen::N,nytte,ხეირი
536,Reichtum::N,rikdom,სიმდიდრე
537,Welt::N,verden,მსოფლიო
538,Land::N,land,მხარე
539,Land::N,land,ქვეყანა
540,Staat::N,stat,სახელმწიფო
541,König::N,konge,მეფე
542,Macht::N,makt,ძლიერება
543,Grenze::N,grense,ზღვარი
544,Krieg::N,krig,ომი
545,Feind::N,fiende,მტერი
546,Gewalt::N,vold,სისასტიკე
547,Kampf::N,kamp,ბრძოლა
548,Bogen[Waffe]::N,bue,მშვილდი
549,Pfeil::N,pil,ისარი
550,Pfeil::N,pil,მახვილი
551,Gewehr::N,gevær,თოფი
552,Gewehr::N,gevær,შაშხანა
553,Fehler::N,feil,შეცდომა
554,Lüge::N,løgn,სიცრუე
555,Schaden::N,skade,ვნება
556,Unglück::N,uhell,ხიფათი
557,Unglück::N,uhell,უბედურება
558,Schuld::N,skyld,ბრალი
559,Alter::N,alder,ასაკი
560,Schluss::N,slutt,ბოლო
561,Schluss::N,slutt,დასასრული
562,Zeit::N,tid,დრო
563,Tag::N,dag,დღე
564,Morgen::N,morgen,დილა
565,Mittag::N,middag,შუადღე
566,Abend::N,aften,საღამო
567,Nacht::N,natt,ღამე
568,Woche::N,uke,კვირა
569,Monat::N,måned,თვე
570,Jahr::N,år,წელი
571,Frühling::N,vår,გაზაფხული
572,Sommer::N,sommer,ზაფხული
573,Herbst::N,høst,შემოდგომა
574,Winter::N,vinter,ზამთარი
575,Januar::N,januar,იანვარი
576,Februar::N,februar,თებერვალი
577,März::N,mars,მარტი
578,April::N,april,აპრილი
579,Mai::N,mai,მაისი
580,Juni::N,juni,ივნისი
581,Juli::N,juli,ივლისი
582,August::N,august,აგვისტო
583,September::N,september,სექტემბერი
584,Oktober::N,oktober,ოქტომბერი
585,November::N,november,ნოემბერი
586,Dezember::N,desember,დეკემბერი
587,Montag::N,mandag,ორშაბათი
588,Dienstag::N,tirsdag,სამშაბათი
589,Mittwoch::N,onsdag,ოთხშაბათი
590,Donnerstag::N,torsdag,ხუთშაბათი
591,Freitag::N,fredag,პარასკევი
592,Samstag::N,lørdag,შაბათი
593,Sonntag::N,søndag,კვირა
594,groß::A,stor,დიდი
595,klein::A,liten,მცირე
596,klein::A,liten,პატარა
597,lang::A,lang,გრძელი
598,kurz::A,kort,მოკლე
599,breit::A,bred,ფართო
600,breit::A,bred,განიერი
601,schmal::A,smal,ვიწრო
602,schmal::A,smal,წვრილი
603,dicht::A,tett,მჭიდრო
604,dick[Gegenstand]::A,tykk,სქელი
605,dünn::A,tynn,წვრილი
606,fein::A,fin,თხელი
607,fest::A,fast,მყარი
608,flach::A,flat,ბრტყელი
609,glatt::A,glatt,გლუ
610,hart::A,hard,მაგარი
611,weich::A,myk,რბილი
612,weich::A,bløt,რბილი
613,rund::A,rund,მრგვალი
614,spitz::A,spiss,წვეტიანი
615,scharf::A,kvass,მჭრელი
616,stumpf::A,stubb,ბლაგვი
617,schwer::A,tung,მძიმე
618,schön::A,pen,ლამაზი
619,schön::A,vakker,ლამაზი
620,heiß::A,het,ცხელი
621,warm::A,varm,თბილი
622,kalt::A,kald,ცივი
623,kühl::A,kjølig,გრილი
624,frisch::A,fersk,სუფთა
625,feucht::A,fuktig,ნოტიო
626,nass::A,våt,სველი
627,trocken::A,tørr,მშრალი
628,voll::A,full,სავსე
629,leer::A,tom,ცარიელი
630,offen::A,åpen,ღია
631,offen::A,åpen,გაშლილი
632,geschlossen::A,lukket,დახურული
633,sauber::A,ren,სუფთა
634,sauber::A,ren,წმინდა
635,schmutzig::A,skitten,ტალახიანი
636,roh::A,rå,უმი
637,reif::A,moden,მწიფე
638,lecker::A,lekker,გემრიელი
639,süß::A,søt,ტკბილი
640,bitter::A,besk,მწარე
641,bitter::A,bitter,მწარე
642,sauer::A,sur,მჟავე
643,hell::A,lys,ნათელი
644,dunkel::A,mørk,ბნელი
645,schwarz::A,svart,შავი
646,weiß::A,hvit,თეთრი
647,rot::A,rød,წითელი
648,gelb::A,gul,ყვითელი
649,blau::A,blå,ლურჯი
650,blau::A,blå,ცისფერი
651,grün::A,grønn,მწვანე
652,grau::A,grå,რუხი
653,grau::A,grå,ნაცრისფერი
654,bunt::A,broket,ჭრელი
655,bunt::A,broket,ფერადი
656,billig::A,billig,იაფი
657,teuer::A,dyr,ძვირი
658,wertvoll::A,verdifull,ღირსიანი
659,blind::A,blind,ბრმა
660,taub::A,døv,ყრუ
661,kräftig::A,kraftig,ძალავანი
662,stark::A,sterk,ძლიერი
663,stark::A,sterk,ღონიერი
664,schwach::A,svak,სუსტი
665,fett::A,fet,სქელი
666,schlank::A,slank,გამხდარი
667,hübsch::A,pen,ეშხიანი
668,hübsch::A,pen,მშვენიერი
669,böse::A,slem,ავი
670,böse::A,slem,ბოროტი
671,dumm::A,dum,ბოთე
672,dumm::A,dum,სულელი
673,faul::A,lat,ზანტი
674,faul::A,lat,ზარმაცი
675,faul::A,doven,ზანტი
676,faul::A,doven,ზარმაცი
677,fleißig::A,flittig,ბეჯითი
678,fleißig::A,flittig,მუყაითი
679,geizig::A,gjerrig,ძუნწი
680,klug::A,klok,ჭკვიანი
681,geschickt::A,hendig,მარჯვე
682,geschickt::A,hendig,გაწაფული
683,geschickt::A,skikket,მარჯვე
684,geschickt::A,skikket,გაწაფული
685,lieb::A,kjær,სატრფიალო
686,lieb::A,snill,სატრფიალო
687,lustig::A,morsom,მხიარული
688,sanft::A,blid,ალერსიანი
689,sanft::A,blid,გრძნობიერი
690,hungrig::A,sulten,მშიერი
691,krank::A,syk,სნეული
692,krank::A,syk,ავადმყოფი
693,nackt::A,naken,ტიტველი
694,traurig::A,sørgmodig,მწუხარე
695,traurig::A,sørgmodig,სევდიანი
696,lebendig::A,levende,ცოცხალი
697,gut::A,god,კარგი
698,schlecht::A,dårlig,უხეირო
699,richtig::A,riktig,ნამდვილი
700,schlimm::A,slem,ცუდი
701,wahr::A,sann,სწორი
702,wahr::A,sann,ჭეშმარიტი
703,alt::A,gammel,ძველი
704,neu::A,ny,ახალი
705,ehemalig::A,forhenværende,ყოფილი
706,alt[Lebewesen]::A,gammel,ბებერი
707,jung::A,ung,ნორჩი
708,jung::A,ung,ახალგაზრდა
709,arm::A,fattig,ღარიბი
710,reich::A,rik,მდიდარი
711,bekannt::A,kjent,ცნობილი
712,berühmt::A,berømt,გამოჩენილი
713,fremd::A,fremmed,უცხო
714,fremd::A,fremmed,გარეშე
715,verschieden::A,forskjellig,სხვაგვარი
716,nah::A,nær,ახლო
717,fern::A,fjern,შორი
718,fern::A,fjern,შორეული
719,linker::A,venstre,მარცხენა
720,rechter::A,høyre,მარჯვენა
721,anderer::A,annen,სხვა
722,erster::A,første,პირველი
723,zweiter::A,annen,მეორე
724,dritter::A,tredje,მესამე
725,letzter::A,sist,ბოლო
726,letzter::A,sist,უკანასკნელი
727,allein::ADV,alene,მარტო
728,auf einmal::ADV,med ett,ერთდროულად
729,zusammen::ADV,sammen,ერთად
730,lange::ADV,lenge,დიდხანს
731,plötzlich::ADV,plutselig,მოულოდნელად
732,sofort::ADV,straks,ახლავე
733,später::ADV,senere,მოგვიანებით
734,jetzt::ADV,nå,ახლა
735,heute::ADV,i dag,დღეს
736,morgen::ADV,i morgen,ხვალ
737,bald::ADV,snart,მალე
738,dann::ADV,så,მერე
739,gestern::ADV,i går,გუშინ
740,einst::ADV,engang,ოდესღაც
741,damals::ADV,den gang,მაშინ
742,danach::ADV,deretter,მერმე
743,danach::ADV,deretter,შემდეგ
744,vorher::ADV,før,ადრე
745,vorher::ADV,før,წინათ
746,vorher::ADV,i forveien,ადრე
747,vorher::ADV,i forveien,წინათ
748,zuerst::ADV,først,ჯერ
749,einmal::ADV,en gang,ერთხელ
750,manchmal::ADV,somme tider,ხან
751,manchmal::ADV,somme tider,ზოგჯერ
752,oft::ADV,ofte,ხშირად
753,immer::ADV,alltid,მუდამ
