,Concept_ID,es,cs
112,Höhle::N,cueva,jeskyně
113,Höhle::N,caverna,jeskyně
114,Abhang::N,cuesta,svah
115,Abhang::N,cuesta,stráň
116,Abhang::N,declive,svah
117,Abhang::N,declive,stráň
118,Quelle::N,fuente,pramen
119,Quelle::N,manantial,pramen
120,Bach::N,arroyo,potok
121,Fluss::N,río,řeka
122,Ufer::N,orilla,břeh
123,Küste::N,costa,pobřeží
124,Festland::N,tierra firme,souš
125,Festland::N,tierra firme,pevnina
126,Meer::N,mar,moře
127,Bucht::N,cala,záliv
128,Bucht::N,cala,zátoka
129,Bucht::N,bahía,záliv
130,Bucht::N,bahía,zátoka
131,Insel::N,isla,ostrov
132,Blume::N,flor,květina
133,Gras::N,hierba,tráva
134,Wurzel::N,raíz,kořen
135,Baum::N,árbol,strom
136,Stamm::N,tronco,kmen
137,Rinde::N,corteza,kůra
138,Ast::N,rama,větev
139,Zweig::N,ramo,větev
140,Blatt::N,hoja,lupen
141,Birke::N,abedul,bříza
142,Kiefer[Baum]::N,pino,sosna
143,Kiefer[Baum]::N,pino,borovice
144,Weide[Baum]::N,sauce,vrba
145,Tanne::N,abeto,jedle
146,Horn::N,asta,roh
147,Horn::N,cuerno,roh
148,Feder::N,pluma,pero
149,Fell::N,piel,srst
150,Flügel::N,ala,křídlo
151,Klaue::N,garra,dráp
152,Klaue::N,garra,pazneht
153,Kralle::N,uña,dráp
154,Kralle::N,garra,dráp
155,Schwanz::N,cola,ocas
156,Ei::N,huevo,vejce
157,Nest::N,nido,hnízdo
158,Bau::N,madriguera,nora
159,Tier::N,animal,zvíře
160,Herde::N,rebaño,stádo
161,Kuh::N,vaca,kráva
162,Bulle::N,toro,býk
163,Pferd::N,caballo,kůň
164,Schaf::N,oveja,ovce
165,Schwein::N,cerdo,vepř
166,Schwein::N,cerdo,prase
167,Hund::N,perro,pes
168,Katze::N,gato,kočka
169,Bär::N,oso,medvěd
170,Eichhörnchen::N,ardilla,veverka
171,Elch::N,alce,los
172,Fuchs::N,zorro,liška
173,Hase::N,liebre,zajíc
174,Maus::N,ratón,myš
175,Wolf::N,lobo,vlk
176,Vogel::N,ave,pták
177,Vogel::N,pájaro,pták
178,Schwarm::N,bandada,roj
179,Schwarm::N,bandada,hejno
180,Huhn::N,gallina,kuře
181,Huhn::N,gallina,slepice
182,Hahn::N,gallo,kohout
183,Gans::N,oca,husa
184,Gans::N,ganso,husa
185,Adler::N,águila,orel
186,Ente::N,pato,kachna
187,Eule::N,lechuza,sova
188,Kranich::N,grulla,jeřáb
189,Krähe::N,corneja,vrána
190,Kuckuck::N,cuco,kukačka
191,Schwan::N,cisne,labuť
192,Fisch::N,pez,ryba
193,Barsch::N,perca,okoun
194,Hecht::N,lucio,štika
195,Schlange[Tier]::N,serpiente,had
196,Wurm::N,gusano,červ
197,Spinne::N,araña,pavouk
198,Ameise::N,hormiga,mravenec
199,Laus::N,piojo,veš
200,Mücke::N,mosquito,komár
201,Fliege::N,mosca,moucha
202,Schmetterling::N,mariposa,motýl
203,Beere::N,baya,bobule
204,Apfel::N,manzana,jablko
205,Pilz::N,seta,houba
206,Pilz::N,hongo,houba
207,Zwiebel::N,cebolla,cibule
208,Saat::N,siembra,osivo
209,Korn::N,grano,zrno
210,Heu::N,heno,seno
211,Schale::N,cáscara,slupka
212,Schale::N,cáscara,skořápka
213,Grube::N,foso,jáma
214,Falle::N,trampa,past
215,Falle::N,trampa,léčka
216,Schlinge::N,lazo,smyčka
217,Spur::N,huella,stopa
218,Asche::N,ceniza,popel
219,Dreck::N,suciedad,špína
220,Eisen::N,hierro,železo
221,Gold::N,oro,zlato
222,Silber::N,plata,stříbro
223,Kohle::N,carbón,uhlí
224,Glas::N,vidrio,sklo
225,Glas::N,cristal,sklo
226,Lehm::N,barro,jíl
227,Lehm::N,barro,hlína
228,Sand::N,arena,písek
229,Mensch::N,hombre,člověk
230,Mensch::N,ser humano,člověk
231,Mann::N,hombre,muž
232,Frau::N,mujer,žena
233,Kind::N,niño,dítě
234,Junge::N,chico,hoch
235,Junge::N,chico,chlapec
236,Junge::N,muchacho,hoch
237,Junge::N,muchacho,chlapec
238,Mädchen::N,chica,děvče
239,Mädchen::N,muchacha,děvče
240,Familie::N,familia,rodina
241,Großvater::N,abuelo,děd
242,Großvater::N,abuelo,dědeček
243,Großmutter::N,abuela,babička
244,Eltern::N,padres,rodiče
245,Vater::N,padre,otec
246,Mutter::N,madre,matka
247,Sohn::N,hijo,syn
248,Tochter::N,hija,dcera
249,Bruder::N,hermano,bratr
250,Schwester::N,hermana,sestra
251,Onkel::N,tío,strýc
252,Tante::N,tía,teta
253,Ehemann::N,esposo,choť
254,Ehemann::N,esposo,manžel
255,Ehefrau::N,esposa,choť
256,Ehefrau::N,esposa,manželka
257,Freude::N,placer,radost
258,Freude::N,alegría,radost
259,Gelächter::N,risa,smích
260,Gelächter::N,carcajada,smích
261,Glück::N,felicidad,štěstí
262,Kummer::N,pena,žal
263,Kummer::N,pena,trápení
264,Wunsch::N,deseo,přání
265,Lust::N,ganas,chuť
266,Geist::N,mente,duch
267,Geist::N,espíritu,duch
268,Gedanke::N,idea,myšlenka
269,Gedanke::N,pensamiento,myšlenka
270,Gedächtnis::N,memoria,paměť
271,Verstand::N,razón,rozum
272,Verstand::N,entendimiento,rozum
273,Sinn::N,sentido,smysl
274,Sinn::N,significado,smysl
275,Grund::N,causa,důvod
276,Wahrheit::N,verdad,pravda
277,Gespräch::N,conversación,rozhovor
278,Märchen::N,cuento,pohádka
279,Erzählung::N,cuento,povídka
280,Erzählung::N,narración,povídka
281,Nachricht::N,mensaje,zpráva
282,Neuigkeit::N,noticia,novina
283,Neuigkeit::N,noticia,novinka
284,Name::N,nombre,jméno
285,Rätsel::N,acertijo,hádanka
286,Rätsel::N,adivinanza,hádanka
287,Rede::N,discurso,řeč
288,Rede::N,discurso,proslov
289,Sprache::N,lengua,řeč
290,Sprache::N,lengua,jazyk
291,Stimme::N,voz,hlas
292,Wort::N,palabra,slovo
293,Zeichen::N,señal,znamení
294,Ruf::N,llamada,zavolání
295,Lärm::N,ruido,hluk
296,Lärm::N,barullo,hluk
297,Laut::N,sonido,zvuk
298,Ton::N,tono,tón
299,Lied::N,canción,píseň
300,Ruhe::N,calma,klid
301,Ruhe::N,calma,pokoj
302,Ruhe::N,silencio,klid
303,Ruhe::N,silencio,pokoj
304,Leute::N,gente,lidé
305,Volk::N,pueblo,národ
306,Arbeit::N,trabajo,práce
307,Gast::N,huésped,host
308,Gast::N,invitado,host
309,Geschenk::N,regalo,dar
310,Spiel::N,juego,hra
311,Gesellschaft::N,compañía,společnost
312,Hilfe::N,ayuda,pomoc
313,Hilfe::N,socorro,pomoc
314,Freund::N,amigo,přítel
315,Kamerad::N,camarada,kamarád
316,Kamerad::N,compañero,kamarád
317,Angelegenheit::N,asunto,záležitost
318,Anzahl::N,cantidad,počet
319,Art::N,tipo,druh
320,Art::N,clase,druh
321,Stück::N,pieza,kus
322,Stück::N,pieza,kousek
323,Teil::N,parte,díl
324,Teil::N,parte,část
325,Hälfte::N,mitad,půl
326,Kreis::N,círculo,kruh
327,Kreuz::N,cruz,kříž
328,Linie::N,línea,linka
329,Strich::N,raya,čára
330,Strich::N,raya,čárka
331,Strich::N,trazo,čára
332,Strich::N,trazo,čárka
333,Abstand::N,distancia,vzdálenost
334,Entfernung::N,distancia,vzdálenost
335,Gegend::N,región,krajina
336,Gegend::N,comarca,krajina
337,Platz::N,espacio,prostor
338,Ort::N,sitio,místo
339,Seite::N,lado,strana
340,Seite::N,costado,strana
341,Mitte::N,medio,střed
342,Mitte::N,medio,prostředek
343,Mitte::N,centro,střed
344,Mitte::N,centro,prostředek
345,Gegenstand::N,objeto,předmět
346,Sache::N,cosa,věc
347,Rand::N,borde,kraj
348,Rand::N,borde,okraj
349,Kante::N,borde,hrana
350,Ecke::N,esquina,roh
351,Spitze::N,punta,hrot
352,Spitze::N,punta,špička
353,Ende::N,cabo,konec
354,Ende::N,extremo,konec
355,Loch::N,agujero,díra
356,Loch::N,abertura,díra
357,Winkel::N,ángulo,kout
358,Muster::N,dibujo,vzor
359,Größe::N,tamaño,velikost
360,Länge::N,longitud,délka
361,Höhe::N,altura,výška
362,Höhe::N,altitud,výška
363,Gewicht::N,peso,váha
364,Menge::N,cantidad,množství
365,Haufen::N,montón,kupa
366,Haufen::N,montón,hromada
367,Reihe::N,fila,řada
368,Reihe::N,fila,řádek
369,Boot::N,bote,člun
370,Boot::N,barca,člun
371,Ruder::N,remo,veslo
372,Schlitten::N,trineo,sáně
373,Ski::N,esquí,lyže
374,Lagerfeuer::N,hoguera,táborák
375,Last::N,carga,náklad
376,Last::N,carga,břemeno
377,Gang::N,marcha,chůze
378,Gang::N,marcha,chodba
379,Schritt::N,paso,krok
380,Norden::N,norte,sever
381,Süden::N,sur,jih
382,Westen::N,oeste,západ
383,Osten::N,este,východ
384,Holz::N,madera,dřevo
385,Brett::N,tabla,prkno
386,Platte::N,placa,deska
387,Platte::N,plancha,deska
388,Stütze::N,sostén,opěra
389,Stütze::N,soporte,opěra
390,Stange::N,vara,tyč
391,Stange::N,vara,tyčka
392,Stange::N,percha,tyč
393,Stange::N,percha,tyčka
394,Stock::N,palo,hůlka
395,Stock::N,bastón,hůlka
396,Stab::N,vara,hůl
397,Stab::N,bastón,hůl
398,Rohr::N,tubo,trubka
399,Haus::N,casa,dům
400,Heim::N,hogar,domov
401,Ofen::N,estufa,kamna
402,Fußboden::N,suelo,podlaha
403,Tisch::N,mesa,stůl
404,Stuhl::N,silla,židle
405,Wiege::N,cuna,kolébka
406,Bett::N,cama,postel
407,Regal::N,estantería,regál
408,Regal::N,estantería,police
409,Kiste::N,caja,bedna
410,Fenster::N,ventana,okno
411,Tür::N,puerta,dveře
412,Tor::N,puerta,vrata
413,Zaun::N,valla,plot
414,Zaun::N,cercado,plot
415,Dach::N,techo,střecha
416,Dach::N,tejado,střecha
417,Leiter::N,escalera,žebřík
418,Besen::N,escoba,koště
419,Besen::N,escoba,smeták
420,Spaten::N,pala,rýč
421,Schaufel::N,pala,lopata
422,Schaufel::N,paleta,lopata
423,Gabel::N,tenedor,vidlička
424,Löffel::N,cuchara,lžíce
425,Messer::N,cuchillo,nůž
426,Nagel::N,clavo,hřebík
427,Netz::N,red,síť
428,Haken::N,gancho,hák
429,Haken::N,corchete,hák
430,Griff::N,asa,držadlo
431,Griff::N,mango,držadlo
432,Schloss::N,cerradura,zámek
433,Bild::N,imagen,obraz
434,Figur::N,figura,figura
435,Puppe::N,muñeca,panenka
436,Beutel::N,bolsa,pytlík
437,Bündel::N,haz,svazek
438,Tasche::N,bolso,taška
439,Tasche::N,bolso,brašna
440,Eimer::N,cubo,kýbl
441,Eimer::N,cubo,vědro
442,Deckel::N,tapa,víko
443,Deckel::N,tapa,příklop
444,Deckel::N,tapadera,víko
445,Deckel::N,tapadera,příklop
446,Geschirr::N,vajilla,nádobí
447,Sack::N,saco,pytel
448,Tasse::N,taza,šálek
449,Topf::N,olla,hrnec
450,Topf::N,marmita,hrnec
451,Kessel::N,caldera,kotel
452,Essen::N,comida,jídlo
453,Nahrung::N,alimento,strava
454,Nahrung::N,alimento,potrava
455,Speise::N,plato,jídlo
456,Fleisch::N,carne,maso
457,Getreide::N,cereales,obilí
458,Brei::N,puré,kaše
459,Brei::N,papilla,kaše
460,Brot::N,pan,chléb
461,Scheibe::N,lonja,krajíc
462,Scheibe::N,rebanada,krajíc
463,Fett::N,grasa,tuk
464,Fett::N,grasa,omastek
465,Butter::N,mantequilla,máslo
466,Öl::N,aceite,olej
467,Salz::N,sal,sůl
468,Suppe::N,sopa,polévka
469,Honig::N,miel,med
470,Milch::N,leche,mléko
471,Tee::N,té,čaj
472,Leder::N,cuero,kůže
473,Wolle::N,lana,vlna
474,Stoff::N,tela,látka
475,Stoff::N,tejido,látka
476,Nadel::N,aguja,jehla
477,Faden::N,hilo,nit
478,Knopf::N,botón,knoflík
479,Knoten::N,nudo,uzel
480,Farbe::N,pintura,barva
481,Kleidung::N,ropa,šaty
482,Kleidung::N,ropa,šatstvo
483,Kleidung::N,vestidos,šaty
484,Kleidung::N,vestidos,šatstvo
485,Hemd::N,camisa,košile
486,Kragen::N,cuello,límec
487,Ärmel::N,manga,rukáv
488,Hose::N,pantalón,kalhoty
489,Gürtel::N,cinturón,pás
490,Gürtel::N,cinturón,opasek
491,Mütze::N,gorro,čepice
492,Schuh::N,zapato,bota
493,Stiefel::N,bota,holínka
494,Ring::N,anillo,prsten
495,Band::N,cinta,pásek
496,Kamm::N,peine,hřeben
497,Spiegel::N,espejo,zrcadlo
498,Riemen::N,correa,řemen
499,Schnur::N,cuerda,šňůra
500,Leine::N,correa,vodítko
501,Decke::N,manta,pokrývka
502,Decke::N,manta,přikrývka
503,Kissen::N,almohada,polštář
504,Tuch::N,pañuelo,šátek
505,Handtuch::N,toalla,ručník
506,Kraft::N,fuerza,síla
507,Stärke::N,fuerza,síla
508,Gesundheit::N,salud,zdraví
509,Krankheit::N,enfermedad,nemoc
510,Krankheit::N,enfermedad,choroba
511,Schmerz::N,dolor,bolest
512,Wunde::N,llaga,rána
513,Wunde::N,herida,rána
514,Fieber::N,fiebre,horečka
515,Arznei::N,medicina,lék
516,Arznei::N,medicamento,lék
517,Brücke::N,puente,most
518,Brunnen::N,pozo,studna
519,Weide::N,pasto,pastva
520,Weide::N,pasto,pastvina
521,Pfad::N,sendero,pěšina
522,Weg::N,camino,cesta
523,Straße::N,vía,silnice
524,Straße::N,carretera,silnice
525,Dorf::N,aldea,vesnice
526,Dorf::N,pueblo,vesnice
527,Stadt::N,ciudad,město
528,Brief::N,carta,dopis
529,Buch::N,libro,kniha
530,Buchstabe::N,letra,písmeno
531,Buchstabe::N,carácter,písmeno
532,Zeitung::N,diario,noviny
533,Zeitung::N,periódico,noviny
534,Leben::N,vida,život
535,Tod::N,muerte,smrt
536,Grab::N,tumba,hrob
537,Grab::N,sepulcro,hrob
538,Kirche::N,iglesia,kostel
539,Sünde::N,pecado,hřích
540,Gott::N,dios,bůh
541,Arbeiter::N,obrero,dělník
542,Arbeiter::N,obrero,pracovník
543,Arbeiter::N,trabajador,dělník
544,Arbeiter::N,trabajador,pracovník
545,Chef::N,jefe,šéf
546,Chef::N,jefe,vedoucí
547,Meister::N,maestro,mistr
548,Arzt::N,médico,lékař
549,Lehrer::N,profesor,učitel
550,Geld::N,dinero,peníze
551,Geschäft::N,negocio,obchod
552,Laden::N,tienda,krám
553,Preis::N,precio,cena
554,Ware::N,mercancía,zboží
555,Nutzen::N,provecho,užitek
556,Reichtum::N,riqueza,bohatství
557,Welt::N,mundo,svět
558,Land::N,país,země
559,Staat::N,Estado,stát
560,König::N,rey,král
561,Macht::N,poder,moc
562,Macht::N,poder,mocnost
563,Macht::N,potencia,moc
564,Macht::N,potencia,mocnost
565,Grenze::N,frontera,hranice
566,Krieg::N,guerra,válka
567,Feind::N,enemigo,nepřítel
568,Gewalt::N,violencia,násilí
569,Kampf::N,lucha,boj
570,Kampf::N,combate,boj
571,Bogen[Waffe]::N,arco,luk
572,Pfeil::N,flecha,šíp
573,Gewehr::N,fusil,puška
574,Gewehr::N,fusil,ručnice
575,Gewehr::N,escopeta,puška
576,Gewehr::N,escopeta,ručnice
577,Fehler::N,error,chyba
578,Lüge::N,mentira,lež
579,Schaden::N,daño,škoda
580,Unglück::N,desgracia,neštěstí
581,Schuld::N,culpa,vina
582,Alter::N,edad,věk
583,Schluss::N,fin,konec
584,Schluss::N,final,konec
585,Zeit::N,tiempo,čas
586,Tag::N,día,den
587,Morgen::N,mañana,ráno
588,Morgen::N,mañana,jitro
589,Mittag::N,mediodía,poledne
590,Abend::N,noche,večer
591,Nacht::N,noche,noc
592,Woche::N,semana,týden
593,Monat::N,mes,měsíc
594,Jahr::N,año,rok
595,Frühling::N,primavera,jaro
596,Sommer::N,verano,léto
597,Herbst::N,otoño,podzim
598,Winter::N,invierno,zima
599,Januar::N,enero,leden
600,Februar::N,febrero,únor
601,März::N,marzo,březen
602,April::N,abril,duben
603,Mai::N,mayo,květen
604,Juni::N,junio,červen
605,Juli::N,julio,červenec
606,August::N,agosto,srpen
607,September::N,septiembre,září
608,Oktober::N,octubre,říjen
609,November::N,noviembre,listopad
610,Dezember::N,diciembre,prosinec
611,Montag::N,lunes,pondělí
612,Montag::N,lunes,pondělek
613,Dienstag::N,martes,úterý
614,Mittwoch::N,miércoles,středa
615,Donnerstag::N,jueves,čtvrtek
616,Freitag::N,viernes,pátek
617,Samstag::N,sábado,sobota
618,Sonntag::N,domingo,neděle
619,groß::A,grande,velký
620,klein::A,pequeño,malý
621,lang::A,largo,dlouhý
622,kurz::A,corto,krátký
623,breit::A,ancho,široký
624,schmal::A,estrecho,úzký
625,dicht::A,denso,hustý
626,dick[Gegenstand]::A,grueso,tlustý
627,dünn::A,fino,tenký
628,dünn::A,delgado,tenký
629,fein::A,fino,jemný
630,fein::A,delicado,jemný
631,fest::A,firme,pevný
632,fest::A,sólido,pevný
633,flach::A,plano,plochý
634,flach::A,plano,placatý
635,glatt::A,liso,hladký
636,hart::A,duro,tvrdý
637,weich::A,muelle,měkký
638,rund::A,redondo,kulatý
639,rund::A,redondo,okrouhlý
640,spitz::A,agudo,špičatý
641,spitz::A,apuntado,špičatý
642,scharf::A,agudo,ostrý
643,scharf::A,afilado,ostrý
644,stumpf::A,sin filo,tupý
645,schwer::A,pesado,těžký
646,schön::A,bello,pěkný
647,schön::A,bello,krásný
648,schön::A,hermoso,pěkný
649,schön::A,hermoso,krásný
650,heiß::A,caluroso,horký
651,warm::A,cálido,teplý
652,warm::A,caliente,teplý
653,kalt::A,frío,studený
654,kühl::A,fresco,chladný
655,frisch::A,fresco,svěží
656,feucht::A,húmedo,vlhký
657,nass::A,mojado,mokrý
658,trocken::A,seco,suchý
659,voll::A,lleno,plný
660,leer::A,vacío,prázdný
661,offen::A,abierto,otevřený
662,geschlossen::A,cerrado,zavřený
663,sauber::A,limpio,čistý
664,schmutzig::A,sucio,špinavý
665,roh::A,crudo,syrový
666,reif::A,maduro,zralý
667,lecker::A,rico,chutný
668,lecker::A,sabroso,chutný
669,süß::A,dulce,sladký
670,bitter::A,amargo,hořký
671,sauer::A,agrio,kyselý
672,hell::A,claro,světlý
673,dunkel::A,oscuro,temný
674,schwarz::A,negro,černý
675,weiß::A,blanco,bílý
676,rot::A,rojo,rudý
677,rot::A,rojo,červený
678,gelb::A,amarillo,žlutý
679,blau::A,azul,modrý
680,grün::A,verde,zelený
681,grau::A,gris,šedý
682,grau::A,gris,šedivý
683,bunt::A,multicolor,pestrý
684,billig::A,barato,levný
685,billig::A,barato,laciný
686,teuer::A,caro,drahý
687,wertvoll::A,valioso,cenný
688,wertvoll::A,precioso,cenný
689,blind::A,ciego,slepý
690,taub::A,sordo,hluchý
691,kräftig::A,fuerte,silný
692,stark::A,fuerte,silný
693,stark::A,vigoroso,silný
694,schwach::A,débil,slabý
695,fett::A,obeso,tučný
696,fett::A,obeso,tlustý
697,schlank::A,esbelto,štíhlý
698,hübsch::A,mono,hezký
699,hübsch::A,guapo,hezký
700,böse::A,malo,zlý
701,dumm::A,tonto,hloupý
702,dumm::A,estúpido,hloupý
703,faul::A,vago,líný
704,faul::A,perezoso,líný
705,fleißig::A,aplicado,pilný
706,fleißig::A,diligente,pilný
707,geizig::A,avaro,lakomý
708,klug::A,sensato,chytrý
709,klug::A,inteligente,chytrý
710,geschickt::A,hábil,šikovný
711,lieb::A,querido,milý
712,lustig::A,alegre,veselý
713,sanft::A,suave,mírný
714,hungrig::A,hambriento,hladový
715,krank::A,enfermo,nemocný
716,nackt::A,desnudo,nahý
717,traurig::A,triste,smutný
718,traurig::A,triste,truchlivý
719,lebendig::A,vivo,živý
720,lebendig::A,viviente,živý
721,gut::A,bueno,dobrý
722,schlecht::A,malo,špatný
723,richtig::A,justo,pravý
724,richtig::A,justo,správný
725,richtig::A,correcto,pravý
726,richtig::A,correcto,správný
727,schlimm::A,malo,zlý
728,schlimm::A,grave,zlý
729,wahr::A,verídico,pravdivý
730,wahr::A,verdadero,pravdivý
731,alt::A,viejo,starý
732,neu::A,nuevo,nový
733,ehemalig::A,antiguo,bývalý
734,alt[Lebewesen]::A,viejo,starý
735,jung::A,joven,mladý
736,arm::A,pobre,chudý
737,reich::A,rico,bohatý
738,bekannt::A,conocido,známý
739,berühmt::A,famoso,slavný
740,berühmt::A,célebre,slavný
741,fremd::A,extraño,cizí
742,verschieden::A,diverso,různý
743,verschieden::A,diverso,rozličný
744,verschieden::A,distinto,různý
745,verschieden::A,distinto,rozličný
746,verschieden::A,diferente,různý
747,verschieden::A,diferente,rozličný
748,nah::A,cercano,blízký
749,fern::A,lejano,daleký
750,linker::A,izquierdo,levý
751,rechter::A,derecho,pravý
752,anderer::A,otro,jiný
753,erster::A,primero,první
754,zweiter::A,segundo,druhý
755,dritter::A,tercero,třetí
756,letzter::A,último,poslední
757,allein::ADV,a solo,sám
758,auf einmal::ADV,de una vez,najednou
759,zusammen::ADV,juntos,spolu
760,zusammen::ADV,juntos,dohromady
761,lange::ADV,mucho tiempo,dlouho
762,plötzlich::ADV,de repente,vtom
763,plötzlich::ADV,de repente,náhle
764,sofort::ADV,en seguida,hned
765,sofort::ADV,en seguida,ihned
766,später::ADV,más tarde,později
767,jetzt::ADV,ahora,teď
768,jetzt::ADV,ahora,nyní
769,heute::ADV,hoy,dnes
770,heute::ADV,hoy,dneska
771,morgen::ADV,mañana,zítra
772,bald::ADV,pronto,brzo
773,bald::ADV,en breve,brzo
774,dann::ADV,luego,pak
775,dann::ADV,luego,potom
776,dann::ADV,entonces,pak
777,dann::ADV,entonces,potom
778,gestern::ADV,ayer,včera
779,einst::ADV,antaño,kdysi
780,damals::ADV,entonces,tehdy
781,damals::ADV,entonces,tenkrát
782,danach::ADV,después,podle toho
783,vorher::ADV,antes,dříve
784,vorher::ADV,antes,napřed
785,zuerst::ADV,primero,nejprve
786,zuerst::ADV,primero,nejdříve
787,einmal::ADV,una vez,jednou
788,manchmal::ADV,a veces,někdy
789,oft::ADV,a menudo,často
790,oft::ADV,con frecuencia,často
791,immer::ADV,siempre,vždy
792,immer::ADV,siempre,stále
793,niemals::ADV,jamás,nikdy
794,hier::ADV,aquí,zde
795,hier::ADV,aquí,tady
796,hierhin::ADV,acá,sem
797,von hier::ADV,desde aquí,odtud
798,dort::ADV,ahí,tam
799,dort::ADV,allí,tam
800,dorthin::ADV,allí,tam
801,dorthin::ADV,hacia allí,tam
802,geradeaus::ADV,todo derecho,rovně
803,vorwärts::ADV,adelante,kupředu
804,rückwärts::ADV,hacia atrás,zpět
805,zurück::ADV,atrás,zpět
806,zurück::ADV,atrás,nazpět
807,unten::ADV,abajo,dole
808,hinab::ADV,hacia abajo,dolů
809,oben::ADV,arriba,nahoře
810,oben::ADV,arriba,navrchu
811,hinauf::ADV,hacia arriba,nahoru
812,überall::ADV,por todas partes,všude
813,nicht::ADV,no,ne
814,ein wenig::ADV,un poco,trochu
815,kaum::ADV,apenas,sotva
816,sehr::ADV,muy,velmi
817,sehr::ADV,muy,velice
818,sehr::ADV,mucho,velmi
819,sehr::ADV,mucho,velice
820,so::ADV,tan,tak
821,so::ADV,tan,takto
822,noch::ADV,aún,ještě
823,noch::ADV,todavía,ještě
824,nur::ADV,solamente,jen
825,nur::ADV,solamente,jenom
826,schon::ADV,ya,už
827,schon::ADV,ya,již
828,wieder::ADV,de nuevo,zase
829,vergebens::ADV,en vano,marně
830,vor::PRP,antes de,před
831,vor::PRP,delante de,před
832,hinter::PRP,tras,za
833,hinter::PRP,detrás de,za
834,unter::PRP,bajo,pod
835,unter::PRP,debajo de,pod
836,durch::PRP,por,skrz
837,durch::PRP,a través de,skrz
838,neben::PRP,al lado de,vedle
839,zwischen::PRP,entre,mezi
840,wegen::PRP,por,pro
841,wegen::PRP,a causa de,pro
842,dies::PRN,esto,toto
843,dies::PRN,esto,tohle
844,das::PRN,eso,to
