,Concept_ID,da,da
69,Staub::N,støv,støv
70,Rauch::N,røg,røg
71,Funke::N,gnist,gnist
72,Feuer::N,ild,ild
73,Licht::N,lys,lys
74,Schatten::N,skygge,skygge
75,Wetter::N,vejr,vejr
76,Nebel::N,tåge,tåge
77,Wolke::N,sky,sky
78,Regen::N,regn,regn
79,Schnee::N,sne,sne
80,Eis::N,is,is
81,Frost::N,frost,frost
82,Kälte::N,kulde,kulde
83,Hitze::N,hede,hede
84,Raureif::N,rimfrost,rimfrost
85,Regenbogen::N,regnbue,regnbue
86,Donner::N,torden,torden
87,Strömung::N,strømning,strømning
88,Tropfen::N,dråbe,dråbe
89,Schaum::N,skum,skum
90,Schmutz::N,snavs,snavs
91,See::N,sø,sø
92,Sumpf::N,sump,sump
93,Moor::N,mose,mose
94,Wiese::N,eng,eng
95,Wald::N,skov,skov
96,Hügel::N,høj,høj
97,Hügel::N,høj,bakke
98,Hügel::N,bakke,høj
99,Hügel::N,bakke,bakke
100,Anhöhe::N,høj,høj
101,Anhöhe::N,høj,bakke
102,Anhöhe::N,bakke,høj
103,Anhöhe::N,bakke,bakke
104,Berg::N,bjerg,bjerg
105,Gipfel::N,top,top
106,Höhle::N,hule,hule
107,Abhang::N,skrænt,skrænt
108,Abhang::N,skrænt,skråning
109,Abhang::N,skråning,skrænt
110,Abhang::N,skråning,skråning
111,Quelle::N,kilde,kilde
112,Bach::N,bæk,bæk
113,Fluss::N,flod,flod
114,Ufer::N,bred,bred
115,Küste::N,kyst,kyst
116,Festland::N,fastland,fastland
117,Meer::N,hav,hav
118,Bucht::N,bugt,bugt
119,Insel::N,ø,ø
120,Blume::N,blomst,blomst
121,Gras::N,græs,græs
122,Wurzel::N,rod,rod
123,Baum::N,træ,træ
124,Stamm::N,stamme,stamme
125,Rinde::N,bark,bark
126,Ast::N,gren,gren
127,Zweig::N,kvist,kvist
128,Blatt::N,blad,blad
129,Birke::N,birk,birk
130,Kiefer[Baum]::N,fyrretræ,fyrretræ
131,Weide[Baum]::N,piletræ,piletræ
132,Tanne::N,gran,gran
133,Horn::N,horn,horn
134,Feder::N,fjer,fjer
135,Fell::N,skind,skind
136,Flügel::N,vinge,vinge
137,Klaue::N,klov,klov
138,Kralle::N,klo,klo
139,Schwanz::N,hale,hale
140,Ei::N,æg,æg
141,Nest::N,rede,rede
142,Bau::N,bo,bo
143,Tier::N,dyr,dyr
144,Herde::N,flok,flok
145,Kuh::N,ko,ko
146,Bulle::N,tyr,tyr
147,Pferd::N,hest,hest
148,Schaf::N,får,får
149,Schwein::N,gris,gris
150,Hund::N,hund,hund
151,Katze::N,kat,kat
152,Bär::N,bjørn,bjørn
153,Eichhörnchen::N,egern,egern
154,Elch::N,elg,elg
155,Fuchs::N,ræv,ræv
156,Hase::N,hare,hare
157,Maus::N,mus,mus
158,Wolf::N,ulv,ulv
159,Vogel::N,fugl,fugl
160,Schwarm::N,sværm,sværm
161,Huhn::N,høne,høne
162,Hahn::N,hane,hane
163,Gans::N,gås,gås
164,Adler::N,ørn,ørn
165,Ente::N,and,and
166,Eule::N,ugle,ugle
167,Kranich::N,trane,trane
168,Krähe::N,krage,krage
169,Kuckuck::N,gøg,gøg
170,Schwan::N,svane,svane
171,Fisch::N,fisk,fisk
172,Barsch::N,aborre,aborre
173,Hecht::N,gedde,gedde
174,Schlange[Tier]::N,slange,slange
175,Wurm::N,orm,orm
176,Spinne::N,edderkop,edderkop
177,Ameise::N,myre,myre
178,Laus::N,lus,lus
179,Mücke::N,myg,myg
180,Fliege::N,flue,flue
181,Schmetterling::N,sommerfugl,sommerfugl
182,Beere::N,bær,bær
183,Apfel::N,æble,æble
184,Pilz::N,svamp,svamp
185,Zwiebel::N,løg,løg
186,Saat::N,sæd,sæd
187,Korn::N,korn,korn
188,Heu::N,hø,hø
189,Schale::N,skræl,skræl
190,Grube::N,grav,grav
191,Falle::N,fælde,fælde
192,Schlinge::N,snare,snare
193,Spur::N,spor,spor
194,Asche::N,aske,aske
195,Dreck::N,snavs,snavs
196,Eisen::N,jern,jern
197,Gold::N,guld,guld
198,Silber::N,sølv,sølv
199,Kohle::N,kul,kul
200,Glas::N,glas,glas
201,Lehm::N,ler,ler
202,Sand::N,sand,sand
203,Mensch::N,mennesge,mennesge
204,Mann::N,mand,mand
205,Frau::N,kvinde,kvinde
206,Kind::N,barn,barn
207,Junge::N,dreng,dreng
208,Mädchen::N,pige,pige
209,Familie::N,familie,familie
210,Großvater::N,bedstefar,bedstefar
211,Großmutter::N,bedstemor,bedstemor
212,Eltern::N,forældre,forældre
213,Vater::N,far,far
214,Mutter::N,mor,mor
215,Sohn::N,søn,søn
216,Tochter::N,datter,datter
217,Bruder::N,bror,bror
218,Schwester::N,søster,søster
219,Onkel::N,onkel,onkel
220,Tante::N,tante,tante
221,Ehemann::N,ægtemand,ægtemand
222,Ehefrau::N,hustru,hustru
223,Freude::N,glæde,glæde
224,Gelächter::N,latter,latter
225,Glück::N,lykke,lykke
226,Kummer::N,sorg,sorg
227,Wunsch::N,ønske,ønske
228,Lust::N,lyst,lyst
229,Geist::N,ånd,ånd
230,Gedanke::N,tanke,tanke
231,Gedächtnis::N,hukommelse,hukommelse
232,Verstand::N,forstand,forstand
233,Sinn::N,mening,mening
234,Sinn::N,mening,betydning
235,Sinn::N,betydning,mening
236,Sinn::N,betydning,betydning
237,Grund::N,grund,grund
238,Wahrheit::N,sandhed,sandhed
239,Gespräch::N,samtale,samtale
240,Märchen::N,eventyr,eventyr
241,Erzählung::N,fortælling,fortælling
242,Nachricht::N,efterretning,efterretning
243,Neuigkeit::N,nyhed,nyhed
244,Name::N,navn,navn
245,Rätsel::N,gåde,gåde
246,Rede::N,tale,tale
247,Sprache::N,sprog,sprog
248,Stimme::N,stemme,stemme
249,Wort::N,ord,ord
250,Zeichen::N,tegn,tegn
251,Ruf::N,råb,råb
252,Lärm::N,larm,larm
253,Laut::N,lyd,lyd
254,Ton::N,tone,tone
255,Lied::N,sang,sang
256,Ruhe::N,ro,ro
257,Ruhe::N,ro,hvile
258,Ruhe::N,hvile,ro
259,Ruhe::N,hvile,hvile
260,Leute::N,folk,folk
261,Leute::N,folk,mennesker
262,Leute::N,mennesker,folk
263,Leute::N,mennesker,mennesker
264,Volk::N,folk,folk
265,Arbeit::N,arbejde,arbejde
266,Gast::N,gæst,gæst
267,Geschenk::N,gave,gave
268,Spiel::N,leg,leg
269,Gesellschaft::N,selskab,selskab
270,Hilfe::N,hjælp,hjælp
271,Freund::N,ven,ven
272,Kamerad::N,kammerat,kammerat
273,Angelegenheit::N,sag,sag
274,Angelegenheit::N,sag,anliggende
275,Angelegenheit::N,anliggende,sag
276,Angelegenheit::N,anliggende,anliggende
277,Anzahl::N,antal,antal
278,Art::N,art,art
279,Stück::N,stykke,stykke
280,Teil::N,del,del
281,Hälfte::N,halvdel,halvdel
282,Kreis::N,cirkel,cirkel
283,Kreuz::N,kors,kors
284,Kreuz::N,kors,kryds
285,Kreuz::N,kryds,kors
286,Kreuz::N,kryds,kryds
287,Linie::N,linie,linie
288,Strich::N,streg,streg
289,Abstand::N,afstand,afstand
290,Entfernung::N,afstand,afstand
291,Gegend::N,egn,egn
292,Platz::N,plads,plads
293,Ort::N,sted,sted
294,Seite::N,side,side
295,Mitte::N,midte,midte
296,Gegenstand::N,genstand,genstand
297,Sache::N,sag,sag
298,Rand::N,rand,rand
299,Kante::N,kant,kant
300,Ecke::N,hjørne,hjørne
301,Spitze::N,spids,spids
302,Ende::N,ende,ende
303,Loch::N,hul,hul
304,Winkel::N,vinkel,vinkel
305,Muster::N,mønster,mønster
306,Größe::N,størrelse,størrelse
307,Länge::N,længde,længde
308,Höhe::N,højde,højde
309,Gewicht::N,vægt,vægt
310,Menge::N,mængde,mængde
311,Haufen::N,bunke,bunke
312,Reihe::N,række,række
313,Boot::N,båd,båd
314,Ruder::N,åre,åre
315,Schlitten::N,kælk,kælk
316,Schlitten::N,kælk,slæde
317,Schlitten::N,slæde,kælk
318,Schlitten::N,slæde,slæde
319,Ski::N,ski,ski
320,Lagerfeuer::N,lejrbål,lejrbål
321,Last::N,last,last
322,Last::N,last,byrde
323,Last::N,byrde,last
324,Last::N,byrde,byrde
325,Gang::N,gang,gang
326,Schritt::N,skridt,skridt
327,Norden::N,nord,nord
328,Süden::N,syd,syd
329,Westen::N,vest,vest
330,Osten::N,øst,øst
331,Holz::N,træ,træ
332,Brett::N,bræt,bræt
333,Platte::N,plade,plade
334,Stütze::N,støtte,støtte
335,Stange::N,stang,stang
336,Stock::N,stok,stok
337,Stab::N,stav,stav
338,Rohr::N,rør,rør
339,Haus::N,hus,hus
340,Heim::N,hjem,hjem
341,Ofen::N,ovn,ovn
342,Fußboden::N,gulv,gulv
343,Tisch::N,bord,bord
344,Stuhl::N,stol,stol
345,Wiege::N,vugge,vugge
346,Bett::N,seng,seng
347,Regal::N,reol,reol
348,Kiste::N,kasse,kasse
349,Fenster::N,vindue,vindue
350,Tür::N,dør,dør
351,Tor::N,port,port
352,Zaun::N,stakit,stakit
353,Dach::N,tag,tag
354,Leiter::N,stige,stige
355,Besen::N,kost,kost
356,Spaten::N,spade,spade
357,Schaufel::N,skovl,skovl
358,Gabel::N,gaffel,gaffel
359,Löffel::N,ske,ske
360,Messer::N,kniv,kniv
361,Nagel::N,søm,søm
362,Netz::N,net,net
363,Haken::N,krog,krog
364,Griff::N,tag,tag
365,Griff::N,tag,håndtag
366,Griff::N,håndtag,tag
367,Griff::N,håndtag,håndtag
368,Schloss::N,lås,lås
369,Bild::N,billede,billede
370,Figur::N,figur,figur
371,Puppe::N,dukke,dukke
372,Beutel::N,pose,pose
373,Bündel::N,bylt,bylt
374,Bündel::N,bylt,bundt
375,Bündel::N,bundt,bylt
376,Bündel::N,bundt,bundt
377,Tasche::N,taske,taske
378,Eimer::N,spand,spand
379,Deckel::N,låg,låg
380,Geschirr::N,husgeråd,husgeråd
381,Sack::N,sæk,sæk
382,Tasse::N,kop,kop
383,Topf::N,gryde,gryde
384,Kessel::N,kedel,kedel
385,Essen::N,måltid,måltid
386,Nahrung::N,mad,mad
387,Nahrung::N,mad,næring
388,Nahrung::N,næring,mad
389,Nahrung::N,næring,næring
390,Speise::N,ret,ret
391,Fleisch::N,kød,kød
392,Getreide::N,korn,korn
393,Brei::N,grød,grød
394,Brot::N,brød,brød
395,Scheibe::N,skive,skive
396,Fett::N,fedt,fedt
397,Butter::N,smør,smør
398,Öl::N,olie,olie
399,Salz::N,salt,salt
400,Suppe::N,suppe,suppe
401,Honig::N,honning,honning
402,Milch::N,mælk,mælk
403,Tee::N,te,te
404,Leder::N,skind,skind
405,Wolle::N,uld,uld
406,Stoff::N,stof,stof
407,Nadel::N,nål,nål
408,Faden::N,tråd,tråd
409,Knopf::N,knap,knap
410,Knoten::N,knude,knude
411,Farbe::N,farve,farve
412,Kleidung::N,påklædning,påklædning
413,Hemd::N,skjorte,skjorte
414,Kragen::N,krave,krave
415,Ärmel::N,ærme,ærme
416,Hose::N,bukser,bukser
417,Gürtel::N,bælte,bælte
418,Mütze::N,hue,hue
419,Schuh::N,sko,sko
420,Stiefel::N,støvle,støvle
421,Ring::N,ring,ring
422,Band::N,bånd,bånd
423,Kamm::N,kam,kam
424,Spiegel::N,spejl,spejl
425,Riemen::N,rem,rem
426,Schnur::N,snor,snor
427,Leine::N,snor,snor
428,Decke::N,tæppe,tæppe
429,Kissen::N,pude,pude
430,Tuch::N,sjaltørklæde,sjaltørklæde
431,Handtuch::N,håndklæde,håndklæde
432,Kraft::N,kraft,kraft
433,Stärke::N,styrke,styrke
434,Gesundheit::N,sundhed,sundhed
435,Krankheit::N,sygdom,sygdom
436,Schmerz::N,smerte,smerte
437,Wunde::N,sår,sår
438,Fieber::N,feber,feber
439,Arznei::N,medicin,medicin
440,Arznei::N,medicin,lægemiddel
441,Arznei::N,lægemiddel,medicin
442,Arznei::N,lægemiddel,lægemiddel
443,Brücke::N,bro,bro
444,Brunnen::N,brønd,brønd
445,Weide::N,græsgang,græsgang
446,Pfad::N,sti,sti
447,Weg::N,vej,vej
448,Straße::N,gade,gade
449,Dorf::N,landsby,landsby
450,Stadt::N,by,by
451,Brief::N,brev,brev
452,Buch::N,bog,bog
453,Buchstabe::N,bogstav,bogstav
454,Zeitung::N,avis,avis
455,Leben::N,liv,liv
456,Tod::N,død,død
457,Grab::N,grav,grav
458,Kirche::N,kirke,kirke
459,Sünde::N,synd,synd
460,Gott::N,gud,gud
461,Arbeiter::N,arbejder,arbejder
462,Chef::N,chef,chef
463,Meister::N,mester,mester
464,Arzt::N,læge,læge
465,Lehrer::N,lærer,lærer
466,Geld::N,penge,penge
467,Geschäft::N,forretning,forretning
468,Laden::N,butik,butik
469,Laden::N,butik,forretning
470,Laden::N,forretning,butik
471,Laden::N,forretning,forretning
472,Preis::N,pris,pris
473,Ware::N,vare,vare
474,Nutzen::N,nytte,nytte
475,Reichtum::N,rigdom,rigdom
476,Welt::N,verden,verden
477,Land::N,land,land
478,Staat::N,stat,stat
479,König::N,konge,konge
480,Macht::N,magt,magt
481,Grenze::N,grænse,grænse
482,Krieg::N,krig,krig
483,Feind::N,fjende,fjende
484,Gewalt::N,vold,vold
485,Kampf::N,kamp,kamp
486,Bogen[Waffe]::N,bue,bue
487,Pfeil::N,pil,pil
488,Gewehr::N,gevær,gevær
489,Fehler::N,fejl,fejl
490,Lüge::N,løgn,løgn
491,Schaden::N,skade,skade
492,Unglück::N,uheld,uheld
493,Unglück::N,uheld,ulykke
494,Unglück::N,ulykke,uheld
495,Unglück::N,ulykke,ulykke
496,Schuld::N,skyld,skyld
497,Alter::N,alder,alder
498,Schluss::N,slut,slut
499,Schluss::N,slut,slutning
500,Schluss::N,slutning,slut
501,Schluss::N,slutning,slutning
502,Zeit::N,tid,tid
503,Tag::N,dag,dag
504,Morgen::N,morgen,morgen
505,Mittag::N,middag,middag
506,Abend::N,aften,aften
507,Nacht::N,nat,nat
508,Woche::N,uge,uge
509,Monat::N,måned,måned
510,Jahr::N,år,år
511,Frühling::N,forår,forår
512,Sommer::N,sommer,sommer
513,Herbst::N,efterår,efterår
514,Winter::N,vinter,vinter
515,Januar::N,januar,januar
516,Februar::N,februar,februar
517,März::N,marts,marts
518,April::N,april,april
519,Mai::N,maj,maj
520,Juni::N,juni,juni
521,Juli::N,juli,juli
522,August::N,august,august
523,September::N,september,september
524,Oktober::N,oktober,oktober
525,November::N,november,november
526,Dezember::N,december,december
527,Montag::N,mandag,mandag
528,Dienstag::N,tirsdag,tirsdag
529,Mittwoch::N,onsdag,onsdag
530,Donnerstag::N,torsdag,torsdag
531,Freitag::N,fredag,fredag
532,Samstag::N,lørdag,lørdag
533,Sonntag::N,søndag,søndag
534,groß::A,stor,stor
535,klein::A,lille,lille
536,lang::A,lang,lang
537,kurz::A,kort,kort
538,breit::A,bred,bred
539,schmal::A,smal,smal
540,dicht::A,tæt,tæt
541,dick[Gegenstand]::A,tyk,tyk
542,dünn::A,tynd,tynd
543,fein::A,fin,fin
544,fest::A,fast,fast
545,flach::A,flad,flad
546,glatt::A,glat,glat
547,hart::A,hård,hård
548,weich::A,blød,blød
549,rund::A,rund,rund
550,spitz::A,spids,spids
551,scharf::A,skarp,skarp
552,stumpf::A,sløv,sløv
553,stumpf::A,sløv,stump
554,stumpf::A,stump,sløv
555,stumpf::A,stump,stump
556,schwer::A,tung,tung
557,schön::A,skøn,skøn
558,heiß::A,hed,hed
559,warm::A,varm,varm
560,kalt::A,kold,kold
561,kühl::A,kølig,kølig
562,frisch::A,frisk,frisk
563,feucht::A,fugtig,fugtig
564,nass::A,våd,våd
565,trocken::A,tør,tør
566,voll::A,fuld,fuld
567,leer::A,tom,tom
568,offen::A,åben,åben
569,geschlossen::A,lukket,lukket
570,sauber::A,ren,ren
571,schmutzig::A,snavset,snavset
572,roh::A,rå,rå
573,reif::A,moden,moden
574,lecker::A,lækker,lækker
575,süß::A,sød,sød
576,bitter::A,bitter,bitter
577,sauer::A,sur,sur
578,hell::A,lys,lys
579,dunkel::A,mørk,mørk
580,schwarz::A,sort,sort
581,weiß::A,hvid,hvid
582,rot::A,rød,rød
583,gelb::A,gul,gul
584,blau::A,blå,blå
585,grün::A,grøn,grøn
586,grau::A,grå,grå
587,bunt::A,broget,broget
588,billig::A,billig,billig
589,teuer::A,dyr,dyr
590,wertvoll::A,værdifuld,værdifuld
591,blind::A,blind,blind
592,taub::A,døv,døv
593,kräftig::A,kraftig,kraftig
594,stark::A,stærk,stærk
595,schwach::A,svag,svag
596,fett::A,fed,fed
597,schlank::A,slank,slank
598,hübsch::A,køn,køn
599,böse::A,ond,ond
600,böse::A,ond,slem
601,böse::A,slem,ond
602,böse::A,slem,slem
603,dumm::A,dum,dum
604,faul::A,doven,doven
605,fleißig::A,flittig,flittig
606,geizig::A,gerrig,gerrig
607,klug::A,klog,klog
608,geschickt::A,dygtig,dygtig
609,geschickt::A,dygtig,behændig
610,geschickt::A,behændig,dygtig
611,geschickt::A,behændig,behændig
612,lieb::A,rar,rar
613,lustig::A,lystig,lystig
614,sanft::A,blid,blid
615,hungrig::A,sulten,sulten
616,krank::A,syg,syg
617,nackt::A,nøgen,nøgen
618,traurig::A,bedrøvet,bedrøvet
619,lebendig::A,levende,levende
620,gut::A,god,god
621,schlecht::A,dårlig,dårlig
622,richtig::A,rigtig,rigtig
623,schlimm::A,slem,slem
624,wahr::A,sand,sand
625,alt::A,gammel,gammel
626,neu::A,ny,ny
627,ehemalig::A,forhenværende,forhenværende
628,alt[Lebewesen]::A,gammel,gammel
629,jung::A,ung,ung
630,arm::A,fattig,fattig
631,reich::A,rig,rig
632,bekannt::A,kendt,kendt
633,berühmt::A,berømt,berømt
634,fremd::A,fremmed,fremmed
635,verschieden::A,forskellig,forskellig
636,nah::A,nær,nær
637,fern::A,fjern,fjern
638,linker::A,venstre,venstre
639,rechter::A,højre,højre
640,anderer::A,anden,anden
641,erster::A,første,første
642,zweiter::A,anden,anden
643,dritter::A,tredje,tredje
644,letzter::A,sidste,sidste
645,allein::ADV,alene,alene
646,auf einmal::ADV,på én gang,på én gang
647,zusammen::ADV,sammen,sammen
648,lange::ADV,længe,længe
649,plötzlich::ADV,pludselig,pludselig
650,sofort::ADV,straks,straks
651,später::ADV,senere,senere
652,jetzt::ADV,nu,nu
653,heute::ADV,i dag,i dag
654,morgen::ADV,i morgen,i morgen
655,bald::ADV,snart,snart
656,dann::ADV,så,så
657,gestern::ADV,i går,i går
658,einst::ADV,engang,engang
659,damals::ADV,dengang,dengang
660,danach::ADV,derefter,derefter
661,vorher::ADV,før,før
662,vorher::ADV,før,forud
663,vorher::ADV,forud,før
664,vorher::ADV,forud,forud
665,zuerst::ADV,først,først
666,einmal::ADV,en gang,en gang
667,manchmal::ADV,sommetider,sommetider
668,oft::ADV,ofte,ofte
669,immer::ADV,altid,altid
670,niemals::ADV,aldrig,aldrig
671,hier::ADV,her,her
672,hierhin::ADV,hid,hid
673,hierhin::ADV,hid,herhen
674,hierhin::ADV,herhen,hid
675,hierhin::ADV,herhen,herhen
676,von hier::ADV,herfra,herfra
677,dort::ADV,der,der
678,dorthin::ADV,derhen,derhen
679,geradeaus::ADV,lige ud,lige ud
680,vorwärts::ADV,fremad,fremad
681,rückwärts::ADV,baglæns,baglæns
682,zurück::ADV,tilbage,tilbage
683,unten::ADV,nede,nede
684,unten::ADV,nede,forneden
685,unten::ADV,forneden,nede
686,unten::ADV,forneden,forneden
687,hinab::ADV,ned,ned
688,hinab::ADV,ned,nedad
689,hinab::ADV,nedad,ned
690,hinab::ADV,nedad,nedad
691,oben::ADV,oppe,oppe
692,oben::ADV,oppe,ovenpå
693,oben::ADV,ovenpå,oppe
694,oben::ADV,ovenpå,ovenpå
695,hinauf::ADV,op,op
696,hinauf::ADV,op,opad
697,hinauf::ADV,opad,op
698,hinauf::ADV,opad,opad
699,überall::ADV,overalt,overalt
700,nicht::ADV,ikke,ikke
701,ein wenig::ADV,lidt,lidt
702,kaum::ADV,knap,knap
703,kaum::ADV,knap,næppe
704,kaum::ADV,næppe,knap
705,kaum::ADV,næppe,næppe
706,sehr::ADV,meget,meget
707,so::ADV,så,så
708,noch::ADV,endnu,endnu
709,nur::ADV,kun,kun
710,nur::ADV,kun,bare
711,nur::ADV,bare,kun
712,nur::ADV,bare,bare
713,schon::ADV,alt,alt
714,schon::ADV,alt,allerede
715,schon::ADV,allerede,alt
716,schon::ADV,allerede,allerede
717,wieder::ADV,igen,igen
718,vergebens::ADV,forgæves,forgæves
719,vor::PRP,foran,foran
720,vor::PRP,foran,uden for
721,vor::PRP,uden for,foran
722,vor::PRP,uden for,uden for
723,hinter::PRP,bag,bag
724,hinter::PRP,bag,bagved
725,hinter::PRP,bagved,bag
726,hinter::PRP,bagved,bagved
727,unter::PRP,under,under
728,durch::PRP,gennem,gennem
729,durch::PRP,gennem,igennem
730,durch::PRP,igennem,gennem
731,durch::PRP,igennem,igennem
732,neben::PRP,ved siden af,ved siden af
733,zwischen::PRP,mellem,mellem
734,wegen::PRP,på grund af,på grund af
735,dies::PRN,dette,dette
736,das::PRN,det,det
737,alles::PRN,alt,alt
738,ich::PRN,jeg,jeg
739,du::PRN,du,du
740,er::PRN,han,han
741,wir::PRN,vi,vi
742,ihr::PRN,I,I
743,sie::PRN,de,de
744,was::FPRN,hvad,hvad
745,wer::FPRN,hvem,hvem
746,wo::FADV,hvor,hvor
747,wohin::FADV,hvorhen,hvorhen
748,wie::FADV,hvordan,hvordan
749,warum::FADV,hvorfor,hvorfor
750,wieviel::FNUM,hvor meget,hvor meget
751,eins::NUM,én,én
752,zwei::NUM,to,to
753,drei::NUM,tre,tre
754,vier::NUM,fire,fire
755,fünf::NUM,fem,fem
756,sechs::NUM,seks,seks
757,sieben::NUM,syv,syv
758,acht::NUM,otte,otte
759,neun::NUM,ni,ni
760,zehn::NUM,ti,ti
761,elf::NUM,elleve,elleve
762,zwölf::NUM,tolv,tolv
763,zwanzig::NUM,tyve,tyve
764,dreißig::NUM,tredive,tredive
765,vierzig::NUM,fyrre,fyrre
766,vierzig::NUM,fyrre,fyrretyve
767,vierzig::NUM,fyrretyve,fyrre
768,vierzig::NUM,fyrretyve,fyrretyve
769,fünfzig::NUM,halvtreds,halvtreds
770,sechzig::NUM,tres,tres
771,siebzig::NUM,halvfjerds,halvfjerds
772,achtzig::NUM,firs,firs
773,neunzig::NUM,halvfems,halvfems
774,hundert::NUM,hundrede,hundrede
775,tausend::NUM,tusind,tusind
776,und::CNJ,og,og
777,oder::CNJ,eller,eller
778,stehen::V,stå,stå
779,sitzen::V,sidde,sidde
780,liegen::V,ligge,ligge
781,hängen::V,hænge,hænge
782,werden::V,blive,blive
783,passieren::V,ske,ske
784,passieren::V,ske,hænde
785,passieren::V,hænde,ske
786,passieren::V,hænde,hænde
787,beginnen::V,begynde,begynde
788,enden::V,ende,ende
789,wechseln::V,veksle,veksle
790,aufgehen[Sonne]::V,gå op,gå op
791,aufgehen[Sonne]::V,gå op,stå op
792,aufgehen[Sonne]::V,stå op,gå op
793,aufgehen[Sonne]::V,stå op,stå op
794,untergehen[Sonne]::V,gå ned,gå ned
795,scheinen[Sonne]::V,skinne,skinne
796,donnern::V,tordne,tordne
797,wehen::V,blæse,blæse
798,strömen::V,strømme,strømme
799,fließen::V,flyde,flyde
800,sich drehen::V,dreje sig,dreje sig
801,schwanken::V,vakle,vakle
802,schwingen::V,svinge,svinge
803,fallen::V,falde,falde
804,brennen::V,brænde,brænde
805,rauchen::V,ryge,ryge
806,regnen::V,regne,regne
807,gefrieren::V,fryse,fryse
808,tauen::V,tø,tø
809,schmelzen::V,smelte,smelte
810,trocknen::V,tørre,tørre
811,sieden::V,koge,koge
812,faulen::V,rådne,rådne
813,verfaulen::V,rådne,rådne
814,reißen::V,briste,briste
815,versinken::V,synke,synke
816,versinken::V,synke,synke ned
817,versinken::V,synke ned,synke
818,versinken::V,synke ned,synke ned
819,vergehen::V,forløbe,forløbe
820,erscheinen::V,vise sig,vise sig
821,verschwinden::V,forsvinde,forsvinde
822,sinken::V,synke,synke
823,abnehmen::V,aftage,aftage
824,zunehmen::V,tiltage,tiltage
825,steigen::V,stige,stige
826,wachsen::V,gro,gro
827,wachsen::V,gro,vokse
828,wachsen::V,vokse,gro
829,wachsen::V,vokse,vokse
830,glänzen::V,glinse,glinse
831,funkeln::V,tindre,tindre
832,lärmen::V,larme,larme
833,läuten::V,ringe,ringe
834,klingeln::V,ringe,ringe
835,klirren::V,klirre,klirre
836,brausen::V,bruse,bruse
837,rauschen::V,suse,suse
838,klingen::V,lyde,lyde
839,klingen::V,lyde,klinge
840,klingen::V,klinge,lyde
841,klingen::V,klinge,klinge
842,bellen::V,gø,gø
843,heulen::V,hyle,hyle
844,blasen::V,blæse,blæse
845,pfeifen::V,fløjte,fløjte
846,schreien::V,skrige,skrige
847,stöhnen::V,stønne,stønne
848,zittern::V,dirre,dirre
849,zittern::V,dirre,skælve
850,zittern::V,skælve,dirre
851,zittern::V,skælve,skælve
852,leben::V,leve,leve
853,geboren werden::V,fødes,fødes
854,atmen::V,ånde,ånde
855,trinken::V,drikke,drikke
856,essen::V,spise,spise
857,schlucken::V,synke,synke
858,müde werden::V,blive træt,blive træt
859,einschlafen::V,falde i søvn,falde i søvn
860,schlafen::V,sove,sove
861,aufwachen::V,vågne,vågne
862,aufstehen::V,stå op,stå op
863,sich erholen::V,komme sig,komme sig
864,krank werden::V,blive syg,blive syg
