,Concept_ID,ka,da
134,Baum::N,ხე,træ
135,Stamm::N,ტანი,stamme
136,Rinde::N,ქერქი,bark
137,Ast::N,ტოტი,gren
138,Zweig::N,შტო,kvist
139,Blatt::N,ფოთოლი,blad
140,Birke::N,არყი,birk
141,Kiefer[Baum]::N,ფიჭვი,fyrretræ
142,Weide[Baum]::N,ტირიფი,piletræ
143,Tanne::N,ნაძვი,gran
144,Horn::N,რქა,horn
145,Feder::N,ფრთა,fjer
146,Fell::N,ტყავი,skind
147,Flügel::N,ფრთა,vinge
148,Klaue::N,კლანჭი,klov
149,Kralle::N,ტორი,klo
150,Schwanz::N,კუდი,hale
151,Ei::N,კვერცხი,æg
152,Nest::N,ბუდე,rede
153,Bau::N,სორო,bo
154,Tier::N,ნადირი,dyr
155,Tier::N,ცხოველი,dyr
156,Herde::N,ფარა,flok
157,Kuh::N,ფური,ko
158,Kuh::N,ძროხა,ko
159,Bulle::N,ხარი,tyr
160,Pferd::N,რაში,hest
161,Pferd::N,ცხენი,hest
162,Schaf::N,ცხვარი,får
163,Schwein::N,ღორი,gris
164,Hund::N,ძაღლი,hund
165,Katze::N,კატა,kat
166,Bär::N,დათვი,bjørn
167,Eichhörnchen::N,ციყვი,egern
168,Elch::N,ცხენ-ირემი,elg
169,Fuchs::N,მელა,ræv
170,Hase::N,კურდღელი,hare
171,Maus::N,თაგვი,mus
172,Wolf::N,მგელი,ulv
173,Vogel::N,ჩიტი,fugl
174,Vogel::N,ფრინველი,fugl
175,Schwarm::N,გუნდი,sværm
176,Huhn::N,დედალი,høne
177,Hahn::N,მამალი,hane
178,Gans::N,ბატი,gås
179,Adler::N,არწივი,ørn
180,Ente::N,იხვი,and
181,Eule::N,ბუ,ugle
182,Kranich::N,წერო,trane
183,Krähe::N,ყვავი,krage
184,Kuckuck::N,გუგული,gøg
185,Schwan::N,გედი,svane
186,Fisch::N,თევზი,fisk
187,Barsch::N,ქორჭილა,aborre
188,Hecht::N,ქარიყლაპია,gedde
189,Schlange[Tier]::N,გველი,slange
190,Wurm::N,ჭია,orm
191,Spinne::N,ობობა,edderkop
192,Ameise::N,ჭიანჭველა,myre
193,Laus::N,ტილი,lus
194,Laus::N,მკბენარი,lus
195,Mücke::N,კოღო,myg
196,Fliege::N,ბუზი,flue
197,Schmetterling::N,პეპელა,sommerfugl
198,Beere::N,კენკრა,bær
199,Apfel::N,ვაშლი,æble
200,Pilz::N,სოკო,svamp
201,Zwiebel::N,ხახვი,løg
202,Saat::N,თესლი,sæd
203,Korn::N,მარცვალი,korn
204,Heu::N,თივა,hø
205,Schale::N,ჩენჩო,skræl
206,Grube::N,ორმო,grav
207,Falle::N,ხაფანგი,fælde
208,Schlinge::N,მახე,snare
209,Spur::N,კვალი,spor
210,Asche::N,ფერფლი,aske
211,Dreck::N,ტალახი,snavs
212,Dreck::N,სიბინძურე,snavs
213,Eisen::N,რკინა,jern
214,Gold::N,ოქრო,guld
215,Silber::N,ვერცხლი,sølv
216,Kohle::N,ნახშირი,kul
217,Glas::N,მინა,glas
218,Lehm::N,თიხა,ler
219,Sand::N,ქვიშა,sand
220,Mensch::N,ადამიანი,mennesge
221,Mann::N,კაცი,mand
222,Frau::N,ქალი,kvinde
223,Kind::N,ბავშვი,barn
224,Junge::N,ვაჟი,dreng
225,Mädchen::N,გოგო,pige
226,Familie::N,ოჯახი,familie
227,Großvater::N,პაპა,bedstefar
228,Großvater::N,ბაბუა,bedstefar
229,Großmutter::N,ბებია,bedstemor
230,Großmutter::N,დიდედა,bedstemor
231,Eltern::N,მშობლები,forældre
232,Vater::N,მამა,far
233,Mutter::N,დედა,mor
234,Sohn::N,ვაჟიშვილი,søn
235,Tochter::N,ქალიშვილი,datter
236,Bruder::N,ძმა,bror
237,Schwester::N,და,søster
238,Onkel::N,ბიძა,onkel
239,Tante::N,დეიდა,tante
240,Tante::N,მამიდა,tante
241,Ehemann::N,ქმარი,ægtemand
242,Ehefrau::N,ცოლი,hustru
243,Freude::N,სიხარული,glæde
244,Gelächter::N,სიცილი,latter
245,Glück::N,ბედნიერება,lykke
246,Kummer::N,მწუხარება,sorg
247,Wunsch::N,წადილი,ønske
248,Wunsch::N,სურვილი,ønske
249,Lust::N,წადილი,lyst
250,Geist::N,სული,ånd
251,Gedanke::N,ფიქრი,tanke
252,Gedächtnis::N,მეხსიერება,hukommelse
253,Verstand::N,ჭკუა,forstand
254,Verstand::N,გონება,forstand
255,Sinn::N,მნიშვნელობა,mening
256,Sinn::N,მნიშვნელობა,betydning
257,Grund::N,მიზეზი,grund
258,Wahrheit::N,სიმართლე,sandhed
259,Wahrheit::N,ჭეშმარიტება,sandhed
260,Gespräch::N,ბაასი,samtale
261,Gespräch::N,საუბარი,samtale
262,Märchen::N,არაკი,eventyr
263,Märchen::N,ზღაპარი,eventyr
264,Erzählung::N,თქმულება,fortælling
265,Nachricht::N,ცნობა,efterretning
266,Nachricht::N,ამბავი,efterretning
267,Neuigkeit::N,სიახლე,nyhed
268,Name::N,სახელი,navn
269,Rätsel::N,გამოცანა,gåde
270,Rede::N,სიტყვა,tale
271,Sprache::N,ენა,sprog
272,Stimme::N,ხმა,stemme
273,Wort::N,სიტყვა,ord
274,Zeichen::N,ნიშანი,tegn
275,Ruf::N,ძახილი,råb
276,Lärm::N,ხმაური,larm
277,Laut::N,ხმა,lyd
278,Laut::N,ბგერა,lyd
279,Ton::N,ტონი,tone
280,Lied::N,სიმღერა,sang
281,Ruhe::N,სიწყნარე,ro
282,Ruhe::N,სიწყნარე,hvile
283,Leute::N,ადამიანები,folk
284,Leute::N,ადამიანები,mennesker
285,Volk::N,ერი,folk
286,Volk::N,ხალხი,folk
287,Arbeit::N,მუშაობა,arbejde
288,Gast::N,სტუმარი,gæst
289,Geschenk::N,საჩუქარი,gave
290,Spiel::N,თამაში,leg
291,Gesellschaft::N,საზოგადოება,selskab
292,Hilfe::N,შველა,hjælp
293,Hilfe::N,დახმარება,hjælp
294,Freund::N,მეგობარი,ven
295,Kamerad::N,ამხანაგი,kammerat
296,Angelegenheit::N,საქმე,sag
297,Angelegenheit::N,საქმე,anliggende
298,Anzahl::N,ოდენობა,antal
299,Art::N,სახეობა,art
300,Stück::N,ნატეხი,stykke
301,Teil::N,წილი,del
302,Hälfte::N,ნახევარი,halvdel
303,Kreis::N,წრე,cirkel
304,Kreuz::N,ჯვარი,kors
305,Kreuz::N,ჯვარი,kryds
306,Linie::N,ხაზი,linie
307,Strich::N,შტრიხი,streg
308,Abstand::N,მანძილი,afstand
309,Entfernung::N,სიშორე,afstand
310,Gegend::N,არე,egn
311,Gegend::N,მხარე,egn
312,Platz::N,ფართობი,plads
313,Ort::N,ადგილი,sted
314,Seite::N,მხარე,side
315,Mitte::N,შუა,midte
316,Gegenstand::N,საგანი,genstand
317,Sache::N,ნივთი,sag
318,Rand::N,კიდე,rand
319,Kante::N,ნაწიბული,kant
320,Ecke::N,კუთხე,hjørne
321,Spitze::N,წვეტი,spids
322,Ende::N,ბოლო,ende
323,Loch::N,ხვრელი,hul
324,Winkel::N,კუთხე,vinkel
325,Muster::N,მოხატულობა,mønster
326,Größe::N,ზომა,størrelse
327,Größe::N,სიდიდე,størrelse
328,Länge::N,სიგრძე,længde
329,Höhe::N,სიმაღლე,højde
330,Gewicht::N,წონა,vægt
331,Menge::N,რაოდენობა,mængde
332,Haufen::N,გროვა,bunke
333,Reihe::N,რიგი,række
334,Reihe::N,წყება,række
335,Boot::N,გემი,båd
336,Ruder::N,ხოფი,åre
337,Ruder::N,ნიჩაბი,åre
338,Schlitten::N,მარხილი,kælk
339,Schlitten::N,მარხილი,slæde
340,Ski::N,თხილამური,ski
341,Lagerfeuer::N,კოცონი,lejrbål
342,Last::N,ტვირთი,last
343,Last::N,ტვირთი,byrde
344,Gang::N,სვლა,gang
345,Schritt::N,ბიჯი,skridt
346,Norden::N,ჩრდილოეთი,nord
347,Süden::N,სამხრეთი,syd
348,Westen::N,დასავლეთი,vest
349,Osten::N,აღმოსავლეთი,øst
350,Holz::N,ხე,træ
351,Brett::N,დაფა,bræt
352,Brett::N,ფიცარი,bræt
353,Platte::N,თლილი ქვა,plade
354,Stütze::N,საყრდენი,støtte
355,Stange::N,ჭოკი,stang
356,Stock::N,კეტი,stok
357,Stab::N,ლატანი,stav
358,Rohr::N,მილაკი,rør
359,Haus::N,სახლი,hus
360,Heim::N,ოჯახის კერა,hjem
361,Ofen::N,ღუმელი,ovn
362,Fußboden::N,იატაკი,gulv
363,Tisch::N,სუფრა,bord
364,Tisch::N,მაგიდა,bord
365,Stuhl::N,სკამი,stol
366,Wiege::N,აკვანი,vugge
367,Bett::N,საწოლი,seng
368,Bett::N,სარეცელი,seng
369,Regal::N,თაროები,reol
370,Kiste::N,ყუთი,kasse
371,Kiste::N,სკივრი,kasse
372,Fenster::N,ფანჯარა,vindue
373,Fenster::N,სარკმელი,vindue
374,Tür::N,ბჭე,dør
375,Tür::N,კარი,dør
376,Tor::N,ჭიშკარი,port
377,Zaun::N,ღობე,stakit
378,Zaun::N,გალავანი,stakit
379,Dach::N,სახურავი,tag
380,Leiter::N,კიბე,stige
381,Besen::N,ცოცხი,kost
382,Spaten::N,ნიჩაბი,spade
383,Schaufel::N,ბარი,skovl
384,Gabel::N,ჩანგალი,gaffel
385,Löffel::N,კოვზი,ske
386,Messer::N,დანა,kniv
387,Nagel::N,ლურსმანი,søm
388,Netz::N,ბადე,net
389,Haken::N,კავი,krog
390,Haken::N,კაუჭი,krog
391,Griff::N,ტარი,tag
392,Griff::N,ტარი,håndtag
393,Schloss::N,კლიტე,lås
394,Schloss::N,საკეტი,lås
395,Bild::N,სურათი,billede
396,Figur::N,ფიგურა,figur
397,Puppe::N,თოჯინა,dukke
398,Beutel::N,პარკი,pose
399,Bündel::N,გალა,bylt
400,Bündel::N,გალა,bundt
401,Bündel::N,ასხმა,bylt
402,Bündel::N,ასხმა,bundt
403,Tasche::N,ჩანთა,taske
404,Eimer::N,ჩამჩა,spand
405,Deckel::N,ხუფი,låg
406,Deckel::N,სარქველი,låg
407,Geschirr::N,ჭურჭელი,husgeråd
408,Sack::N,ტომარა,sæk
409,Tasse::N,ფინჯანი,kop
410,Topf::N,ქოთანი,gryde
411,Kessel::N,ქვაბი,kedel
412,Essen::N,ჭამა,måltid
413,Nahrung::N,საზრდო,mad
414,Nahrung::N,საზრდო,næring
415,Nahrung::N,საკვები,mad
416,Nahrung::N,საკვები,næring
417,Speise::N,საჭმელი,ret
418,Fleisch::N,ხორცი,kød
419,Getreide::N,მარცვლოვანი,korn
420,Brei::N,ფაფა,grød
421,Brot::N,პური,brød
422,Scheibe::N,ნაჭერი,skive
423,Fett::N,ქონი,fedt
424,Fett::N,ცხიმი,fedt
425,Butter::N,კარაქი,smør
426,Öl::N,ზეთი,olie
427,Salz::N,მარილი,salt
428,Suppe::N,სუფი,suppe
429,Honig::N,თაფლი,honning
430,Milch::N,რძე,mælk
431,Tee::N,ჩაი,te
432,Leder::N,ტყავი,skind
433,Wolle::N,მატყლი,uld
434,Stoff::N,ქსოვილი,stof
435,Nadel::N,ნემსი,nål
436,Faden::N,ძაფი,tråd
437,Faden::N,მკედი,tråd
438,Knopf::N,ღილი,knap
439,Knoten::N,ნასკვი,knude
440,Farbe::N,საღებავი,farve
441,Kleidung::N,ტანსაცმელი,påklædning
442,Hemd::N,ხალათი,skjorte
443,Hemd::N,პერანგი,skjorte
444,Kragen::N,საყელო,krave
445,Ärmel::N,სახელო,ærme
446,Hose::N,შარვალი,bukser
447,Gürtel::N,ქამარი,bælte
448,Mütze::N,ქუდი,hue
449,Schuh::N,ფეხსაცმელი,sko
450,Stiefel::N,ჩექმა,støvle
451,Ring::N,ბეჭედი,ring
452,Band::N,ბაფთი,bånd
453,Kamm::N,სავარცხელი,kam
454,Spiegel::N,სარკე,spejl
455,Riemen::N,ღვედი,rem
456,Schnur::N,ლარი,snor
457,Leine::N,ჯაჭვი,snor
458,Decke::N,საბანი,tæppe
459,Kissen::N,ბალიში,pude
460,Tuch::N,მაუდი,sjaltørklæde
461,Tuch::N,თავშალი,sjaltørklæde
462,Handtuch::N,ხელსახოცი,håndklæde
463,Kraft::N,ძალა,kraft
464,Stärke::N,ღონე,styrke
465,Gesundheit::N,ჯანმრთელობა,sundhed
466,Krankheit::N,სენი,sygdom
467,Krankheit::N,ავადმყოფობა,sygdom
468,Schmerz::N,ტკივილი,smerte
469,Wunde::N,იარი,sår
470,Wunde::N,ჭრილობა,sår
471,Fieber::N,ციება,feber
472,Arznei::N,წამალი,medicin
473,Arznei::N,წამალი,lægemiddel
474,Brücke::N,ხიდი,bro
475,Brunnen::N,ჭა,brønd
476,Weide::N,საძოვარი,græsgang
477,Pfad::N,ბილიკი,sti
478,Weg::N,გზა,vej
479,Straße::N,შარაგზა,gade
480,Dorf::N,დაბა,landsby
481,Dorf::N,სოფელი,landsby
482,Stadt::N,ქალაქი,by
483,Brief::N,წერილი,brev
484,Buch::N,წიგნი,bog
485,Buchstabe::N,ასო,bogstav
486,Zeitung::N,გაზეთი,avis
487,Leben::N,სიცოცხლე,liv
488,Tod::N,სიკვდილი,død
489,Grab::N,სამარე,grav
490,Grab::N,საფლავი,grav
491,Kirche::N,ეკლესია,kirke
492,Sünde::N,ცოდვა,synd
493,Gott::N,ღმერთი,gud
494,Arbeiter::N,მუშა,arbejder
495,Chef::N,გამგე,chef
496,Meister::N,ოსტატი,mester
497,Arzt::N,ექიმი,læge
498,Arzt::N,მკურნალი,læge
499,Lehrer::N,მასწავლებელი,lærer
500,Geld::N,ფული,penge
501,Geschäft::N,საქმე,forretning
502,Geschäft::N,ბიზნესი,forretning
503,Laden::N,დუქანი,butik
504,Laden::N,დუქანი,forretning
505,Laden::N,მაღაზია,butik
506,Laden::N,მაღაზია,forretning
507,Preis::N,ფასი,pris
508,Ware::N,საქონელი,vare
509,Nutzen::N,ხეირი,nytte
510,Reichtum::N,სიმდიდრე,rigdom
511,Welt::N,მსოფლიო,verden
512,Land::N,მხარე,land
513,Land::N,ქვეყანა,land
514,Staat::N,სახელმწიფო,stat
515,König::N,მეფე,konge
516,Macht::N,ძლიერება,magt
517,Grenze::N,ზღვარი,grænse
518,Krieg::N,ომი,krig
519,Feind::N,მტერი,fjende
520,Gewalt::N,სისასტიკე,vold
521,Kampf::N,ბრძოლა,kamp
522,Bogen[Waffe]::N,მშვილდი,bue
523,Pfeil::N,ისარი,pil
524,Pfeil::N,მახვილი,pil
525,Gewehr::N,თოფი,gevær
526,Gewehr::N,შაშხანა,gevær
527,Fehler::N,შეცდომა,fejl
528,Lüge::N,სიცრუე,løgn
529,Schaden::N,ვნება,skade
530,Unglück::N,ხიფათი,uheld
531,Unglück::N,ხიფათი,ulykke
532,Unglück::N,უბედურება,uheld
533,Unglück::N,უბედურება,ulykke
534,Schuld::N,ბრალი,skyld
535,Alter::N,ასაკი,alder
536,Schluss::N,ბოლო,slut
537,Schluss::N,ბოლო,slutning
538,Schluss::N,დასასრული,slut
539,Schluss::N,დასასრული,slutning
540,Zeit::N,დრო,tid
541,Tag::N,დღე,dag
542,Morgen::N,დილა,morgen
543,Mittag::N,შუადღე,middag
544,Abend::N,საღამო,aften
545,Nacht::N,ღამე,nat
546,Woche::N,კვირა,uge
547,Monat::N,თვე,måned
548,Jahr::N,წელი,år
549,Frühling::N,გაზაფხული,forår
550,Sommer::N,ზაფხული,sommer
551,Herbst::N,შემოდგომა,efterår
552,Winter::N,ზამთარი,vinter
553,Januar::N,იანვარი,januar
554,Februar::N,თებერვალი,februar
555,März::N,მარტი,marts
556,April::N,აპრილი,april
557,Mai::N,მაისი,maj
558,Juni::N,ივნისი,juni
559,Juli::N,ივლისი,juli
560,August::N,აგვისტო,august
561,September::N,სექტემბერი,september
562,Oktober::N,ოქტომბერი,oktober
563,November::N,ნოემბერი,november
564,Dezember::N,დეკემბერი,december
565,Montag::N,ორშაბათი,mandag
566,Dienstag::N,სამშაბათი,tirsdag
567,Mittwoch::N,ოთხშაბათი,onsdag
568,Donnerstag::N,ხუთშაბათი,torsdag
569,Freitag::N,პარასკევი,fredag
570,Samstag::N,შაბათი,lørdag
571,Sonntag::N,კვირა,søndag
572,groß::A,დიდი,stor
573,klein::A,მცირე,lille
574,klein::A,პატარა,lille
575,lang::A,გრძელი,lang
576,kurz::A,მოკლე,kort
577,breit::A,ფართო,bred
578,breit::A,განიერი,bred
579,schmal::A,ვიწრო,smal
580,schmal::A,წვრილი,smal
581,dicht::A,მჭიდრო,tæt
582,dick[Gegenstand]::A,სქელი,tyk
583,dünn::A,წვრილი,tynd
584,fein::A,თხელი,fin
585,fest::A,მყარი,fast
586,flach::A,ბრტყელი,flad
587,glatt::A,გლუ,glat
588,hart::A,მაგარი,hård
589,weich::A,რბილი,blød
590,rund::A,მრგვალი,rund
591,spitz::A,წვეტიანი,spids
592,scharf::A,მჭრელი,skarp
593,stumpf::A,ბლაგვი,sløv
594,stumpf::A,ბლაგვი,stump
595,schwer::A,მძიმე,tung
596,schön::A,ლამაზი,skøn
597,heiß::A,ცხელი,hed
598,warm::A,თბილი,varm
599,kalt::A,ცივი,kold
600,kühl::A,გრილი,kølig
601,frisch::A,სუფთა,frisk
602,feucht::A,ნოტიო,fugtig
603,nass::A,სველი,våd
604,trocken::A,მშრალი,tør
605,voll::A,სავსე,fuld
606,leer::A,ცარიელი,tom
607,offen::A,ღია,åben
608,offen::A,გაშლილი,åben
609,geschlossen::A,დახურული,lukket
610,sauber::A,სუფთა,ren
611,sauber::A,წმინდა,ren
612,schmutzig::A,ტალახიანი,snavset
613,roh::A,უმი,rå
614,reif::A,მწიფე,moden
615,lecker::A,გემრიელი,lækker
616,süß::A,ტკბილი,sød
617,bitter::A,მწარე,bitter
618,sauer::A,მჟავე,sur
619,hell::A,ნათელი,lys
620,dunkel::A,ბნელი,mørk
621,schwarz::A,შავი,sort
622,weiß::A,თეთრი,hvid
623,rot::A,წითელი,rød
624,gelb::A,ყვითელი,gul
625,blau::A,ლურჯი,blå
626,blau::A,ცისფერი,blå
627,grün::A,მწვანე,grøn
628,grau::A,რუხი,grå
629,grau::A,ნაცრისფერი,grå
630,bunt::A,ჭრელი,broget
631,bunt::A,ფერადი,broget
632,billig::A,იაფი,billig
633,teuer::A,ძვირი,dyr
634,wertvoll::A,ღირსიანი,værdifuld
635,blind::A,ბრმა,blind
636,taub::A,ყრუ,døv
637,kräftig::A,ძალავანი,kraftig
638,stark::A,ძლიერი,stærk
639,stark::A,ღონიერი,stærk
640,schwach::A,სუსტი,svag
641,fett::A,სქელი,fed
642,schlank::A,გამხდარი,slank
643,hübsch::A,ეშხიანი,køn
644,hübsch::A,მშვენიერი,køn
645,böse::A,ავი,ond
646,böse::A,ავი,slem
647,böse::A,ბოროტი,ond
648,böse::A,ბოროტი,slem
649,dumm::A,ბოთე,dum
650,dumm::A,სულელი,dum
651,faul::A,ზანტი,doven
652,faul::A,ზარმაცი,doven
653,fleißig::A,ბეჯითი,flittig
654,fleißig::A,მუყაითი,flittig
655,geizig::A,ძუნწი,gerrig
656,klug::A,ჭკვიანი,klog
657,geschickt::A,მარჯვე,dygtig
658,geschickt::A,მარჯვე,behændig
659,geschickt::A,გაწაფული,dygtig
660,geschickt::A,გაწაფული,behændig
661,lieb::A,სატრფიალო,rar
662,lustig::A,მხიარული,lystig
663,sanft::A,ალერსიანი,blid
664,sanft::A,გრძნობიერი,blid
665,hungrig::A,მშიერი,sulten
666,krank::A,სნეული,syg
667,krank::A,ავადმყოფი,syg
668,nackt::A,ტიტველი,nøgen
669,traurig::A,მწუხარე,bedrøvet
670,traurig::A,სევდიანი,bedrøvet
671,lebendig::A,ცოცხალი,levende
672,gut::A,კარგი,god
673,schlecht::A,უხეირო,dårlig
674,richtig::A,ნამდვილი,rigtig
675,schlimm::A,ცუდი,slem
676,wahr::A,სწორი,sand
677,wahr::A,ჭეშმარიტი,sand
678,alt::A,ძველი,gammel
679,neu::A,ახალი,ny
680,ehemalig::A,ყოფილი,forhenværende
681,alt[Lebewesen]::A,ბებერი,gammel
682,jung::A,ნორჩი,ung
683,jung::A,ახალგაზრდა,ung
684,arm::A,ღარიბი,fattig
685,reich::A,მდიდარი,rig
686,bekannt::A,ცნობილი,kendt
687,berühmt::A,გამოჩენილი,berømt
688,fremd::A,უცხო,fremmed
689,fremd::A,გარეშე,fremmed
690,verschieden::A,სხვაგვარი,forskellig
691,nah::A,ახლო,nær
692,fern::A,შორი,fjern
693,fern::A,შორეული,fjern
694,linker::A,მარცხენა,venstre
695,rechter::A,მარჯვენა,højre
696,anderer::A,სხვა,anden
697,erster::A,პირველი,første
698,zweiter::A,მეორე,anden
699,dritter::A,მესამე,tredje
700,letzter::A,ბოლო,sidste
701,letzter::A,უკანასკნელი,sidste
702,allein::ADV,მარტო,alene
703,auf einmal::ADV,ერთდროულად,på én gang
704,zusammen::ADV,ერთად,sammen
705,lange::ADV,დიდხანს,længe
706,plötzlich::ADV,მოულოდნელად,pludselig
707,sofort::ADV,ახლავე,straks
708,später::ADV,მოგვიანებით,senere
709,jetzt::ADV,ახლა,nu
710,heute::ADV,დღეს,i dag
711,morgen::ADV,ხვალ,i morgen
712,bald::ADV,მალე,snart
713,dann::ADV,მერე,så
714,gestern::ADV,გუშინ,i går
715,einst::ADV,ოდესღაც,engang
716,damals::ADV,მაშინ,dengang
717,danach::ADV,მერმე,derefter
718,danach::ADV,შემდეგ,derefter
719,vorher::ADV,ადრე,før
720,vorher::ADV,ადრე,forud
721,vorher::ADV,წინათ,før
722,vorher::ADV,წინათ,forud
723,zuerst::ADV,ჯერ,først
724,einmal::ADV,ერთხელ,en gang
725,manchmal::ADV,ხან,sommetider
726,manchmal::ADV,ზოგჯერ,sommetider
727,oft::ADV,ხშირად,ofte
728,immer::ADV,მუდამ,altid
729,immer::ADV,ყოველთვის,altid
730,niemals::ADV,არასდროს,aldrig
731,hier::ADV,აქ,her
732,hierhin::ADV,აქეთ,hid
733,hierhin::ADV,აქეთ,herhen
734,von hier::ADV,აქედან,herfra
735,dort::ADV,იქ,der
736,dorthin::ADV,იქით,derhen
737,geradeaus::ADV,პირდაპირ,lige ud
738,vorwärts::ADV,წინ,fremad
739,rückwärts::ADV,უკან,baglæns
740,zurück::ADV,უკანვე,tilbage
741,unten::ADV,დაბლა,nede
742,unten::ADV,დაბლა,forneden
743,unten::ADV,ქვევით,nede
744,unten::ADV,ქვევით,forneden
745,hinab::ADV,ძირს,ned
746,hinab::ADV,ძირს,nedad
747,oben::ADV,ზემოთ,oppe
748,oben::ADV,ზემოთ,ovenpå
749,hinauf::ADV,ზევით,op
750,hinauf::ADV,ზევით,opad
751,überall::ADV,ყველგან,overalt
752,nicht::ADV,არ,ikke
753,ein wenig::ADV,ცოტა,lidt
