,Concept_ID,uk,no
161,Hase::N,заєць,hare
162,Maus::N,миша,mus
163,Wolf::N,вовк,ulv
164,Wolf::N,вовк,varg
165,Vogel::N,птах,fugl
166,Schwarm::N,зграя,sverm
167,Huhn::N,курка,høne
168,Hahn::N,півень,hane
169,Gans::N,гуска,gås
170,Adler::N,орел,ørn
171,Ente::N,качка,and
172,Eule::N,сова,ugle
173,Kranich::N,журавель,trane
174,Krähe::N,ворона,kråke
175,Kuckuck::N,зозуля,gjøk
176,Schwan::N,лебідь,svane
177,Fisch::N,риба,fisk
178,Barsch::N,окунь,abbor
179,Hecht::N,щука,gjedde
180,Schlange[Tier]::N,змія,orm
181,Schlange[Tier]::N,змія,slange
182,Wurm::N,черв’як,orm
183,Wurm::N,черв’як,mark
184,Spinne::N,павук,edderkopp
185,Ameise::N,мурашка,maur
186,Laus::N,воша,lus
187,Mücke::N,комар,mygg
188,Fliege::N,муха,flue
189,Schmetterling::N,метелик,sommerfugl
190,Beere::N,ягода,bær
191,Apfel::N,яблуко,eple
192,Pilz::N,гриб,sopp
193,Zwiebel::N,цибуля,løk
194,Saat::N,сім’я,sæd
195,Korn::N,зерно,korn
196,Heu::N,сіно,høy
197,Schale::N,шкірка,skall
198,Grube::N,яма,grop
199,Falle::N,пастка,felle
200,Schlinge::N,петля,snare
201,Spur::N,слід,spor
202,Asche::N,зола,aske
203,Asche::N,попіл,aske
204,Dreck::N,бруд,møkk
205,Dreck::N,бруд,skitt
206,Eisen::N,залізо,jern
207,Gold::N,золото,gull
208,Silber::N,срібло,sølv
209,Kohle::N,вугілля,kol
210,Kohle::N,вугілля,kull
211,Glas::N,скло,glass
212,Lehm::N,глина,leire
213,Sand::N,пісок,sand
214,Mensch::N,людина,menneske
215,Mann::N,чоловік,mann
216,Frau::N,жінка,kvinne
217,Kind::N,дитина,barn
218,Junge::N,хлопець,gutt
219,Mädchen::N,дівчина,pike
220,Mädchen::N,дівчина,jente
221,Familie::N,сім’я,familie
222,Familie::N,родина,familie
223,Großvater::N,дідусь,bestefar
224,Großmutter::N,бабуся,bestemor
225,Eltern::N,батьки,foreldre
226,Vater::N,батько,far
227,Mutter::N,мати,mor
228,Sohn::N,син,sønn
229,Tochter::N,дочка,datter
230,Bruder::N,брат,bror
231,Schwester::N,сестра,søster
232,Onkel::N,дядько,onkel
233,Tante::N,тітка,tante
234,Ehemann::N,чоловік,ektemann
235,Ehefrau::N,жінка,hustru
236,Ehefrau::N,дружина,hustru
237,Freude::N,радощі,glede
238,Gelächter::N,сміх,latter
239,Glück::N,щастя,lykke
240,Kummer::N,горе,sorg
241,Wunsch::N,бажання,ønske
242,Lust::N,бажання,lyst
243,Geist::N,дух,ånd
244,Gedanke::N,думка,tanke
245,Gedächtnis::N,пам’ять,minne
246,Gedächtnis::N,пам’ять,hukommelse
247,Verstand::N,розум,forstand
248,Sinn::N,зміст,mening
249,Sinn::N,зміст,betydning
250,Sinn::N,значення,mening
251,Sinn::N,значення,betydning
252,Grund::N,причина,grunn
253,Wahrheit::N,правда,sannhet
254,Gespräch::N,розмова,samtale
255,Märchen::N,байка,eventyr
256,Erzählung::N,повість,fortelling
257,Erzählung::N,оповідання,fortelling
258,Nachricht::N,повідомлення,melding
259,Neuigkeit::N,новина,nyhet
260,Name::N,ім’я,navn
261,Rätsel::N,загадка,gåte
262,Rede::N,промова,tale
263,Sprache::N,мова,språk
264,Stimme::N,голос,stemme
265,Wort::N,слово,ord
266,Zeichen::N,знак,tegn
267,Ruf::N,оклик,rop
268,Lärm::N,шум,bråk
269,Laut::N,звук,lyd
270,Ton::N,тон,tone
271,Lied::N,пісня,vise
272,Ruhe::N,спокій,ro
273,Leute::N,люди,folk
274,Volk::N,народ,folk
275,Arbeit::N,робота,arbeid
276,Gast::N,гість,gjest
277,Geschenk::N,подарунок,gave
278,Spiel::N,гра,lek
279,Spiel::N,гра,spill
280,Gesellschaft::N,товариство,selskap
281,Hilfe::N,допомога,hjelp
282,Freund::N,друг,venn
283,Freund::N,приятель,venn
284,Kamerad::N,товариш,kamerat
285,Angelegenheit::N,справа,sak
286,Angelegenheit::N,справа,anliggende
287,Anzahl::N,число,antall
288,Art::N,рід,art
289,Art::N,рід,slag
290,Stück::N,кусок,stykke
291,Teil::N,частина,del
292,Hälfte::N,половина,halvdel
293,Kreis::N,круг,ring
294,Kreis::N,круг,sirkel
295,Kreis::N,коло,ring
296,Kreis::N,коло,sirkel
297,Kreuz::N,хрест,kors
298,Kreuz::N,хрест,kryss
299,Linie::N,лінія,linje
300,Strich::N,штрих,strek
301,Abstand::N,проміжок,avstand
302,Entfernung::N,відстань,avstand
303,Gegend::N,місцевість,strøk
304,Platz::N,площа,plass
305,Ort::N,місце,sted
306,Seite::N,сторона,side
307,Mitte::N,середина,midte
308,Gegenstand::N,предмет,gjenstand
309,Sache::N,річ,sak
310,Rand::N,край,rand
311,Kante::N,ребро,kant
312,Ecke::N,ріг,hjørne
313,Spitze::N,кінчик,spiss
314,Ende::N,кінець,ende
315,Loch::N,діра,hull
316,Winkel::N,куток,vinkel
317,Muster::N,узор,mønster
318,Größe::N,розмір,størrelse
319,Länge::N,довжина,lengde
320,Höhe::N,висота,høyde
321,Gewicht::N,вага,vekt
322,Menge::N,кількість,mengde
323,Haufen::N,купа,haug
324,Haufen::N,купа,bunke
325,Reihe::N,ряд,rekke
326,Boot::N,човен,båt
327,Ruder::N,весло,åre
328,Schlitten::N,сани,slede
329,Schlitten::N,сани,kjelke
330,Ski::N,лижа,ski
331,Lagerfeuer::N,вогнище,leirbål
332,Last::N,тягар,bør
333,Last::N,тягар,last
334,Last::N,вантаж,bør
335,Last::N,вантаж,last
336,Gang::N,хід,gang
337,Schritt::N,крок,steg
338,Schritt::N,крок,skritt
339,Norden::N,північ,nord
340,Süden::N,південь,sør
341,Westen::N,захід,vest
342,Osten::N,схід,øst
343,Holz::N,дрова,tre
344,Brett::N,дошка,fjøl
345,Brett::N,дошка,brett
346,Platte::N,плита,plate
347,Stütze::N,підпірка,støtte
348,Stange::N,жердина,stang
349,Stock::N,палиця,pinne
350,Stab::N,палиця,stav
351,Stab::N,палиця,kjepp
352,Rohr::N,труба,rør
353,Haus::N,дім,hus
354,Haus::N,хата,hus
355,Heim::N,житло,hjem
356,Ofen::N,піч,ovn
357,Fußboden::N,підлога,gulv
358,Tisch::N,стіл,bord
359,Stuhl::N,стілець,stol
360,Wiege::N,колиска,vogge
361,Bett::N,ліжко,seng
362,Bett::N,постіль,seng
363,Regal::N,полиця,reol
364,Regal::N,полиця,hylle
365,Kiste::N,ящик,kasse
366,Fenster::N,вікно,vindu
367,Tür::N,двері,dør
368,Tor::N,ворота,port
369,Zaun::N,паркан,gjerde
370,Zaun::N,огорожа,gjerde
371,Dach::N,дах,tak
372,Leiter::N,драбина,stige
373,Besen::N,мітла,kost
374,Spaten::N,заступ,spade
375,Schaufel::N,совок,skuffe
376,Schaufel::N,лопата,skuffe
377,Gabel::N,виделка,gaffel
378,Löffel::N,ложка,skje
379,Messer::N,ніж,kniv
380,Nagel::N,цвях,spiker
381,Netz::N,сіть,nett
382,Haken::N,крюк,krok
383,Griff::N,ручка,tak
384,Griff::N,ручка,håndtak
385,Griff::N,держак,tak
386,Griff::N,держак,håndtak
387,Schloss::N,замок,lås
388,Bild::N,картина,bilde
389,Figur::N,фігура,figur
390,Puppe::N,лялька,dukke
391,Beutel::N,мішечок,pose
392,Beutel::N,торбинка,pose
393,Bündel::N,в’язка,bylt
394,Tasche::N,сумка,veske
395,Eimer::N,відро,bøtte
396,Deckel::N,кришка,lokk
397,Geschirr::N,посуд,kjøkkentøy
398,Sack::N,мішок,sekk
399,Tasse::N,чашка,kopp
400,Topf::N,горщик,gryte
401,Kessel::N,котел,kjele
402,Essen::N,їжа,mål
403,Nahrung::N,харч,mat
404,Nahrung::N,харч,næring
405,Speise::N,страва,matrett
406,Fleisch::N,м’ясо,kjøtt
407,Getreide::N,хліб,korn
408,Getreide::N,збіжжя,korn
409,Brei::N,каша,grøt
410,Brot::N,хліб,brød
411,Scheibe::N,скибочка,skive
412,Fett::N,жир,fett
413,Butter::N,масло,smør
414,Öl::N,олія,olje
415,Salz::N,сіль,salt
416,Suppe::N,суп,suppe
417,Honig::N,мед,honning
418,Milch::N,молоко,melk
419,Tee::N,чай,te
420,Leder::N,шкіра,lær
421,Leder::N,шкіра,skinn
422,Wolle::N,шерсть,ull
423,Stoff::N,тканина,tøy
424,Stoff::N,тканина,stoff
425,Nadel::N,голка,nål
426,Faden::N,нитка,tråd
427,Knopf::N,ґудзик,knapp
428,Knoten::N,вузол,knute
429,Farbe::N,фарба,farge
430,Kleidung::N,одяг,påkledning
431,Kleidung::N,убрання,påkledning
432,Hemd::N,сорочка,skjorte
433,Kragen::N,комір,krage
434,Ärmel::N,рукав,erme
435,Hose::N,брюки,bukse
436,Gürtel::N,пояс,belte
437,Mütze::N,шапка,lue
438,Schuh::N,ботинок,sko
439,Stiefel::N,чобіт,støvel
440,Ring::N,кільце,ring
441,Band::N,стрічка,band
442,Kamm::N,гребінець,kam
443,Spiegel::N,дзеркало,speil
444,Riemen::N,ремінь,rem
445,Schnur::N,вірьовка,snor
446,Leine::N,шворка,line
447,Decke::N,ковдра,teppe
448,Kissen::N,подушка,pute
449,Tuch::N,хустка,tøy
450,Handtuch::N,рушник,håndkle
451,Kraft::N,сила,kraft
452,Stärke::N,сила,styrke
453,Gesundheit::N,здоров’я,helse
454,Gesundheit::N,здоров’я,sunnhet
455,Krankheit::N,хвороба,syke
456,Krankheit::N,хвороба,sykdom
457,Schmerz::N,біль,smerte
458,Wunde::N,рана,sår
459,Fieber::N,гарячка,feber
460,Arznei::N,ліки,medisin
461,Arznei::N,ліки,legemiddel
462,Brücke::N,міст,bro
463,Brunnen::N,колодязь,brønn
464,Weide::N,пасовище,beite
465,Pfad::N,стежка,sti
466,Weg::N,шлях,vei
467,Weg::N,дорога,vei
468,Straße::N,вулиця,gate
469,Dorf::N,село,landsby
470,Stadt::N,місто,by
471,Brief::N,лист,brev
472,Buch::N,книга,bok
473,Buch::N,книжка,bok
474,Buchstabe::N,буква,bokstav
475,Buchstabe::N,літера,bokstav
476,Zeitung::N,газета,avis
477,Leben::N,життя,liv
478,Tod::N,смерть,død
479,Grab::N,могила,grav
480,Kirche::N,церква,kirke
481,Sünde::N,гріх,synd
482,Gott::N,бог,gud
483,Arbeiter::N,робітник,arbeider
484,Chef::N,хазяїн,sjef
485,Meister::N,умілець,mester
486,Arzt::N,лікар,lege
487,Lehrer::N,вчитель,lærer
488,Geld::N,гроші,penger
489,Geschäft::N,заняття,forretning
490,Laden::N,магазин,butikk
491,Laden::N,крамниця,butikk
492,Preis::N,ціна,pris
493,Ware::N,товар,vare
494,Nutzen::N,вигода,nytte
495,Nutzen::N,користь,nytte
496,Reichtum::N,багатство,rikdom
497,Welt::N,світ,verden
498,Land::N,країна,land
499,Staat::N,держава,stat
500,König::N,король,konge
501,Macht::N,влада,makt
502,Grenze::N,кордон,grense
503,Krieg::N,війна,krig
504,Feind::N,ворог,fiende
505,Gewalt::N,насильство,vold
506,Kampf::N,бій,kamp
507,Kampf::N,боротьба,kamp
508,Bogen[Waffe]::N,лук,bue
509,Pfeil::N,стріла,pil
510,Gewehr::N,рушниця,gevær
511,Gewehr::N,гвинтівка,gevær
512,Fehler::N,помилка,feil
513,Lüge::N,брехня,løgn
514,Schaden::N,шкода,skade
515,Schaden::N,збиток,skade
516,Unglück::N,нещастя,uhell
517,Schuld::N,провина,skyld
518,Alter::N,вік,alder
519,Alter::N,літа,alder
520,Schluss::N,кінець,slutt
521,Zeit::N,час,tid
522,Tag::N,день,dag
523,Morgen::N,ранок,morgen
524,Mittag::N,південь,middag
525,Abend::N,вечір,aften
526,Nacht::N,ніч,natt
527,Woche::N,тиждень,uke
528,Monat::N,місяць,måned
529,Jahr::N,рік,år
530,Frühling::N,весна,vår
531,Sommer::N,літо,sommer
532,Herbst::N,осінь,høst
533,Winter::N,зима,vinter
534,Januar::N,січень,januar
535,Februar::N,лютий,februar
536,März::N,березень,mars
537,April::N,квітень,april
538,Mai::N,травень,mai
539,Juni::N,червень,juni
540,Juli::N,липень,juli
541,August::N,серпень,august
542,September::N,вересень,september
543,Oktober::N,жовтень,oktober
544,November::N,листопад,november
545,Dezember::N,грудень,desember
546,Montag::N,понеділок,mandag
547,Dienstag::N,вівторок,tirsdag
548,Mittwoch::N,середа,onsdag
549,Donnerstag::N,четвер,torsdag
550,Freitag::N,п’ятниця,fredag
551,Samstag::N,субота,lørdag
552,Sonntag::N,неділя,søndag
553,groß::A,великий,stor
554,klein::A,малий,liten
555,klein::A,маленький,liten
556,lang::A,довгий,lang
557,kurz::A,короткий,kort
558,breit::A,широкий,bred
559,schmal::A,вузький,smal
560,dicht::A,густий,tett
561,dick[Gegenstand]::A,товстий,tykk
562,dünn::A,тонкий,tynn
563,fein::A,дрібний,fin
564,fest::A,міцний,fast
565,flach::A,плоский,flat
566,glatt::A,рівний,glatt
567,glatt::A,гладенький,glatt
568,hart::A,твердий,hard
569,weich::A,м’який,myk
570,weich::A,м’який,bløt
571,rund::A,круглий,rund
572,spitz::A,гострокінцевий,spiss
573,scharf::A,гострий,kvass
574,stumpf::A,тупий,stubb
575,schwer::A,важкий,tung
576,schön::A,вродливий,pen
577,schön::A,вродливий,vakker
578,heiß::A,жаркий,het
579,heiß::A,гарячий,het
580,warm::A,теплий,varm
581,kalt::A,холодний,kald
582,kühl::A,прохолодний,kjølig
583,frisch::A,свіжий,fersk
584,feucht::A,вогкий,fuktig
585,nass::A,мокрий,våt
586,trocken::A,сухий,tørr
587,voll::A,повний,full
588,leer::A,пустий,tom
589,offen::A,відкритий,åpen
590,geschlossen::A,закритий,lukket
591,geschlossen::A,зачинений,lukket
592,sauber::A,чистий,ren
593,sauber::A,охайний,ren
594,schmutzig::A,брудний,skitten
595,roh::A,сирий,rå
596,reif::A,зрілий,moden
597,lecker::A,смачний,lekker
598,süß::A,солодкий,søt
599,bitter::A,гіркий,besk
600,bitter::A,гіркий,bitter
601,sauer::A,кислий,sur
602,hell::A,світлий,lys
603,dunkel::A,темний,mørk
604,schwarz::A,чорний,svart
605,weiß::A,сивий,hvit
606,rot::A,червоний,rød
607,gelb::A,жовтий,gul
608,blau::A,синій,blå
609,grün::A,зелений,grønn
610,grau::A,сірий,grå
611,bunt::A,барвистий,broket
612,billig::A,дешевий,billig
613,teuer::A,дорогий,dyr
614,wertvoll::A,цінний,verdifull
615,blind::A,сліпий,blind
616,taub::A,глухий,døv
617,kräftig::A,могутній,kraftig
618,stark::A,сильний,sterk
619,schwach::A,слабкий,svak
620,fett::A,жирний,fet
621,fett::A,товстий,fet
622,schlank::A,тонкий,slank
623,schlank::A,стрункий,slank
624,hübsch::A,чарівний,pen
625,böse::A,злий,slem
626,böse::A,лихий,slem
627,dumm::A,дурний,dum
628,faul::A,ледачий,lat
629,faul::A,ледачий,doven
630,fleißig::A,старанний,flittig
631,geizig::A,скупий,gjerrig
632,klug::A,мудрий,klok
633,klug::A,розумний,klok
634,geschickt::A,умілий,hendig
635,geschickt::A,умілий,skikket
636,lieb::A,милий,kjær
637,lieb::A,милий,snill
638,lustig::A,веселий,morsom
639,sanft::A,лагідний,blid
640,hungrig::A,голодний,sulten
641,krank::A,слабий,syk
642,nackt::A,голий,naken
643,traurig::A,сумний,sørgmodig
644,lebendig::A,живий,levende
645,gut::A,добрий,god
646,schlecht::A,поганий,dårlig
647,schlecht::A,кепський,dårlig
648,richtig::A,правильний,riktig
649,schlimm::A,бридкий,slem
650,wahr::A,справжній,sann
651,alt::A,старий,gammel
652,neu::A,новий,ny
653,ehemalig::A,колишній,forhenværende
654,alt[Lebewesen]::A,старий,gammel
655,jung::A,молодий,ung
656,arm::A,бідний,fattig
657,reich::A,багатий,rik
658,bekannt::A,знайомий,kjent
659,berühmt::A,славетний,berømt
660,fremd::A,чужий,fremmed
661,verschieden::A,різний,forskjellig
662,nah::A,близький,nær
663,fern::A,далекий,fjern
664,linker::A,лівий,venstre
665,rechter::A,правий,høyre
666,anderer::A,інакший,annen
667,erster::A,перший,første
668,zweiter::A,другий,annen
669,dritter::A,третій,tredje
670,letzter::A,останній,sist
671,allein::ADV,сам,alene
672,allein::ADV,один,alene
673,auf einmal::ADV,відразу,med ett
674,zusammen::ADV,разом,sammen
675,zusammen::ADV,спільно,sammen
676,lange::ADV,довго,lenge
677,plötzlich::ADV,раптом,plutselig
678,sofort::ADV,зараз,straks
679,später::ADV,пізніше,senere
680,jetzt::ADV,тепер,nå
681,heute::ADV,сьогодні,i dag
682,morgen::ADV,завтра,i morgen
683,bald::ADV,незабаром,snart
684,dann::ADV,потім,så
685,gestern::ADV,вчора,i går
686,einst::ADV,колись,engang
687,damals::ADV,тоді,den gang
688,danach::ADV,згодом,deretter
689,vorher::ADV,раніше,før
690,vorher::ADV,раніше,i forveien
691,zuerst::ADV,спершу,først
692,zuerst::ADV,спочатку,først
693,einmal::ADV,один раз,en gang
694,manchmal::ADV,іноді,somme tider
695,manchmal::ADV,інколи,somme tider
696,oft::ADV,часто,ofte
697,immer::ADV,завжди,alltid
698,niemals::ADV,ніколи,aldri
699,hier::ADV,тут,her
700,hierhin::ADV,сюди,hit
701,von hier::ADV,звідси,herfra
702,dort::ADV,там,der
703,dorthin::ADV,туди,dit
704,geradeaus::ADV,прямо,rett fram
705,vorwärts::ADV,вперед,fram
706,vorwärts::ADV,вперед,framover
707,rückwärts::ADV,назад,baklengs
708,zurück::ADV,назад,tilbake
709,unten::ADV,внизу,nede
710,hinab::ADV,вниз,ned
711,hinab::ADV,вниз,nedover
712,oben::ADV,вгорі,oppe
713,oben::ADV,вгорі,ovenpå
714,hinauf::ADV,вгору,opp
715,hinauf::ADV,вгору,oppover
716,überall::ADV,скрізь,overalt
717,nicht::ADV,не,ikke
718,ein wenig::ADV,трохи,litt
719,ein wenig::ADV,небагато,litt
720,kaum::ADV,ледве,neppe
721,sehr::ADV,дуже,svært
722,so::ADV,так,så
723,noch::ADV,ще,enda
724,nur::ADV,лише,bare
725,nur::ADV,тільки,bare
726,schon::ADV,вже,alt
727,schon::ADV,вже,allerede
728,wieder::ADV,знову,igjen
729,vergebens::ADV,дарма,forgjeves
730,vor::PRP,перед,foran
731,vor::PRP,перед,utenfor
732,hinter::PRP,ззаду,bak
733,hinter::PRP,ззаду,bakom
734,hinter::PRP,позаду,bak
735,hinter::PRP,позаду,bakom
736,unter::PRP,під,under
737,durch::PRP,крізь,gjennom
738,durch::PRP,крізь,igjennom
739,neben::PRP,біля,ved siden av
740,zwischen::PRP,між,mellom
741,wegen::PRP,з-за,på grunn av
742,wegen::PRP,через,på grunn av
743,dies::PRN,це,dette
744,das::PRN,то,det
745,alles::PRN,все,alt
746,ich::PRN,я,jeg
747,du::PRN,ти,du
748,er::PRN,він,han
749,wir::PRN,ми,vi
750,ihr::PRN,ви,dere
751,sie::PRN,вони,de
752,was::FPRN,що,hva
753,wer::FPRN,хто,hvem
754,wo::FADV,де,hvor
755,wohin::FADV,куди,hvor ... hen
756,wie::FADV,як,hvordan
757,warum::FADV,чому,hvorfor
758,wieviel::FNUM,скільки,hvor mye
759,eins::NUM,один,en
760,eins::NUM,один,ett
761,zwei::NUM,два,to
762,drei::NUM,три,tre
763,vier::NUM,чотири,fire
764,fünf::NUM,п’ять,fem
765,sechs::NUM,шість,seks
766,sieben::NUM,сім,sju
767,acht::NUM,вісім,åtte
768,neun::NUM,дев’ять,ni
769,zehn::NUM,десять,ti
770,elf::NUM,одинадцять,elleve
771,zwölf::NUM,дванадцять,tolv
772,zwanzig::NUM,двадцять,tjue
773,dreißig::NUM,тридцять,tretti
774,vierzig::NUM,сорок,førti
775,fünfzig::NUM,п’ятдесят,femti
776,sechzig::NUM,шістдесят,seksti
777,siebzig::NUM,сімдесят,sytti
778,achtzig::NUM,вісімдесят,åtti
779,neunzig::NUM,дев’яносто,nitti
780,hundert::NUM,сто,hundre
781,tausend::NUM,тисяча,tusen
782,und::CNJ,і,og
783,oder::CNJ,або,eller
784,stehen::V,стояти,stå
785,sitzen::V,сидіти,sitte
786,liegen::V,лежати,ligge
787,hängen::V,висіти,henge
788,werden::V,стати,bli
789,werden::V,робитися,bli
790,passieren::V,трапитися,skje
791,passieren::V,трапитися,hende
792,beginnen::V,початися,begynne
793,enden::V,кінчитися,ende
794,enden::V,кінчитися,slutte
795,wechseln::V,мінятися,veksle
796,aufgehen[Sonne]::V,зійти,stå opp
797,untergehen[Sonne]::V,зайти,gå ned
798,scheinen[Sonne]::V,світити,skinne
799,donnern::V,гриміти,tordne
800,wehen::V,віяти,blåse
801,strömen::V,литися,strømme
802,fließen::V,текти,flyte
803,sich drehen::V,обертатися,dreie seg
804,schwanken::V,коливатися,svaie
805,schwingen::V,хитатися,svinge
806,schwingen::V,гойдатися,svinge
807,fallen::V,падати,falle
808,brennen::V,горіти,brenne
809,rauchen::V,диміти,ryke
810,regnen::V,дощити,regne
811,gefrieren::V,змерзнути,fryse
812,tauen::V,танути,tine
813,schmelzen::V,плавитися,smelte
814,trocknen::V,сохнути,tørre
815,sieden::V,кипіти,koke
816,faulen::V,гнити,råtne
817,verfaulen::V,згнити,råtne
818,reißen::V,рватися,briste
819,versinken::V,тонути,synke
820,versinken::V,тонути,synke ned
821,vergehen::V,проходити,forløpe
822,erscheinen::V,з’явитися,synes
823,verschwinden::V,щезнути,forsvinne
824,verschwinden::V,зникнути,forsvinne
825,sinken::V,спадати,synke
826,abnehmen::V,поменшитися,avta
827,abnehmen::V,поменшитися,minske
828,zunehmen::V,збільшуватися,tilta
829,steigen::V,підніматися,stige
830,wachsen::V,рости,gro
831,wachsen::V,рости,vokse
832,glänzen::V,блищати,skinne
833,funkeln::V,блискати,tindre
834,lärmen::V,шуміти,bråke
835,läuten::V,дзвонити,ringe
836,klingeln::V,дзвонити,ringe
837,klirren::V,дзвякати,klirre
838,brausen::V,бушувати,bruse
839,rauschen::V,шелестіти,suse
840,klingen::V,лунати,lyde
841,klingen::V,лунати,klinge
842,klingen::V,звучати,lyde
843,klingen::V,звучати,klinge
844,bellen::V,гавкати,gjø
845,bellen::V,гавкати,bjeffe
846,heulen::V,вити,ule
847,blasen::V,дунути,blåse
848,pfeifen::V,свистіти,plystre
849,schreien::V,кричати,skrike
850,stöhnen::V,стогнати,stønne
851,zittern::V,тремтіти,dirre
852,zittern::V,тремтіти,skjelve
853,leben::V,жити,leve
