,Concept_ID,no,uk
200,Schlinge::N,snare,петля
201,Spur::N,spor,слід
202,Asche::N,aske,зола
203,Asche::N,aske,попіл
204,Dreck::N,møkk,бруд
205,Dreck::N,skitt,бруд
206,Eisen::N,jern,залізо
207,Gold::N,gull,золото
208,Silber::N,sølv,срібло
209,Kohle::N,kol,вугілля
210,Kohle::N,kull,вугілля
211,Glas::N,glass,скло
212,Lehm::N,leire,глина
213,Sand::N,sand,пісок
214,Mensch::N,menneske,людина
215,Mann::N,mann,чоловік
216,Frau::N,kvinne,жінка
217,Kind::N,barn,дитина
218,Junge::N,gutt,хлопець
219,Mädchen::N,pike,дівчина
220,Mädchen::N,jente,дівчина
221,Familie::N,familie,сім’я
222,Familie::N,familie,родина
223,Großvater::N,bestefar,дідусь
224,Großmutter::N,bestemor,бабуся
225,Eltern::N,foreldre,батьки
226,Vater::N,far,батько
227,Mutter::N,mor,мати
228,Sohn::N,sønn,син
229,Tochter::N,datter,дочка
230,Bruder::N,bror,брат
231,Schwester::N,søster,сестра
232,Onkel::N,onkel,дядько
233,Tante::N,tante,тітка
234,Ehemann::N,ektemann,чоловік
235,Ehefrau::N,hustru,жінка
236,Ehefrau::N,hustru,дружина
237,Freude::N,glede,радощі
238,Gelächter::N,latter,сміх
239,Glück::N,lykke,щастя
240,Kummer::N,sorg,горе
241,Wunsch::N,ønske,бажання
242,Lust::N,lyst,бажання
243,Geist::N,ånd,дух
244,Gedanke::N,tanke,думка
245,Gedächtnis::N,minne,пам’ять
246,Gedächtnis::N,hukommelse,пам’ять
247,Verstand::N,forstand,розум
248,Sinn::N,mening,зміст
249,Sinn::N,mening,значення
250,Sinn::N,betydning,зміст
251,Sinn::N,betydning,значення
252,Grund::N,grunn,причина
253,Wahrheit::N,sannhet,правда
254,Gespräch::N,samtale,розмова
255,Märchen::N,eventyr,байка
256,Erzählung::N,fortelling,повість
257,Erzählung::N,fortelling,оповідання
258,Nachricht::N,melding,повідомлення
259,Neuigkeit::N,nyhet,новина
260,Name::N,navn,ім’я
261,Rätsel::N,gåte,загадка
262,Rede::N,tale,промова
263,Sprache::N,språk,мова
264,Stimme::N,stemme,голос
265,Wort::N,ord,слово
266,Zeichen::N,tegn,знак
267,Ruf::N,rop,оклик
268,Lärm::N,bråk,шум
269,Laut::N,lyd,звук
270,Ton::N,tone,тон
271,Lied::N,vise,пісня
272,Ruhe::N,ro,спокій
273,Leute::N,folk,люди
274,Volk::N,folk,народ
275,Arbeit::N,arbeid,робота
276,Gast::N,gjest,гість
277,Geschenk::N,gave,подарунок
278,Spiel::N,lek,гра
279,Spiel::N,spill,гра
280,Gesellschaft::N,selskap,товариство
281,Hilfe::N,hjelp,допомога
282,Freund::N,venn,друг
283,Freund::N,venn,приятель
284,Kamerad::N,kamerat,товариш
285,Angelegenheit::N,sak,справа
286,Angelegenheit::N,anliggende,справа
287,Anzahl::N,antall,число
288,Art::N,art,рід
289,Art::N,slag,рід
290,Stück::N,stykke,кусок
291,Teil::N,del,частина
292,Hälfte::N,halvdel,половина
293,Kreis::N,ring,круг
294,Kreis::N,ring,коло
295,Kreis::N,sirkel,круг
296,Kreis::N,sirkel,коло
297,Kreuz::N,kors,хрест
298,Kreuz::N,kryss,хрест
299,Linie::N,linje,лінія
300,Strich::N,strek,штрих
301,Abstand::N,avstand,проміжок
302,Entfernung::N,avstand,відстань
303,Gegend::N,strøk,місцевість
304,Platz::N,plass,площа
305,Ort::N,sted,місце
306,Seite::N,side,сторона
307,Mitte::N,midte,середина
308,Gegenstand::N,gjenstand,предмет
309,Sache::N,sak,річ
310,Rand::N,rand,край
311,Kante::N,kant,ребро
312,Ecke::N,hjørne,ріг
313,Spitze::N,spiss,кінчик
314,Ende::N,ende,кінець
315,Loch::N,hull,діра
316,Winkel::N,vinkel,куток
317,Muster::N,mønster,узор
318,Größe::N,størrelse,розмір
319,Länge::N,lengde,довжина
320,Höhe::N,høyde,висота
321,Gewicht::N,vekt,вага
322,Menge::N,mengde,кількість
323,Haufen::N,haug,купа
324,Haufen::N,bunke,купа
325,Reihe::N,rekke,ряд
326,Boot::N,båt,човен
327,Ruder::N,åre,весло
328,Schlitten::N,slede,сани
329,Schlitten::N,kjelke,сани
330,Ski::N,ski,лижа
331,Lagerfeuer::N,leirbål,вогнище
332,Last::N,bør,тягар
333,Last::N,bør,вантаж
334,Last::N,last,тягар
335,Last::N,last,вантаж
336,Gang::N,gang,хід
337,Schritt::N,steg,крок
338,Schritt::N,skritt,крок
339,Norden::N,nord,північ
340,Süden::N,sør,південь
341,Westen::N,vest,захід
342,Osten::N,øst,схід
343,Holz::N,tre,дрова
344,Brett::N,fjøl,дошка
345,Brett::N,brett,дошка
346,Platte::N,plate,плита
347,Stütze::N,støtte,підпірка
348,Stange::N,stang,жердина
349,Stock::N,pinne,палиця
350,Stab::N,stav,палиця
351,Stab::N,kjepp,палиця
352,Rohr::N,rør,труба
353,Haus::N,hus,дім
354,Haus::N,hus,хата
355,Heim::N,hjem,житло
356,Ofen::N,ovn,піч
357,Fußboden::N,gulv,підлога
358,Tisch::N,bord,стіл
359,Stuhl::N,stol,стілець
360,Wiege::N,vogge,колиска
361,Bett::N,seng,ліжко
362,Bett::N,seng,постіль
363,Regal::N,reol,полиця
364,Regal::N,hylle,полиця
365,Kiste::N,kasse,ящик
366,Fenster::N,vindu,вікно
367,Tür::N,dør,двері
368,Tor::N,port,ворота
369,Zaun::N,gjerde,паркан
370,Zaun::N,gjerde,огорожа
371,Dach::N,tak,дах
372,Leiter::N,stige,драбина
373,Besen::N,kost,мітла
374,Spaten::N,spade,заступ
375,Schaufel::N,skuffe,совок
376,Schaufel::N,skuffe,лопата
377,Gabel::N,gaffel,виделка
378,Löffel::N,skje,ложка
379,Messer::N,kniv,ніж
380,Nagel::N,spiker,цвях
381,Netz::N,nett,сіть
382,Haken::N,krok,крюк
383,Griff::N,tak,ручка
384,Griff::N,tak,держак
385,Griff::N,håndtak,ручка
386,Griff::N,håndtak,держак
387,Schloss::N,lås,замок
388,Bild::N,bilde,картина
389,Figur::N,figur,фігура
390,Puppe::N,dukke,лялька
391,Beutel::N,pose,мішечок
392,Beutel::N,pose,торбинка
393,Bündel::N,bylt,в’язка
394,Tasche::N,veske,сумка
395,Eimer::N,bøtte,відро
396,Deckel::N,lokk,кришка
397,Geschirr::N,kjøkkentøy,посуд
398,Sack::N,sekk,мішок
399,Tasse::N,kopp,чашка
400,Topf::N,gryte,горщик
401,Kessel::N,kjele,котел
402,Essen::N,mål,їжа
403,Nahrung::N,mat,харч
404,Nahrung::N,næring,харч
405,Speise::N,matrett,страва
406,Fleisch::N,kjøtt,м’ясо
407,Getreide::N,korn,хліб
408,Getreide::N,korn,збіжжя
409,Brei::N,grøt,каша
410,Brot::N,brød,хліб
411,Scheibe::N,skive,скибочка
412,Fett::N,fett,жир
413,Butter::N,smør,масло
414,Öl::N,olje,олія
415,Salz::N,salt,сіль
416,Suppe::N,suppe,суп
417,Honig::N,honning,мед
418,Milch::N,melk,молоко
419,Tee::N,te,чай
420,Leder::N,lær,шкіра
421,Leder::N,skinn,шкіра
422,Wolle::N,ull,шерсть
423,Stoff::N,tøy,тканина
424,Stoff::N,stoff,тканина
425,Nadel::N,nål,голка
426,Faden::N,tråd,нитка
427,Knopf::N,knapp,ґудзик
428,Knoten::N,knute,вузол
429,Farbe::N,farge,фарба
430,Kleidung::N,påkledning,одяг
431,Kleidung::N,påkledning,убрання
432,Hemd::N,skjorte,сорочка
433,Kragen::N,krage,комір
434,Ärmel::N,erme,рукав
435,Hose::N,bukse,брюки
436,Gürtel::N,belte,пояс
437,Mütze::N,lue,шапка
438,Schuh::N,sko,ботинок
439,Stiefel::N,støvel,чобіт
440,Ring::N,ring,кільце
441,Band::N,band,стрічка
442,Kamm::N,kam,гребінець
443,Spiegel::N,speil,дзеркало
444,Riemen::N,rem,ремінь
445,Schnur::N,snor,вірьовка
446,Leine::N,line,шворка
447,Decke::N,teppe,ковдра
448,Kissen::N,pute,подушка
449,Tuch::N,tøy,хустка
450,Handtuch::N,håndkle,рушник
451,Kraft::N,kraft,сила
452,Stärke::N,styrke,сила
453,Gesundheit::N,helse,здоров’я
454,Gesundheit::N,sunnhet,здоров’я
455,Krankheit::N,syke,хвороба
456,Krankheit::N,sykdom,хвороба
457,Schmerz::N,smerte,біль
458,Wunde::N,sår,рана
459,Fieber::N,feber,гарячка
460,Arznei::N,medisin,ліки
461,Arznei::N,legemiddel,ліки
462,Brücke::N,bro,міст
463,Brunnen::N,brønn,колодязь
464,Weide::N,beite,пасовище
465,Pfad::N,sti,стежка
466,Weg::N,vei,шлях
467,Weg::N,vei,дорога
468,Straße::N,gate,вулиця
469,Dorf::N,landsby,село
470,Stadt::N,by,місто
471,Brief::N,brev,лист
472,Buch::N,bok,книга
473,Buch::N,bok,книжка
474,Buchstabe::N,bokstav,буква
475,Buchstabe::N,bokstav,літера
476,Zeitung::N,avis,газета
477,Leben::N,liv,життя
478,Tod::N,død,смерть
479,Grab::N,grav,могила
480,Kirche::N,kirke,церква
481,Sünde::N,synd,гріх
482,Gott::N,gud,бог
483,Arbeiter::N,arbeider,робітник
484,Chef::N,sjef,хазяїн
485,Meister::N,mester,умілець
486,Arzt::N,lege,лікар
487,Lehrer::N,lærer,вчитель
488,Geld::N,penger,гроші
489,Geschäft::N,forretning,заняття
490,Laden::N,butikk,магазин
491,Laden::N,butikk,крамниця
492,Preis::N,pris,ціна
493,Ware::N,vare,товар
494,Nutzen::N,nytte,вигода
495,Nutzen::N,nytte,користь
496,Reichtum::N,rikdom,багатство
497,Welt::N,verden,світ
498,Land::N,land,країна
499,Staat::N,stat,держава
500,König::N,konge,король
501,Macht::N,makt,влада
502,Grenze::N,grense,кордон
503,Krieg::N,krig,війна
504,Feind::N,fiende,ворог
505,Gewalt::N,vold,насильство
506,Kampf::N,kamp,бій
507,Kampf::N,kamp,боротьба
508,Bogen[Waffe]::N,bue,лук
509,Pfeil::N,pil,стріла
510,Gewehr::N,gevær,рушниця
511,Gewehr::N,gevær,гвинтівка
512,Fehler::N,feil,помилка
513,Lüge::N,løgn,брехня
514,Schaden::N,skade,шкода
515,Schaden::N,skade,збиток
516,Unglück::N,uhell,нещастя
517,Schuld::N,skyld,провина
518,Alter::N,alder,вік
519,Alter::N,alder,літа
520,Schluss::N,slutt,кінець
521,Zeit::N,tid,час
522,Tag::N,dag,день
523,Morgen::N,morgen,ранок
524,Mittag::N,middag,південь
525,Abend::N,aften,вечір
526,Nacht::N,natt,ніч
527,Woche::N,uke,тиждень
528,Monat::N,måned,місяць
529,Jahr::N,år,рік
530,Frühling::N,vår,весна
531,Sommer::N,sommer,літо
532,Herbst::N,høst,осінь
533,Winter::N,vinter,зима
534,Januar::N,januar,січень
535,Februar::N,februar,лютий
536,März::N,mars,березень
537,April::N,april,квітень
538,Mai::N,mai,травень
539,Juni::N,juni,червень
540,Juli::N,juli,липень
541,August::N,august,серпень
542,September::N,september,вересень
543,Oktober::N,oktober,жовтень
544,November::N,november,листопад
545,Dezember::N,desember,грудень
546,Montag::N,mandag,понеділок
547,Dienstag::N,tirsdag,вівторок
548,Mittwoch::N,onsdag,середа
549,Donnerstag::N,torsdag,четвер
550,Freitag::N,fredag,п’ятниця
551,Samstag::N,lørdag,субота
552,Sonntag::N,søndag,неділя
553,groß::A,stor,великий
554,klein::A,liten,малий
555,klein::A,liten,маленький
556,lang::A,lang,довгий
557,kurz::A,kort,короткий
558,breit::A,bred,широкий
559,schmal::A,smal,вузький
560,dicht::A,tett,густий
561,dick[Gegenstand]::A,tykk,товстий
562,dünn::A,tynn,тонкий
563,fein::A,fin,дрібний
564,fest::A,fast,міцний
565,flach::A,flat,плоский
566,glatt::A,glatt,рівний
567,glatt::A,glatt,гладенький
568,hart::A,hard,твердий
569,weich::A,myk,м’який
570,weich::A,bløt,м’який
571,rund::A,rund,круглий
572,spitz::A,spiss,гострокінцевий
573,scharf::A,kvass,гострий
574,stumpf::A,stubb,тупий
575,schwer::A,tung,важкий
576,schön::A,pen,вродливий
577,schön::A,vakker,вродливий
578,heiß::A,het,жаркий
579,heiß::A,het,гарячий
580,warm::A,varm,теплий
581,kalt::A,kald,холодний
582,kühl::A,kjølig,прохолодний
583,frisch::A,fersk,свіжий
584,feucht::A,fuktig,вогкий
585,nass::A,våt,мокрий
586,trocken::A,tørr,сухий
587,voll::A,full,повний
588,leer::A,tom,пустий
589,offen::A,åpen,відкритий
590,geschlossen::A,lukket,закритий
591,geschlossen::A,lukket,зачинений
592,sauber::A,ren,чистий
593,sauber::A,ren,охайний
594,schmutzig::A,skitten,брудний
595,roh::A,rå,сирий
596,reif::A,moden,зрілий
597,lecker::A,lekker,смачний
598,süß::A,søt,солодкий
599,bitter::A,besk,гіркий
600,bitter::A,bitter,гіркий
601,sauer::A,sur,кислий
602,hell::A,lys,світлий
603,dunkel::A,mørk,темний
604,schwarz::A,svart,чорний
605,weiß::A,hvit,сивий
606,rot::A,rød,червоний
607,gelb::A,gul,жовтий
608,blau::A,blå,синій
609,grün::A,grønn,зелений
610,grau::A,grå,сірий
611,bunt::A,broket,барвистий
612,billig::A,billig,дешевий
613,teuer::A,dyr,дорогий
614,wertvoll::A,verdifull,цінний
615,blind::A,blind,сліпий
616,taub::A,døv,глухий
617,kräftig::A,kraftig,могутній
618,stark::A,sterk,сильний
619,schwach::A,svak,слабкий
620,fett::A,fet,жирний
621,fett::A,fet,товстий
622,schlank::A,slank,тонкий
623,schlank::A,slank,стрункий
624,hübsch::A,pen,чарівний
625,böse::A,slem,злий
626,böse::A,slem,лихий
627,dumm::A,dum,дурний
628,faul::A,lat,ледачий
629,faul::A,doven,ледачий
630,fleißig::A,flittig,старанний
631,geizig::A,gjerrig,скупий
632,klug::A,klok,мудрий
633,klug::A,klok,розумний
634,geschickt::A,hendig,умілий
635,geschickt::A,skikket,умілий
636,lieb::A,kjær,милий
637,lieb::A,snill,милий
638,lustig::A,morsom,веселий
639,sanft::A,blid,лагідний
640,hungrig::A,sulten,голодний
641,krank::A,syk,слабий
642,nackt::A,naken,голий
643,traurig::A,sørgmodig,сумний
644,lebendig::A,levende,живий
645,gut::A,god,добрий
646,schlecht::A,dårlig,поганий
647,schlecht::A,dårlig,кепський
648,richtig::A,riktig,правильний
649,schlimm::A,slem,бридкий
650,wahr::A,sann,справжній
651,alt::A,gammel,старий
652,neu::A,ny,новий
653,ehemalig::A,forhenværende,колишній
654,alt[Lebewesen]::A,gammel,старий
655,jung::A,ung,молодий
656,arm::A,fattig,бідний
657,reich::A,rik,багатий
658,bekannt::A,kjent,знайомий
659,berühmt::A,berømt,славетний
660,fremd::A,fremmed,чужий
661,verschieden::A,forskjellig,різний
662,nah::A,nær,близький
663,fern::A,fjern,далекий
664,linker::A,venstre,лівий
665,rechter::A,høyre,правий
666,anderer::A,annen,інакший
667,erster::A,første,перший
668,zweiter::A,annen,другий
669,dritter::A,tredje,третій
670,letzter::A,sist,останній
671,allein::ADV,alene,сам
672,allein::ADV,alene,один
673,auf einmal::ADV,med ett,відразу
674,zusammen::ADV,sammen,разом
675,zusammen::ADV,sammen,спільно
676,lange::ADV,lenge,довго
677,plötzlich::ADV,plutselig,раптом
678,sofort::ADV,straks,зараз
679,später::ADV,senere,пізніше
680,jetzt::ADV,nå,тепер
681,heute::ADV,i dag,сьогодні
682,morgen::ADV,i morgen,завтра
683,bald::ADV,snart,незабаром
684,dann::ADV,så,потім
685,gestern::ADV,i går,вчора
686,einst::ADV,engang,колись
687,damals::ADV,den gang,тоді
688,danach::ADV,deretter,згодом
689,vorher::ADV,før,раніше
690,vorher::ADV,i forveien,раніше
691,zuerst::ADV,først,спершу
692,zuerst::ADV,først,спочатку
693,einmal::ADV,en gang,один раз
694,manchmal::ADV,somme tider,іноді
695,manchmal::ADV,somme tider,інколи
696,oft::ADV,ofte,часто
697,immer::ADV,alltid,завжди
698,niemals::ADV,aldri,ніколи
699,hier::ADV,her,тут
700,hierhin::ADV,hit,сюди
701,von hier::ADV,herfra,звідси
702,dort::ADV,der,там
703,dorthin::ADV,dit,туди
704,geradeaus::ADV,rett fram,прямо
705,vorwärts::ADV,fram,вперед
706,vorwärts::ADV,framover,вперед
707,rückwärts::ADV,baklengs,назад
708,zurück::ADV,tilbake,назад
709,unten::ADV,nede,внизу
710,hinab::ADV,ned,вниз
711,hinab::ADV,nedover,вниз
712,oben::ADV,oppe,вгорі
713,oben::ADV,ovenpå,вгорі
714,hinauf::ADV,opp,вгору
715,hinauf::ADV,oppover,вгору
716,überall::ADV,overalt,скрізь
717,nicht::ADV,ikke,не
718,ein wenig::ADV,litt,трохи
719,ein wenig::ADV,litt,небагато
720,kaum::ADV,neppe,ледве
721,sehr::ADV,svært,дуже
722,so::ADV,så,так
723,noch::ADV,enda,ще
724,nur::ADV,bare,лише
725,nur::ADV,bare,тільки
726,schon::ADV,alt,вже
727,schon::ADV,allerede,вже
728,wieder::ADV,igjen,знову
729,vergebens::ADV,forgjeves,дарма
730,vor::PRP,foran,перед
731,vor::PRP,utenfor,перед
732,hinter::PRP,bak,ззаду
733,hinter::PRP,bak,позаду
734,hinter::PRP,bakom,ззаду
735,hinter::PRP,bakom,позаду
736,unter::PRP,under,під
737,durch::PRP,gjennom,крізь
738,durch::PRP,igjennom,крізь
739,neben::PRP,ved siden av,біля
740,zwischen::PRP,mellom,між
741,wegen::PRP,på grunn av,з-за
742,wegen::PRP,på grunn av,через
743,dies::PRN,dette,це
744,das::PRN,det,то
745,alles::PRN,alt,все
746,ich::PRN,jeg,я
747,du::PRN,du,ти
748,er::PRN,han,він
749,wir::PRN,vi,ми
750,ihr::PRN,dere,ви
751,sie::PRN,de,вони
752,was::FPRN,hva,що
753,wer::FPRN,hvem,хто
754,wo::FADV,hvor,де
755,wohin::FADV,hvor ... hen,куди
756,wie::FADV,hvordan,як
757,warum::FADV,hvorfor,чому
758,wieviel::FNUM,hvor mye,скільки
759,eins::NUM,en,один
760,eins::NUM,ett,один
761,zwei::NUM,to,два
762,drei::NUM,tre,три
763,vier::NUM,fire,чотири
764,fünf::NUM,fem,п’ять
765,sechs::NUM,seks,шість
766,sieben::NUM,sju,сім
767,acht::NUM,åtte,вісім
768,neun::NUM,ni,дев’ять
769,zehn::NUM,ti,десять
770,elf::NUM,elleve,одинадцять
771,zwölf::NUM,tolv,дванадцять
772,zwanzig::NUM,tjue,двадцять
773,dreißig::NUM,tretti,тридцять
774,vierzig::NUM,førti,сорок
775,fünfzig::NUM,femti,п’ятдесят
776,sechzig::NUM,seksti,шістдесят
777,siebzig::NUM,sytti,сімдесят
778,achtzig::NUM,åtti,вісімдесят
779,neunzig::NUM,nitti,дев’яносто
780,hundert::NUM,hundre,сто
781,tausend::NUM,tusen,тисяча
782,und::CNJ,og,і
783,oder::CNJ,eller,або
784,stehen::V,stå,стояти
785,sitzen::V,sitte,сидіти
786,liegen::V,ligge,лежати
787,hängen::V,henge,висіти
788,werden::V,bli,стати
789,werden::V,bli,робитися
790,passieren::V,skje,трапитися
791,passieren::V,hende,трапитися
792,beginnen::V,begynne,початися
793,enden::V,ende,кінчитися
794,enden::V,slutte,кінчитися
795,wechseln::V,veksle,мінятися
796,aufgehen[Sonne]::V,stå opp,зійти
797,untergehen[Sonne]::V,gå ned,зайти
798,scheinen[Sonne]::V,skinne,світити
799,donnern::V,tordne,гриміти
800,wehen::V,blåse,віяти
801,strömen::V,strømme,литися
802,fließen::V,flyte,текти
803,sich drehen::V,dreie seg,обертатися
804,schwanken::V,svaie,коливатися
805,schwingen::V,svinge,хитатися
806,schwingen::V,svinge,гойдатися
807,fallen::V,falle,падати
808,brennen::V,brenne,горіти
809,rauchen::V,ryke,диміти
810,regnen::V,regne,дощити
811,gefrieren::V,fryse,змерзнути
812,tauen::V,tine,танути
813,schmelzen::V,smelte,плавитися
814,trocknen::V,tørre,сохнути
815,sieden::V,koke,кипіти
816,faulen::V,råtne,гнити
817,verfaulen::V,råtne,згнити
818,reißen::V,briste,рватися
819,versinken::V,synke,тонути
820,versinken::V,synke ned,тонути
821,vergehen::V,forløpe,проходити
822,erscheinen::V,synes,з’явитися
823,verschwinden::V,forsvinne,щезнути
824,verschwinden::V,forsvinne,зникнути
825,sinken::V,synke,спадати
826,abnehmen::V,avta,поменшитися
827,abnehmen::V,minske,поменшитися
828,zunehmen::V,tilta,збільшуватися
829,steigen::V,stige,підніматися
830,wachsen::V,gro,рости
831,wachsen::V,vokse,рости
832,glänzen::V,skinne,блищати
833,funkeln::V,tindre,блискати
834,lärmen::V,bråke,шуміти
835,läuten::V,ringe,дзвонити
836,klingeln::V,ringe,дзвонити
837,klirren::V,klirre,дзвякати
838,brausen::V,bruse,бушувати
839,rauschen::V,suse,шелестіти
840,klingen::V,lyde,лунати
841,klingen::V,lyde,звучати
842,klingen::V,klinge,лунати
843,klingen::V,klinge,звучати
844,bellen::V,gjø,гавкати
845,bellen::V,bjeffe,гавкати
846,heulen::V,ule,вити
847,blasen::V,blåse,дунути
848,pfeifen::V,plystre,свистіти
849,schreien::V,skrike,кричати
850,stöhnen::V,stønne,стогнати
851,zittern::V,dirre,тремтіти
852,zittern::V,skjelve,тремтіти
853,leben::V,leve,жити
