,Concept_ID,sk,es
133,Baum::N,strom,árbol
134,Stamm::N,kmeň,tronco
135,Rinde::N,kôra,corteza
136,Ast::N,konár,rama
137,Zweig::N,vetva,ramo
138,Blatt::N,list,hoja
139,Birke::N,breza,abedul
140,Kiefer[Baum]::N,sosna,pino
141,Kiefer[Baum]::N,borovica,pino
142,Weide[Baum]::N,vŕba,sauce
143,Tanne::N,jedľa,abeto
144,Horn::N,roh,asta
145,Horn::N,roh,cuerno
146,Feder::N,pero,pluma
147,Fell::N,koža,piel
148,Fell::N,kožušina,piel
149,Flügel::N,krídlo,ala
150,Klaue::N,paznecht,garra
151,Kralle::N,pazúr,uña
152,Kralle::N,pazúr,garra
153,Schwanz::N,chvost,cola
154,Ei::N,vajce,huevo
155,Ei::N,vajíčko,huevo
156,Nest::N,hniezdo,nido
157,Bau::N,nora,madriguera
158,Tier::N,zviera,animal
159,Herde::N,stádo,rebaño
160,Kuh::N,krava,vaca
161,Bulle::N,býk,toro
162,Pferd::N,kôň,caballo
163,Schaf::N,ovca,oveja
164,Schwein::N,sviňa,cerdo
165,Hund::N,pes,perro
166,Katze::N,mačka,gato
167,Bär::N,medveď,oso
168,Eichhörnchen::N,veverička,ardilla
169,Elch::N,los,alce
170,Fuchs::N,líška,zorro
171,Hase::N,zajac,liebre
172,Maus::N,myš,ratón
173,Wolf::N,vlk,lobo
174,Vogel::N,vták,ave
175,Vogel::N,vták,pájaro
176,Schwarm::N,roj,bandada
177,Huhn::N,kurča,gallina
178,Huhn::N,sliepka,gallina
179,Hahn::N,kohút,gallo
180,Gans::N,hus,oca
181,Gans::N,hus,ganso
182,Adler::N,orol,águila
183,Ente::N,kačka,pato
184,Ente::N,kačica,pato
185,Eule::N,sova,lechuza
186,Kranich::N,žeriav,grulla
187,Krähe::N,vrana,corneja
188,Kuckuck::N,kukučka,cuco
189,Schwan::N,labuť,cisne
190,Fisch::N,ryba,pez
191,Barsch::N,ostriež,perca
192,Hecht::N,šťuka,lucio
193,Schlange[Tier]::N,had,serpiente
194,Wurm::N,červ,gusano
195,Spinne::N,pavúk,araña
196,Ameise::N,mravec,hormiga
197,Laus::N,voš,piojo
198,Mücke::N,komár,mosquito
199,Fliege::N,mucha,mosca
200,Schmetterling::N,motýľ,mariposa
201,Beere::N,bobuľa,baya
202,Apfel::N,jablko,manzana
203,Pilz::N,hríb,seta
204,Pilz::N,hríb,hongo
205,Zwiebel::N,cibuľa,cebolla
206,Saat::N,osivo,siembra
207,Korn::N,zrno,grano
208,Heu::N,seno,heno
209,Schale::N,šupa,cáscara
210,Schale::N,škrupina,cáscara
211,Grube::N,jama,foso
212,Falle::N,pasca,trampa
213,Falle::N,klepec,trampa
214,Schlinge::N,slučka,lazo
215,Spur::N,stopa,huella
216,Asche::N,popol,ceniza
217,Dreck::N,kal,suciedad
218,Dreck::N,blato,suciedad
219,Eisen::N,železo,hierro
220,Gold::N,zlato,oro
221,Silber::N,striebro,plata
222,Kohle::N,uhlie,carbón
223,Glas::N,sklo,vidrio
224,Glas::N,sklo,cristal
225,Lehm::N,íl,barro
226,Lehm::N,hlina,barro
227,Sand::N,piesok,arena
228,Mensch::N,človek,hombre
229,Mensch::N,človek,ser humano
230,Mann::N,muž,hombre
231,Mann::N,chlap,hombre
232,Frau::N,žena,mujer
233,Kind::N,dieťa,niño
234,Junge::N,chlapec,chico
235,Junge::N,chlapec,muchacho
236,Mädchen::N,dievka,chica
237,Mädchen::N,dievka,muchacha
238,Familie::N,rodina,familia
239,Großvater::N,dedo,abuelo
240,Großvater::N,starý otec,abuelo
241,Großmutter::N,babička,abuela
242,Großmutter::N,stará mať,abuela
243,Eltern::N,rodičia,padres
244,Vater::N,otec,padre
245,Mutter::N,mať,madre
246,Mutter::N,matka,madre
247,Sohn::N,syn,hijo
248,Tochter::N,dcéra,hija
249,Bruder::N,brat,hermano
250,Schwester::N,sestra,hermana
251,Onkel::N,ujo,tío
252,Onkel::N,strýko,tío
253,Tante::N,teta,tía
254,Tante::N,tetka,tía
255,Ehemann::N,muž,esposo
256,Ehemann::N,manžel,esposo
257,Ehefrau::N,žena,esposa
258,Ehefrau::N,manželka,esposa
259,Freude::N,radosť,placer
260,Freude::N,radosť,alegría
261,Gelächter::N,smiech,risa
262,Gelächter::N,smiech,carcajada
263,Glück::N,šťastie,felicidad
264,Kummer::N,žiaľ,pena
265,Kummer::N,zármutok,pena
266,Wunsch::N,prianie,deseo
267,Lust::N,chuť,ganas
268,Geist::N,duch,mente
269,Geist::N,duch,espíritu
270,Gedanke::N,myšlienka,idea
271,Gedanke::N,myšlienka,pensamiento
272,Gedächtnis::N,pamäť,memoria
273,Verstand::N,rozum,razón
274,Verstand::N,rozum,entendimiento
275,Sinn::N,zmysel,sentido
276,Sinn::N,zmysel,significado
277,Grund::N,dôvod,causa
278,Grund::N,príčina,causa
279,Wahrheit::N,pravda,verdad
280,Gespräch::N,reč,conversación
281,Gespräch::N,rozhovor,conversación
282,Märchen::N,rozprávka,cuento
283,Erzählung::N,poviedka,cuento
284,Erzählung::N,poviedka,narración
285,Nachricht::N,správa,mensaje
286,Neuigkeit::N,novinka,noticia
287,Name::N,meno,nombre
288,Rätsel::N,záhada,acertijo
289,Rätsel::N,záhada,adivinanza
290,Rätsel::N,hádanka,acertijo
291,Rätsel::N,hádanka,adivinanza
292,Rede::N,reč,discurso
293,Sprache::N,reč,lengua
294,Sprache::N,jazyk,lengua
295,Stimme::N,hlas,voz
296,Wort::N,slovo,palabra
297,Zeichen::N,znak,señal
298,Ruf::N,volanie,llamada
299,Ruf::N,zavolanie,llamada
300,Lärm::N,hluk,ruido
301,Lärm::N,hluk,barullo
302,Lärm::N,hurhaj,ruido
303,Lärm::N,hurhaj,barullo
304,Laut::N,zvuk,sonido
305,Ton::N,tón,tono
306,Ton::N,zvuk,tono
307,Lied::N,pieseň,canción
308,Ruhe::N,pokoj,calma
309,Ruhe::N,pokoj,silencio
310,Leute::N,ľudia,gente
311,Volk::N,ľud,pueblo
312,Volk::N,národ,pueblo
313,Arbeit::N,práca,trabajo
314,Arbeit::N,robota,trabajo
315,Gast::N,hosť,huésped
316,Gast::N,hosť,invitado
317,Geschenk::N,dar,regalo
318,Spiel::N,hra,juego
319,Gesellschaft::N,spoločnosť,compañía
320,Hilfe::N,pomoc,ayuda
321,Hilfe::N,pomoc,socorro
322,Freund::N,priateľ,amigo
323,Kamerad::N,kamarát,camarada
324,Kamerad::N,kamarát,compañero
325,Angelegenheit::N,vec,asunto
326,Angelegenheit::N,záležitosť,asunto
327,Anzahl::N,počet,cantidad
328,Anzahl::N,množstvo,cantidad
329,Art::N,druh,tipo
330,Art::N,druh,clase
331,Stück::N,kus,pieza
332,Stück::N,kúsok,pieza
333,Teil::N,časť,parte
334,Hälfte::N,polka,mitad
335,Hälfte::N,polovica,mitad
336,Kreis::N,kruh,círculo
337,Kreuz::N,kríž,cruz
338,Linie::N,línia,línea
339,Strich::N,čiara,raya
340,Strich::N,čiara,trazo
341,Abstand::N,vzdialenosť,distancia
342,Entfernung::N,vzdialenosť,distancia
343,Gegend::N,kraj,región
344,Gegend::N,kraj,comarca
345,Gegend::N,krajina,región
346,Gegend::N,krajina,comarca
347,Platz::N,miesto,espacio
348,Ort::N,miesto,sitio
349,Seite::N,bok,lado
350,Seite::N,bok,costado
351,Seite::N,strana,lado
352,Seite::N,strana,costado
353,Mitte::N,stred,medio
354,Mitte::N,stred,centro
355,Gegenstand::N,predmet,objeto
356,Sache::N,vec,cosa
357,Rand::N,kraj,borde
358,Rand::N,okraj,borde
359,Kante::N,hrana,borde
360,Ecke::N,roh,esquina
361,Spitze::N,hrot,punta
362,Spitze::N,špička,punta
363,Ende::N,koniec,cabo
364,Ende::N,koniec,extremo
365,Loch::N,diera,agujero
366,Loch::N,diera,abertura
367,Winkel::N,kút,ángulo
368,Muster::N,vzor,dibujo
369,Muster::N,vzorka,dibujo
370,Größe::N,veľkosť,tamaño
371,Länge::N,dĺžka,longitud
372,Höhe::N,výška,altura
373,Höhe::N,výška,altitud
374,Gewicht::N,váha,peso
375,Menge::N,množstvo,cantidad
376,Haufen::N,hŕba,montón
377,Reihe::N,rad,fila
378,Boot::N,čln,bote
379,Boot::N,čln,barca
380,Ruder::N,veslo,remo
381,Schlitten::N,sane,trineo
382,Ski::N,lyža,esquí
383,Lagerfeuer::N,táborák,hoguera
384,Last::N,ťarcha,carga
385,Last::N,bremeno,carga
386,Gang::N,chôdza,marcha
387,Schritt::N,krok,paso
388,Norden::N,sever,norte
389,Süden::N,juh,sur
390,Westen::N,západ,oeste
391,Osten::N,východ,este
392,Holz::N,drevo,madera
393,Brett::N,doska,tabla
394,Platte::N,doska,placa
395,Platte::N,doska,plancha
396,Platte::N,platňa,placa
397,Platte::N,platňa,plancha
398,Stütze::N,opora,sostén
399,Stütze::N,opora,soporte
400,Stange::N,tyč,vara
401,Stange::N,tyč,percha
402,Stock::N,palica,palo
403,Stock::N,palica,bastón
404,Stab::N,palica,vara
405,Stab::N,palica,bastón
406,Rohr::N,rúra,tubo
407,Haus::N,dom,casa
408,Heim::N,domov,hogar
409,Ofen::N,pec,estufa
410,Ofen::N,kachle,estufa
411,Fußboden::N,dlážka,suelo
412,Fußboden::N,podlaha,suelo
413,Tisch::N,stôl,mesa
414,Stuhl::N,stolička,silla
415,Wiege::N,kolíska,cuna
416,Bett::N,lôžko,cama
417,Bett::N,posteľ,cama
418,Regal::N,regál,estantería
419,Regal::N,polica,estantería
420,Kiste::N,debna,caja
421,Fenster::N,okno,ventana
422,Fenster::N,oblok,ventana
423,Tür::N,dvere,puerta
424,Tor::N,vráta,puerta
425,Zaun::N,plot,valla
426,Zaun::N,plot,cercado
427,Zaun::N,ohrada,valla
428,Zaun::N,ohrada,cercado
429,Dach::N,krov,techo
430,Dach::N,krov,tejado
431,Dach::N,strecha,techo
432,Dach::N,strecha,tejado
433,Leiter::N,rebrík,escalera
434,Leiter::N,rebrina,escalera
435,Besen::N,metla,escoba
436,Spaten::N,rýľ,pala
437,Schaufel::N,lopata,pala
438,Schaufel::N,lopata,paleta
439,Gabel::N,vidlička,tenedor
440,Löffel::N,lyžica,cuchara
441,Messer::N,nôž,cuchillo
442,Nagel::N,klinec,clavo
443,Netz::N,sieť,red
444,Haken::N,hák,gancho
445,Haken::N,hák,corchete
446,Haken::N,háčik,gancho
447,Haken::N,háčik,corchete
448,Griff::N,rukoväť,asa
449,Griff::N,rukoväť,mango
450,Schloss::N,zámka,cerradura
451,Bild::N,obraz,imagen
452,Figur::N,figúra,figura
453,Puppe::N,bábka,muñeca
454,Puppe::N,bábika,muñeca
455,Beutel::N,vrece,bolsa
456,Beutel::N,vrecko,bolsa
457,Bündel::N,uzlík,haz
458,Bündel::N,zväzok,haz
459,Tasche::N,taška,bolso
460,Tasche::N,kabelka,bolso
461,Eimer::N,vedro,cubo
462,Deckel::N,vrchnák,tapa
463,Deckel::N,vrchnák,tapadera
464,Deckel::N,pokrývka,tapa
465,Deckel::N,pokrývka,tapadera
466,Geschirr::N,nádoba,vajilla
467,Sack::N,mech,saco
468,Sack::N,vrece,saco
469,Tasse::N,šálka,taza
470,Topf::N,hrniec,olla
471,Topf::N,hrniec,marmita
472,Kessel::N,kotol,caldera
473,Essen::N,jedlo,comida
474,Nahrung::N,strava,alimento
475,Nahrung::N,potrava,alimento
476,Speise::N,jedlo,plato
477,Fleisch::N,mäso,carne
478,Getreide::N,obilie,cereales
479,Brei::N,kaša,puré
480,Brei::N,kaša,papilla
481,Brot::N,chlieb,pan
482,Scheibe::N,kotúč,lonja
483,Scheibe::N,kotúč,rebanada
484,Scheibe::N,krajec,lonja
485,Scheibe::N,krajec,rebanada
486,Fett::N,tuk,grasa
487,Fett::N,masť,grasa
488,Butter::N,maslo,mantequilla
489,Öl::N,olej,aceite
490,Salz::N,soľ,sal
491,Suppe::N,polievka,sopa
492,Honig::N,med,miel
493,Milch::N,mlieko,leche
494,Tee::N,čaj,té
495,Leder::N,koža,cuero
496,Wolle::N,vlna,lana
497,Stoff::N,súkno,tela
498,Stoff::N,súkno,tejido
499,Nadel::N,ihla,aguja
500,Faden::N,niť,hilo
501,Faden::N,vlákno,hilo
502,Knopf::N,gombík,botón
503,Knoten::N,uzol,nudo
504,Farbe::N,farba,pintura
505,Kleidung::N,šaty,ropa
506,Kleidung::N,šaty,vestidos
507,Kleidung::N,šatstvo,ropa
508,Kleidung::N,šatstvo,vestidos
509,Hemd::N,košeľa,camisa
510,Kragen::N,golier,cuello
511,Ärmel::N,rukáv,manga
512,Hose::N,nohavice,pantalón
513,Gürtel::N,pás,cinturón
514,Gürtel::N,opasok,cinturón
515,Mütze::N,čiapka,gorro
516,Schuh::N,obuv,zapato
517,Schuh::N,topánka,zapato
518,Stiefel::N,čižma,bota
519,Ring::N,prsteň,anillo
520,Band::N,stuha,cinta
521,Kamm::N,hrebeň,peine
522,Spiegel::N,zrkadlo,espejo
523,Riemen::N,remeň,correa
524,Schnur::N,šnúra,cuerda
525,Leine::N,vodidlo,correa
526,Decke::N,deka,manta
527,Decke::N,prikrývka,manta
528,Kissen::N,poduška,almohada
529,Tuch::N,šatka,pañuelo
530,Handtuch::N,uterák,toalla
531,Kraft::N,moc,fuerza
532,Stärke::N,sila,fuerza
533,Gesundheit::N,zdravie,salud
534,Krankheit::N,nemoc,enfermedad
535,Krankheit::N,choroba,enfermedad
536,Schmerz::N,bolesť,dolor
537,Wunde::N,rana,llaga
538,Wunde::N,rana,herida
539,Fieber::N,horúčka,fiebre
540,Arznei::N,liek,medicina
541,Arznei::N,liek,medicamento
542,Brücke::N,most,puente
543,Brunnen::N,studňa,pozo
544,Weide::N,pastva,pasto
545,Pfad::N,chodník,sendero
546,Weg::N,cesta,camino
547,Straße::N,hradská,vía
548,Straße::N,hradská,carretera
549,Dorf::N,dedina,aldea
550,Dorf::N,dedina,pueblo
551,Stadt::N,mesto,ciudad
552,Brief::N,list,carta
553,Buch::N,kniha,libro
554,Buchstabe::N,litera,letra
555,Buchstabe::N,litera,carácter
556,Buchstabe::N,písmeno,letra
557,Buchstabe::N,písmeno,carácter
558,Zeitung::N,noviny,diario
559,Zeitung::N,noviny,periódico
560,Leben::N,život,vida
561,Tod::N,smrť,muerte
562,Grab::N,hrob,tumba
563,Grab::N,hrob,sepulcro
564,Kirche::N,kostol,iglesia
565,Sünde::N,hriech,pecado
566,Gott::N,boh,dios
567,Arbeiter::N,robotník,obrero
568,Arbeiter::N,robotník,trabajador
569,Arbeiter::N,pracnovík,obrero
570,Arbeiter::N,pracnovík,trabajador
571,Chef::N,šéf,jefe
572,Chef::N,riaditeľ,jefe
573,Meister::N,majster,maestro
574,Arzt::N,lekár,médico
575,Lehrer::N,učiteľ,profesor
576,Geld::N,peniaze,dinero
577,Geschäft::N,obchod,negocio
578,Laden::N,obchod,tienda
579,Preis::N,cena,precio
580,Ware::N,tovar,mercancía
581,Nutzen::N,osoh,provecho
582,Nutzen::N,úžitok,provecho
583,Reichtum::N,bohatstvo,riqueza
584,Welt::N,svet,mundo
585,Land::N,územie,país
586,Land::N,krajina,país
587,Staat::N,štát,Estado
588,König::N,kráľ,rey
589,Macht::N,moc,poder
590,Macht::N,moc,potencia
591,Macht::N,mocnosť,poder
592,Macht::N,mocnosť,potencia
593,Grenze::N,hranica,frontera
594,Krieg::N,vojna,guerra
595,Feind::N,nepriateľ,enemigo
596,Gewalt::N,násilie,violencia
597,Kampf::N,boj,lucha
598,Kampf::N,boj,combate
599,Bogen[Waffe]::N,luk,arco
600,Pfeil::N,šíp,flecha
601,Pfeil::N,strela,flecha
602,Gewehr::N,puška,fusil
603,Gewehr::N,puška,escopeta
604,Fehler::N,omyl,error
605,Fehler::N,chyba,error
606,Lüge::N,lož,mentira
607,Schaden::N,ujma,daño
608,Schaden::N,škoda,daño
609,Unglück::N,nešťastie,desgracia
610,Schuld::N,vina,culpa
611,Schuld::N,previnenie,culpa
612,Alter::N,vek,edad
613,Schluss::N,záver,fin
614,Schluss::N,záver,final
615,Schluss::N,koniec,fin
616,Schluss::N,koniec,final
617,Zeit::N,čas,tiempo
618,Tag::N,deň,día
619,Morgen::N,ráno,mañana
620,Mittag::N,poludnie,mediodía
621,Abend::N,večer,noche
622,Nacht::N,noc,noche
623,Woche::N,týždeň,semana
624,Monat::N,mesiac,mes
625,Jahr::N,rok,año
626,Frühling::N,jar,primavera
627,Sommer::N,leto,verano
628,Herbst::N,jeseň,otoño
629,Winter::N,zima,invierno
630,Januar::N,január,enero
631,Februar::N,február,febrero
632,März::N,marec,marzo
633,April::N,apríl,abril
634,Mai::N,máj,mayo
635,Juni::N,jún,junio
636,Juli::N,júl,julio
637,August::N,august,agosto
638,September::N,september,septiembre
639,Oktober::N,október,octubre
640,November::N,november,noviembre
641,Dezember::N,december,diciembre
642,Montag::N,pondelok,lunes
643,Dienstag::N,utorok,martes
644,Mittwoch::N,streda,miércoles
645,Donnerstag::N,štvrtok,jueves
646,Freitag::N,piatok,viernes
647,Samstag::N,sobota,sábado
648,Sonntag::N,nedeľa,domingo
649,groß::A,veľký,grande
650,klein::A,malý,pequeño
651,lang::A,dlhý,largo
652,kurz::A,krátky,corto
653,breit::A,široký,ancho
654,schmal::A,úzky,estrecho
655,dicht::A,hustý,denso
656,dick[Gegenstand]::A,tlstý,grueso
657,dünn::A,tenký,fino
658,dünn::A,tenký,delgado
659,fein::A,jemný,fino
660,fein::A,jemný,delicado
661,fest::A,pevný,firme
662,fest::A,pevný,sólido
663,flach::A,rovný,plano
664,flach::A,plochý,plano
665,glatt::A,hladký,liso
666,hart::A,tvrdý,duro
667,weich::A,mäkký,muelle
668,rund::A,guľatý,redondo
669,rund::A,okrúhly,redondo
670,spitz::A,končitý,agudo
671,spitz::A,končitý,apuntado
672,scharf::A,ostrý,agudo
673,scharf::A,ostrý,afilado
674,stumpf::A,tupý,sin filo
675,schwer::A,ťažký,pesado
676,schön::A,pekný,bello
677,schön::A,pekný,hermoso
678,schön::A,krásny,bello
679,schön::A,krásny,hermoso
680,heiß::A,horúci,caluroso
681,warm::A,teplý,cálido
682,warm::A,teplý,caliente
683,kalt::A,studený,frío
684,kühl::A,chladný,fresco
685,frisch::A,svieži,fresco
686,feucht::A,vlhký,húmedo
687,feucht::A,zvlhnutý,húmedo
688,nass::A,mokrý,mojado
689,trocken::A,suchý,seco
690,voll::A,plný,lleno
691,leer::A,prázdny,vacío
692,offen::A,otvorený,abierto
693,geschlossen::A,zavretý,cerrado
694,sauber::A,čistý,limpio
695,schmutzig::A,špinavý,sucio
696,roh::A,surový,crudo
697,reif::A,zrelý,maduro
698,lecker::A,chutný,rico
699,lecker::A,chutný,sabroso
700,süß::A,sladký,dulce
701,bitter::A,horký,amargo
702,sauer::A,kyslý,agrio
703,hell::A,jasný,claro
704,hell::A,svetlý,claro
705,dunkel::A,temný,oscuro
706,schwarz::A,čierny,negro
707,weiß::A,biely,blanco
708,rot::A,červený,rojo
709,gelb::A,žltý,amarillo
710,blau::A,modrý,azul
711,blau::A,belasý,azul
712,grün::A,zelený,verde
713,grau::A,šedý,gris
714,bunt::A,pestrý,multicolor
715,billig::A,lacný,barato
716,teuer::A,drahý,caro
717,wertvoll::A,cenný,valioso
718,wertvoll::A,cenný,precioso
719,blind::A,slepý,ciego
720,taub::A,hluchý,sordo
721,kräftig::A,silný,fuerte
722,stark::A,silný,fuerte
723,stark::A,silný,vigoroso
724,schwach::A,slabý,débil
725,schwach::A,bezvládny,débil
726,fett::A,tučný,obeso
727,schlank::A,štíhly,esbelto
728,hübsch::A,šumný,mono
729,hübsch::A,šumný,guapo
730,hübsch::A,švárny,mono
731,hübsch::A,švárny,guapo
732,böse::A,zlý,malo
733,dumm::A,hlúpy,tonto
734,dumm::A,hlúpy,estúpido
735,faul::A,lenivý,vago
736,faul::A,lenivý,perezoso
737,fleißig::A,snaživý,aplicado
738,fleißig::A,snaživý,diligente
739,fleißig::A,usilovný,aplicado
740,fleißig::A,usilovný,diligente
741,geizig::A,skupý,avaro
742,geizig::A,lakomý,avaro
743,klug::A,múdry,sensato
744,klug::A,múdry,inteligente
745,klug::A,bystrý,sensato
746,klug::A,bystrý,inteligente
747,geschickt::A,zručný,hábil
748,geschickt::A,šikovný,hábil
749,lieb::A,milý,querido
750,lustig::A,veselý,alegre
751,sanft::A,nežný,suave
752,hungrig::A,lačný,hambriento
753,hungrig::A,hladný,hambriento
754,krank::A,chorý,enfermo
755,krank::A,nemocný,enfermo
756,nackt::A,nahý,desnudo
757,traurig::A,smutný,triste
758,lebendig::A,živý,vivo
759,lebendig::A,živý,viviente
760,gut::A,dobrý,bueno
761,schlecht::A,zlý,malo
762,richtig::A,správny,justo
763,richtig::A,správny,correcto
764,schlimm::A,zlý,malo
765,schlimm::A,zlý,grave
766,schlimm::A,nepríjemný,malo
767,schlimm::A,nepríjemný,grave
768,wahr::A,pravý,verídico
769,wahr::A,pravý,verdadero
770,wahr::A,pravdivý,verídico
771,wahr::A,pravdivý,verdadero
772,alt::A,starý,viejo
773,neu::A,nový,nuevo
774,ehemalig::A,bývalý,antiguo
775,alt[Lebewesen]::A,starý,viejo
776,jung::A,mladý,joven
777,arm::A,chudobný,pobre
778,reich::A,bohatý,rico
779,bekannt::A,známy,conocido
780,berühmt::A,slávny,famoso
781,berühmt::A,slávny,célebre
782,berühmt::A,povestný,famoso
783,berühmt::A,povestný,célebre
784,fremd::A,cudzí,extraño
785,verschieden::A,rôzny,diverso
786,verschieden::A,rôzny,distinto
787,verschieden::A,rôzny,diferente
788,verschieden::A,rozličný,diverso
789,verschieden::A,rozličný,distinto
790,verschieden::A,rozličný,diferente
791,nah::A,blízky,cercano
792,fern::A,ďaleký,lejano
793,linker::A,ľavý,izquierdo
794,rechter::A,pravý,derecho
795,anderer::A,iný,otro
796,anderer::A,druhý,otro
797,erster::A,prvý,primero
798,zweiter::A,druhý,segundo
799,dritter::A,tretí,tercero
800,letzter::A,ostatný,último
801,letzter::A,posledný,último
802,allein::ADV,sám,a solo
803,auf einmal::ADV,zároveň,de una vez
804,zusammen::ADV,spolu,juntos
805,zusammen::ADV,spoločne,juntos
806,lange::ADV,dlho,mucho tiempo
807,plötzlich::ADV,náhle,de repente
808,sofort::ADV,hneď,en seguida
809,sofort::ADV,ihneď,en seguida
810,später::ADV,neskoršie,más tarde
811,jetzt::ADV,teraz,ahora
812,heute::ADV,dnes,hoy
813,morgen::ADV,zajtra,mañana
814,bald::ADV,skoro,pronto
815,bald::ADV,skoro,en breve
816,dann::ADV,nato,luego
817,dann::ADV,nato,entonces
818,dann::ADV,potom,luego
819,dann::ADV,potom,entonces
820,gestern::ADV,včera,ayer
821,einst::ADV,kedysi,antaño
822,einst::ADV,niekedy,antaño
823,damals::ADV,vtedy,entonces
824,danach::ADV,potom,después
825,danach::ADV,podľa toho,después
826,vorher::ADV,napred,antes
827,vorher::ADV,predtým,antes
828,zuerst::ADV,najprv,primero
829,einmal::ADV,raz,una vez
830,einmal::ADV,jedenkrát,una vez
831,manchmal::ADV,občas,a veces
832,manchmal::ADV,niekedy,a veces
833,oft::ADV,často,a menudo
834,oft::ADV,často,con frecuencia
835,immer::ADV,vždy,siempre
836,immer::ADV,ustavične,siempre
837,niemals::ADV,nikdy,jamás
