,Concept_ID,fi,tr
108,Tropfen::N,pisara,damla
109,Schaum::N,vaahto,köpük
110,Schmutz::N,loka,çamur
111,Schmutz::N,loka,pislik
112,See::N,järvi,göl
113,Sumpf::N,suo,batak
114,Moor::N,räme,cılgıt
115,Wiese::N,niitty,çimen
116,Wald::N,metsä,koru
117,Wald::N,metsä,orman
118,Hügel::N,mäki,tepe
119,Hügel::N,kumpu,tepe
120,Hügel::N,kukkula,tepe
121,Anhöhe::N,mäki,tümsek
122,Anhöhe::N,mäki,yükseklik
123,Anhöhe::N,kumpare,tümsek
124,Anhöhe::N,kumpare,yükseklik
125,Berg::N,mäki,dağ
126,Berg::N,vuori,dağ
127,Gipfel::N,laki,zirve
128,Gipfel::N,huippu,zirve
129,Höhle::N,luola,in
130,Höhle::N,luola,mağara
131,Abhang::N,rinne,bayır
132,Quelle::N,lähde,pınar
133,Quelle::N,lähde,kaynak
134,Bach::N,puro,çay
135,Bach::N,puro,dere
136,Fluss::N,joki,nehir
137,Ufer::N,ranta,kıyı
138,Ufer::N,ranta,sahil
139,Küste::N,rannikko,kıyı
140,Küste::N,rannikko,sahil
141,Festland::N,manner,kara
142,Meer::N,meri,deniz
143,Bucht::N,lahti,koy
144,Bucht::N,lahti,körfez
145,Insel::N,saari,ada
146,Blume::N,kukka,çiçek
147,Gras::N,ruoho,ot
148,Gras::N,ruoho,çim
149,Wurzel::N,juuri,kök
150,Baum::N,puu,ağaç
151,Stamm::N,runko,gövde
152,Rinde::N,kuori,kabuk
153,Rinde::N,parkki,kabuk
154,Ast::N,oksa,dal
155,Ast::N,oksa,budak
156,Zweig::N,haara,dal
157,Blatt::N,lehti,yaprak
158,Birke::N,koivu,huş
159,Kiefer[Baum]::N,mänty,çam
160,Kiefer[Baum]::N,petäjä,çam
161,Weide[Baum]::N,paju,söğüt
162,Tanne::N,kuusi,çam
163,Tanne::N,kuusi,köknar
164,Horn::N,sarvi,boynuz
165,Feder::N,sulka,tüy
166,Feder::N,höyhen,tüy
167,Fell::N,talja,post
168,Flügel::N,siipi,kanat
169,Klaue::N,kynsi,pençe
170,Kralle::N,kynsi,tırnak
171,Schwanz::N,häntä,kuyruk
172,Schwanz::N,pyrstö,kuyruk
173,Ei::N,muna,yumurta
174,Nest::N,pesä,yuva
175,Bau::N,pesä,in
176,Tier::N,eläin,hayvan
177,Herde::N,lauma,sürü
178,Kuh::N,lehmä,inek
179,Bulle::N,sonni,boğa
180,Pferd::N,hevonen,at
181,Pferd::N,hevonen,beygir
182,Schaf::N,lammas,koyun
183,Schwein::N,sika,domuz
184,Hund::N,koira,it
185,Hund::N,koira,köpek
186,Katze::N,kissa,kedi
187,Bär::N,karhu,ayı
188,Eichhörnchen::N,orava,sincap
189,Elch::N,hirvi,büyük kuzey geyiği
190,Fuchs::N,kettu,tilki
191,Hase::N,jänis,tavşan
192,Maus::N,hiiri,fare
193,Maus::N,hiiri,sıçan
194,Wolf::N,susi,kurt
195,Vogel::N,lintu,kuş
196,Schwarm::N,parvi,sürü
197,Huhn::N,kana,tavuk
198,Hahn::N,kukko,horoz
199,Gans::N,hanhi,kaz
200,Adler::N,kotka,kartal
201,Adler::N,kotka,karakuş
202,Ente::N,ankka,ördek
203,Eule::N,pöllö,baykuş
204,Kranich::N,kurki,turna
205,Krähe::N,varis,karga
206,Kuckuck::N,käki,guguk
207,Schwan::N,joutsen,kuğu
208,Fisch::N,kala,balık
209,Barsch::N,ahven,hani
210,Barsch::N,ahven,levrek
211,Hecht::N,hauki,turnabalığı
212,Schlange[Tier]::N,käärme,yılan
213,Wurm::N,mato,kurt
214,Wurm::N,mato,solucan
215,Spinne::N,hämähäkki,örümcek
216,Ameise::N,muurahainen,karınca
217,Laus::N,täi,bit
218,Mücke::N,sääski,sivrisinek
219,Mücke::N,hyttynen,sivrisinek
220,Fliege::N,kärpänen,sinek
221,Schmetterling::N,perhonen,kelebek
222,Beere::N,marja,tane
223,Apfel::N,omena,elma
224,Pilz::N,sieni,mantar
225,Zwiebel::N,sipuli,soğan
226,Saat::N,siemenet,ekin
227,Korn::N,jyvä,tane
228,Korn::N,vilja,tane
229,Heu::N,heinä,kuru ot
230,Schale::N,kuori,kabuk
231,Grube::N,kuoppa,çukur
232,Falle::N,loukku,tuzak
233,Schlinge::N,ansa,ilmik
234,Spur::N,jälki,iz
235,Asche::N,tuhka,kül
236,Dreck::N,lika,pislik
237,Eisen::N,rauta,demir
238,Gold::N,kulta,altın
239,Silber::N,hopea,gümüş
240,Kohle::N,hiili,kömür
241,Glas::N,lasi,cam
242,Lehm::N,savi,balçık
243,Sand::N,hiekka,kum
244,Mensch::N,ihminen,insan
245,Mann::N,mies,adam
246,Mann::N,mies,erkek
247,Frau::N,nainen,bayan
248,Kind::N,lapsi,çocuk
249,Junge::N,poika,erkek çocuk
250,Mädchen::N,tyttö,kız
251,Familie::N,perhe,aile
252,Großvater::N,isoisä,dede
253,Großvater::N,isoisä,büyükbaba
254,Großmutter::N,isoäiti,nine
255,Großmutter::N,isoäiti,büyükanne
256,Eltern::N,vanhemmat,ebeveyn
257,Eltern::N,vanhemmat,ana baba
258,Vater::N,isä,ata
259,Vater::N,isä,baba
260,Mutter::N,äiti,ana
261,Mutter::N,äiti,anne
262,Sohn::N,poika,oğul
263,Tochter::N,tytär,kız
264,Tochter::N,tytär,kız evlât
265,Bruder::N,veli,abi
266,Bruder::N,veli,erkek kardeş
267,Schwester::N,sisko,abla
268,Schwester::N,sisko,kız kardeş
269,Onkel::N,eno,dayı
270,Onkel::N,setä,dayı
271,Tante::N,täti,hala
272,Tante::N,täti,teyze
273,Ehemann::N,mies,koca
274,Ehemann::N,aviomies,koca
275,Ehefrau::N,vaimo,karı
276,Ehefrau::N,aviovaimo,karı
277,Freude::N,ilo,neşe
278,Freude::N,ilo,sevinç
279,Freude::N,riemu,neşe
280,Freude::N,riemu,sevinç
281,Gelächter::N,nauru,gülme
282,Gelächter::N,nauru,kahkaha
283,Glück::N,onni,mutluluk
284,Kummer::N,suru,dert
285,Kummer::N,suru,keder
286,Kummer::N,murhe,dert
287,Kummer::N,murhe,keder
288,Wunsch::N,toive,arzu
289,Wunsch::N,toive,istek
290,Wunsch::N,toivomus,arzu
291,Wunsch::N,toivomus,istek
292,Lust::N,himo,arzu
293,Lust::N,himo,heves
294,Geist::N,henki,tin
295,Gedanke::N,aate,fikir
296,Gedanke::N,aate,düşünce
297,Gedanke::N,ajatus,fikir
298,Gedanke::N,ajatus,düşünce
299,Gedächtnis::N,muisti,bellek
300,Verstand::N,äly,zekâ
301,Verstand::N,järki,zekâ
302,Verstand::N,ymmärrys,zekâ
303,Sinn::N,merkitys,anlam
304,Grund::N,syy,sebep
305,Grund::N,peruste,sebep
306,Wahrheit::N,tosi,doğruluk
307,Wahrheit::N,tosi,gerçeklik
308,Wahrheit::N,totuus,doğruluk
309,Wahrheit::N,totuus,gerçeklik
310,Gespräch::N,puhelu,görüşme
311,Gespräch::N,keskustelu,görüşme
312,Märchen::N,satu,masal
313,Erzählung::N,tarina,öykü
314,Erzählung::N,tarina,hikâye
315,Erzählung::N,kertomus,öykü
316,Erzählung::N,kertomus,hikâye
317,Nachricht::N,tieto,haber
318,Nachricht::N,ilmoitus,haber
319,Neuigkeit::N,uutinen,haber
320,Name::N,nimi,ad
321,Name::N,nimi,isim
322,Rätsel::N,arvoitus,bilmece
323,Rede::N,puhe,söylev
324,Rede::N,puhe,konuşma
325,Sprache::N,kieli,dil
326,Sprache::N,kieli,lisan
327,Stimme::N,ääni,ses
328,Wort::N,sana,kelime
329,Zeichen::N,merkki,işaret
330,Ruf::N,kutsu,çağırma
331,Lärm::N,melu,şamata
332,Lärm::N,melu,gürültü
333,Lärm::N,hälinä,şamata
334,Lärm::N,hälinä,gürültü
335,Laut::N,ääni,ses
336,Ton::N,sävel,ses
337,Lied::N,laulu,türkü
338,Ruhe::N,lepo,sakinlik
339,Ruhe::N,rauha,sakinlik
340,Leute::N,väki,halk
341,Leute::N,väki,insanlar
342,Leute::N,ihmiset,halk
343,Leute::N,ihmiset,insanlar
344,Volk::N,kansa,ulus
345,Volk::N,kansa,millet
346,Arbeit::N,työ,iş
347,Arbeit::N,työ,çalışma
348,Gast::N,vieras,konuk
349,Gast::N,vieras,misafir
350,Geschenk::N,lahja,hediye
351,Geschenk::N,lahja,armağan
352,Spiel::N,peli,oyun
353,Spiel::N,leikki,oyun
354,Gesellschaft::N,seura,çevre
355,Gesellschaft::N,seura,arkadaşlık
356,Hilfe::N,apu,yardım
357,Freund::N,ystävä,dost
358,Freund::N,ystävä,arkadaş
359,Kamerad::N,toveri,arkadaş
360,Angelegenheit::N,asia,iş
361,Angelegenheit::N,asia,husus
362,Anzahl::N,lukumäärä,sayı
363,Art::N,laji,çeşit
364,Stück::N,pala,tane
365,Stück::N,pala,parça
366,Stück::N,kappale,tane
367,Stück::N,kappale,parça
368,Teil::N,osa,kısım
369,Hälfte::N,puoli,yarı
370,Kreis::N,ympyrä,daire
371,Kreuz::N,risti,haç
372,Linie::N,viiva,hat
373,Linie::N,viiva,çizgi
374,Strich::N,piirto,çizgi
375,Abstand::N,väli,aralık
376,Abstand::N,väljyys,aralık
377,Entfernung::N,etäisyys,mesafe
378,Entfernung::N,etäisyys,uzaklık
379,Gegend::N,seutu,yöre
380,Platz::N,tila,yer
381,Ort::N,kohta,yer
382,Ort::N,paikka,yer
383,Seite::N,sivu,yan
384,Seite::N,sivu,taraf
385,Seite::N,kylki,yan
386,Seite::N,kylki,taraf
387,Mitte::N,keskus,orta
388,Mitte::N,keskus,merkez
389,Mitte::N,puoliväli,orta
390,Mitte::N,puoliväli,merkez
391,Gegenstand::N,kalu,şey
392,Gegenstand::N,esine,şey
393,Sache::N,asia,iş
394,Sache::N,asia,şey
395,Rand::N,ääri,kenar
396,Rand::N,syrjä,kenar
397,Kante::N,särmä,kenar
398,Ecke::N,nurkka,köşe
399,Spitze::N,terä,uç
400,Spitze::N,terä,baş
401,Spitze::N,kärki,uç
402,Spitze::N,kärki,baş
403,Ende::N,pää,uç
404,Ende::N,perä,uç
405,Loch::N,kolo,oyuk
406,Loch::N,kolo,delik
407,Loch::N,reikä,oyuk
408,Loch::N,reikä,delik
409,Winkel::N,kulma,köşe
410,Muster::N,kuvio,örnek
411,Größe::N,koko,büyüklük
412,Größe::N,suuruus,büyüklük
413,Länge::N,pituus,uzunluk
414,Höhe::N,korkeus,yükseklik
415,Gewicht::N,paino,ağırlık
416,Menge::N,määrä,miktar
417,Haufen::N,kasa,küme
418,Haufen::N,kasa,yığın
419,Reihe::N,rivi,sıra
420,Boot::N,vene,kayık
421,Boot::N,vene,sandal
422,Ruder::N,airo,kürek
423,Schlitten::N,reki,kızak
424,Schlitten::N,kelkka,kızak
425,Ski::N,suksi,kayak
426,Lagerfeuer::N,nuotio,kamp ateşi
427,Last::N,kuorma,yük
428,Gang::N,kulku,gidiş
429,Gang::N,kulku,yürüyüş
430,Gang::N,käynti,gidiş
431,Gang::N,käynti,yürüyüş
432,Schritt::N,askel,adım
433,Norden::N,pohjoinen,kuzey
434,Süden::N,etelä,güney
435,Westen::N,länsi,batı
436,Osten::N,itä,doğu
437,Holz::N,puu,ağaç
438,Holz::N,puu,tahta
439,Brett::N,lauta,tahta
440,Platte::N,levy,levha
441,Stütze::N,noja,dayak
442,Stütze::N,noja,destek
443,Stange::N,tanko,çubuk
444,Stock::N,keppi,sopa
445,Stock::N,keppi,değnek
446,Stab::N,sauva,sırık
447,Stab::N,sauva,baston
448,Stab::N,seiväs,sırık
449,Stab::N,seiväs,baston
450,Rohr::N,putki,boru
451,Haus::N,talo,ev
452,Heim::N,koti,ev
453,Heim::N,koti,yurt
454,Ofen::N,uuni,soba
455,Fußboden::N,lattia,taban
456,Fußboden::N,lattia,döşeme
457,Tisch::N,pöytä,masa
458,Stuhl::N,tuoli,iskemle
459,Stuhl::N,tuoli,sandalye
460,Wiege::N,kehto,beşik
461,Bett::N,sänky,yatak
462,Regal::N,hylly,raf
463,Kiste::N,arkku,sandık
464,Kiste::N,kirstu,sandık
465,Kiste::N,laatikko,sandık
466,Fenster::N,ikkuna,pencere
467,Tür::N,ovi,kapı
468,Tor::N,portti,kapı
469,Zaun::N,aita,çit
470,Dach::N,katto,dam
471,Dach::N,katto,çatı
472,Leiter::N,tikkaat,merdiven
473,Leiter::N,tikapuut,merdiven
474,Besen::N,luuta,süpürge
475,Spaten::N,lapio,bel
476,Schaufel::N,lapio,kürek
477,Gabel::N,haarukka,çatal
478,Löffel::N,lusikka,kaşık
479,Messer::N,veitsi,bıçak
480,Nagel::N,naula,çivi
481,Netz::N,verkko,ağ
482,Haken::N,haka,çengel
483,Haken::N,koukku,çengel
484,Griff::N,ripa,kulp
485,Griff::N,ripa,tutamak
486,Griff::N,kahva,kulp
487,Griff::N,kahva,tutamak
488,Schloss::N,lukko,kilit
489,Bild::N,kuva,imaj
490,Bild::N,kuva,resim
491,Figur::N,kuvio,şekil
492,Figur::N,kuvio,heykel
493,Puppe::N,nukke,kukla
494,Beutel::N,pussi,kese
495,Beutel::N,pussi,torba
496,Bündel::N,nippu,deste
497,Bündel::N,kimppu,deste
498,Tasche::N,laukku,çanta
499,Eimer::N,sanko,kova
500,Eimer::N,ämpäri,kova
501,Deckel::N,kansi,kapak
502,Geschirr::N,astia,kap kacak
503,Sack::N,säkki,torba
504,Tasse::N,kuppi,fincan
505,Topf::N,pata,tencere
506,Kessel::N,kattila,kazan
507,Essen::N,syönti,yemek
508,Nahrung::N,ruoka,gıda
509,Nahrung::N,ruoka,besin
510,Nahrung::N,ravinto,gıda
511,Nahrung::N,ravinto,besin
512,Speise::N,ruoka,yemek
513,Fleisch::N,liha,et
514,Getreide::N,vilja,tahıl
515,Getreide::N,vilja,hububat
516,Brei::N,puuro,ezme
517,Brot::N,leipä,ekmek
518,Scheibe::N,viipale,dilim
519,Fett::N,rasva,yağ
520,Butter::N,voi,tereyağı
521,Öl::N,öljy,yağ
522,Öl::N,öljy,akar yağ
523,Salz::N,suola,tuz
524,Suppe::N,keitto,çorba
525,Honig::N,hunaja,bal
526,Milch::N,maito,süt
527,Tee::N,tee,çay
528,Leder::N,nahka,deri
529,Leder::N,nahka,meşin
530,Wolle::N,villa,yün
531,Stoff::N,kangas,kumaş
532,Nadel::N,neula,iğne
533,Faden::N,lanka,tire
534,Faden::N,lanka,iplik
535,Knopf::N,nappi,düğme
536,Knoten::N,solmu,düğüm
537,Farbe::N,maali,boya
538,Kleidung::N,vaatteet,giyim
539,Hemd::N,paita,gömlek
540,Kragen::N,kaulus,yaka
541,Ärmel::N,hiha,yen
542,Ärmel::N,hiha,elbise kolu
543,Hose::N,housut,pantolon
544,Gürtel::N,vyö,kuşak
545,Mütze::N,lakki,bere
546,Mütze::N,lakki,kasket
547,Schuh::N,kenkä,kundura
548,Schuh::N,kenkä,ayakkabı
549,Stiefel::N,saapas,çizme
550,Ring::N,sormus,yüzük
551,Band::N,nauha,bağ
552,Band::N,nauha,şerit
553,Kamm::N,kampa,tarak
554,Spiegel::N,peili,ayna
555,Riemen::N,hihna,kayış
556,Schnur::N,naru,ip
557,Schnur::N,naru,sicim
558,Schnur::N,nuora,ip
559,Schnur::N,nuora,sicim
560,Leine::N,talutushihna,kayış
561,Decke::N,peite,örtü
562,Decke::N,peite,yorgan
563,Kissen::N,tyyny,yastık
564,Kissen::N,pielus,yastık
565,Tuch::N,huivi,bez
566,Handtuch::N,pyyheliina,havlu
567,Kraft::N,väki,güç
568,Kraft::N,väki,kuvvet
569,Kraft::N,voima,güç
570,Kraft::N,voima,kuvvet
571,Stärke::N,vahvuus,kuvvet
572,Gesundheit::N,terveys,sağlık
573,Krankheit::N,tauti,hastalık
574,Krankheit::N,sairaus,hastalık
575,Schmerz::N,kipu,ağrı
576,Schmerz::N,kipu,sancı
577,Schmerz::N,särky,ağrı
578,Schmerz::N,särky,sancı
579,Wunde::N,haava,yara
580,Fieber::N,kuume,ateş
581,Arznei::N,lääke,ilâç
582,Brücke::N,silta,köprü
583,Brunnen::N,kaivo,kuyu
584,Brunnen::N,kaivo,çeşme
585,Weide::N,laidun,otlak
586,Pfad::N,polku,patika
587,Pfad::N,polku,keçiyolu
588,Weg::N,tie,yol
589,Straße::N,katu,yol
590,Straße::N,katu,cadde
591,Dorf::N,kylä,köy
592,Stadt::N,kaupunki,kent
593,Stadt::N,kaupunki,şehir
594,Brief::N,kirje,mektup
595,Buch::N,kirja,kitap
596,Buchstabe::N,kirjain,harf
597,Zeitung::N,lehti,gazete
598,Zeitung::N,sanomalehti,gazete
599,Leben::N,elo,hayat
600,Leben::N,elämä,hayat
601,Tod::N,kuolema,ölüm
602,Grab::N,hauta,kabir
603,Kirche::N,kirkko,kilise
604,Sünde::N,synti,günah
605,Gott::N,jumala,tanrı
606,Arbeiter::N,työläinen,işçi
607,Chef::N,päällikkö,şef
608,Chef::N,päällikkö,müdür
609,Meister::N,mestari,usta
610,Arzt::N,lääkäri,hekim
611,Arzt::N,lääkäri,doktor
612,Lehrer::N,opettaja,hoca
613,Lehrer::N,opettaja,öğretmen
614,Geld::N,raha,para
615,Geschäft::N,liike,ticaret
616,Laden::N,puoti,dükkân
617,Laden::N,kauppa,dükkân
618,Preis::N,hinta,fiyat
619,Ware::N,tavara,mal
620,Nutzen::N,hyöty,fayda
621,Reichtum::N,rikkaus,servet
622,Reichtum::N,rikkaus,zenginlik
623,Welt::N,maailma,dünya
624,Land::N,maa,ülke
625,Staat::N,valtio,devlet
626,König::N,kuningas,kral
627,Macht::N,mahti,kudret
628,Macht::N,mahti,iktidar
629,Grenze::N,raja,had
630,Grenze::N,raja,sınır
631,Krieg::N,sota,savaş
632,Feind::N,vihollinen,düşman
633,Gewalt::N,väkivalta,zor
634,Gewalt::N,väkivalta,cebir
635,Kampf::N,taistelu,savaş
636,Bogen[Waffe]::N,jousi,yay
637,Pfeil::N,nuoli,ok
638,Gewehr::N,kivääri,tüfek
639,Fehler::N,vika,hata
640,Fehler::N,vika,yanlış
641,Fehler::N,virhe,hata
642,Fehler::N,virhe,yanlış
643,Lüge::N,valhe,yalan
644,Schaden::N,vaurio,zarar
645,Schaden::N,vahinko,zarar
646,Unglück::N,vahinko,felâket
647,Unglück::N,vahinko,talihsizlik
648,Unglück::N,onnettomuus,felâket
649,Unglück::N,onnettomuus,talihsizlik
650,Schuld::N,syy,suç
651,Schuld::N,syy,kabahat
652,Alter::N,ikä,yaş
653,Schluss::N,loppu,son
654,Zeit::N,aika,zaman
655,Tag::N,päivä,gün
656,Morgen::N,aamu,sabah
657,Morgen::N,huomen,sabah
658,Mittag::N,keskipäivä,öğle
659,Abend::N,ilta,akşam
660,Nacht::N,yö,gece
661,Woche::N,viikko,hafta
662,Monat::N,kuukausi,ay
663,Jahr::N,vuosi,yıl
664,Jahr::N,vuosi,sene
665,Frühling::N,kevät,ilkbahar
666,Sommer::N,kesä,yaz
667,Herbst::N,syksy,güz
668,Herbst::N,syksy,sonbahar
669,Winter::N,talvi,kış
670,Januar::N,tammikuu,ocak
671,Februar::N,helmikuu,şubat
672,März::N,maaliskuu,mart
673,April::N,huhtikuu,nisan
674,Mai::N,toukokuu,mayıs
675,Juni::N,kesäkuu,haziran
676,Juli::N,heinäkuu,temmuz
677,August::N,elokuu,ağustos
678,September::N,syyskuu,eylül
679,Oktober::N,lokakuu,ekim
680,November::N,marraskuu,kasım
681,Dezember::N,joulukuu,aralık
682,Montag::N,maanantai,pazartesi
683,Dienstag::N,tiistai,salı
684,Mittwoch::N,keskiviikko,çarşamba
685,Donnerstag::N,torstai,perşembe
686,Freitag::N,perjantai,cuma
687,Samstag::N,lauantai,cumartesi
688,Sonntag::N,sunnuntai,pazar
689,groß::A,iso,büyük
690,groß::A,suuri,büyük
691,klein::A,pieni,ufak
692,klein::A,pieni,küçük
693,lang::A,pitkä,uzun
694,kurz::A,lyhyt,kısa
695,breit::A,leveä,enli
696,breit::A,leveä,geniş
697,schmal::A,kapea,dar
698,dicht::A,taaja,sık
699,dicht::A,taaja,yoğun
700,dick[Gegenstand]::A,paksu,kalın
701,dick[Gegenstand]::A,paksu,iri
702,dünn::A,ohut,ince
703,fein::A,hieno,ince
704,fein::A,hieno,narin
705,fest::A,luja,sabit
706,fest::A,luja,sağlam
707,flach::A,litteä,düz
708,flach::A,litteä,yassı
709,flach::A,tasainen,düz
710,flach::A,tasainen,yassı
711,glatt::A,sileä,düz
712,glatt::A,siloinen,düz
713,hart::A,kova,katı
714,weich::A,pehmeä,yumuşak
715,rund::A,pyöreä,yuvarlak
716,spitz::A,terävä,sivri
717,scharf::A,terävä,keskin
718,stumpf::A,tylsä,kör
719,schwer::A,raskas,ağır
720,schwer::A,painava,ağır
721,schön::A,kaunis,güzel
722,heiß::A,kuuma,kızgın
723,warm::A,lämmin,sıcak
724,kalt::A,kylmä,soğuk
725,kalt::A,viluinen,soğuk
726,kühl::A,viileä,serin
727,frisch::A,tuore,taze
728,feucht::A,kostea,nemli
729,feucht::A,kostea,rutubetli
730,nass::A,märkä,yaş
731,nass::A,märkä,ıslak
732,trocken::A,kuiva,kuru
733,voll::A,täysi,dolu
734,voll::A,täysi,dolmuş
735,leer::A,tyhjä,boş
736,offen::A,avonainen,açık
737,geschlossen::A,suljettu,kapalı
738,sauber::A,puhdas,pak
739,sauber::A,puhdas,temiz
740,schmutzig::A,likainen,pis
741,schmutzig::A,likainen,kirli
742,roh::A,raaka,çiğ
743,reif::A,kypsä,olgun
744,lecker::A,herkullinen,lezzetli
745,süß::A,makea,tatlı
746,süß::A,makea,şekerli
747,bitter::A,karvas,acı
748,bitter::A,kitkerä,acı
749,sauer::A,hapan,ekşi
750,hell::A,kirkas,aydınlık
751,hell::A,valoisa,aydınlık
752,dunkel::A,pimeä,karanlık
753,schwarz::A,musta,kara
754,schwarz::A,musta,siyah
755,weiß::A,valkea,ak
756,weiß::A,valkea,beyaz
757,rot::A,punainen,kırmızı
758,gelb::A,keltainen,sarı
759,blau::A,sininen,mavi
760,grün::A,vihreä,yeşil
761,grau::A,harmaa,boz
762,bunt::A,kirjava,renkli
763,billig::A,halpa,ucuz
764,billig::A,huokea,ucuz
765,teuer::A,kallis,pahalı
766,wertvoll::A,arvokas,değerli
767,blind::A,sokea,kör
768,taub::A,kuuro,sağır
769,kräftig::A,väkevä,dinç
770,kräftig::A,väkevä,kuvvetli
771,kräftig::A,voimakas,dinç
772,kräftig::A,voimakas,kuvvetli
773,stark::A,vahva,güçlü
774,stark::A,vahva,kuvvetli
775,schwach::A,heikko,zayıf
776,schwach::A,heikko,güçsüz
777,fett::A,lihava,şişman
778,schlank::A,hoikka,narin
779,schlank::A,solakka,narin
780,hübsch::A,soma,güzel
781,hübsch::A,soma,sevimli
782,hübsch::A,sievä,güzel
783,hübsch::A,sievä,sevimli
784,böse::A,paha,kötü
785,böse::A,häijy,kötü
786,dumm::A,tyhmä,aptal
787,dumm::A,typerä,aptal
788,faul::A,laiska,tembel
789,fleißig::A,ahkera,çalışkan
790,geizig::A,saita,cimri
791,klug::A,älykäs,zekî
792,klug::A,älykäs,akıllı
793,geschickt::A,taitava,becerikli
794,lieb::A,rakas,sevimli
795,lustig::A,hauska,neşeli
796,lustig::A,iloinen,neşeli
797,sanft::A,lauha,nazik
798,sanft::A,lempeä,nazik
799,hungrig::A,nälkäinen,aç
800,krank::A,sairas,hasta
801,krank::A,sairas,rahatsız
802,nackt::A,alaston,çıplak
803,traurig::A,surullinen,kederli
804,traurig::A,surullinen,üzüntülü
805,traurig::A,murheellinen,kederli
806,traurig::A,murheellinen,üzüntülü
807,lebendig::A,elävä,canlı
808,gut::A,hyvä,iyi
809,schlecht::A,paha,kötü
810,schlecht::A,huono,kötü
811,richtig::A,oikea,doğru
812,schlimm::A,paha,kötü
813,wahr::A,tosi,doğru
814,wahr::A,tosi,gerçek
815,alt::A,vanha,eski
816,neu::A,uusi,yeni
817,ehemalig::A,entinen,önceki
818,ehemalig::A,muinainen,önceki
819,alt[Lebewesen]::A,vanha,yaşlı
