,Concept_ID,da,ru
78,Licht::N,lys,свет
79,Schatten::N,skygge,тень
80,Wetter::N,vejr,погода
81,Nebel::N,tåge,туман
82,Wolke::N,sky,облако
83,Regen::N,regn,дождь
84,Schnee::N,sne,снег
85,Eis::N,is,лед
86,Frost::N,frost,мороз
87,Kälte::N,kulde,холод
88,Hitze::N,hede,жара
89,Raureif::N,rimfrost,иней
90,Regenbogen::N,regnbue,радуга
91,Donner::N,torden,гром
92,Strömung::N,strømning,течение
93,Tropfen::N,dråbe,капля
94,Schaum::N,skum,пена
95,Schmutz::N,snavs,грязь
96,See::N,sø,озеро
97,Sumpf::N,sump,топь
98,Moor::N,mose,болото
99,Wiese::N,eng,луг
100,Wald::N,skov,лес
101,Hügel::N,høj,холм
102,Hügel::N,bakke,холм
103,Anhöhe::N,høj,возвышенность
104,Anhöhe::N,bakke,возвышенность
105,Berg::N,bjerg,гора
106,Gipfel::N,top,вершина
107,Höhle::N,hule,пещера
108,Abhang::N,skrænt,склон
109,Abhang::N,skråning,склон
110,Quelle::N,kilde,источник
111,Bach::N,bæk,ручей
112,Fluss::N,flod,река
113,Ufer::N,bred,берег
114,Küste::N,kyst,побережье
115,Festland::N,fastland,суша
116,Meer::N,hav,море
117,Bucht::N,bugt,бухта
118,Insel::N,ø,остров
119,Blume::N,blomst,цветок
120,Gras::N,græs,трава
121,Wurzel::N,rod,корень
122,Baum::N,træ,дерево
123,Stamm::N,stamme,ствол
124,Rinde::N,bark,кора
125,Ast::N,gren,сук
126,Zweig::N,kvist,ветвь
127,Blatt::N,blad,лист
128,Birke::N,birk,береза
129,Kiefer[Baum]::N,fyrretræ,сосна
130,Weide[Baum]::N,piletræ,ива
131,Tanne::N,gran,ель
132,Horn::N,horn,рог
133,Feder::N,fjer,перо
134,Fell::N,skind,шкура
135,Flügel::N,vinge,крыло
136,Klaue::N,klov,коготь
137,Kralle::N,klo,лапа
138,Schwanz::N,hale,хвост
139,Ei::N,æg,яйцо
140,Nest::N,rede,гнездо
141,Bau::N,bo,нора
142,Tier::N,dyr,животное
143,Herde::N,flok,стадо
144,Kuh::N,ko,корова
145,Bulle::N,tyr,бык
146,Pferd::N,hest,лошадь
147,Schaf::N,får,овца
148,Schwein::N,gris,свинья
149,Hund::N,hund,собака
150,Katze::N,kat,кошка
151,Bär::N,bjørn,медведь
152,Eichhörnchen::N,egern,белка
153,Elch::N,elg,лось
154,Fuchs::N,ræv,лиса
155,Hase::N,hare,заяц
156,Maus::N,mus,мышь
157,Wolf::N,ulv,волк
158,Vogel::N,fugl,птица
159,Schwarm::N,sværm,стая
160,Huhn::N,høne,курица
161,Hahn::N,hane,петух
162,Gans::N,gås,гусь
163,Adler::N,ørn,орел
164,Ente::N,and,утка
165,Eule::N,ugle,сова
166,Kranich::N,trane,журавль
167,Krähe::N,krage,ворона
168,Kuckuck::N,gøg,кукушка
169,Schwan::N,svane,лебедь
170,Fisch::N,fisk,рыба
171,Barsch::N,aborre,окунь
172,Hecht::N,gedde,щука
173,Schlange[Tier]::N,slange,змея
174,Wurm::N,orm,червяк
175,Spinne::N,edderkop,паук
176,Ameise::N,myre,муравей
177,Laus::N,lus,вошь
178,Mücke::N,myg,комар
179,Fliege::N,flue,муха
180,Schmetterling::N,sommerfugl,бабочка
181,Beere::N,bær,ягода
182,Apfel::N,æble,яблоко
183,Pilz::N,svamp,гриб
184,Zwiebel::N,løg,луковица
185,Saat::N,sæd,семя
186,Korn::N,korn,зерно
187,Heu::N,hø,сено
188,Schale::N,skræl,шелуха
189,Grube::N,grav,яма
190,Falle::N,fælde,ловушка
191,Schlinge::N,snare,силок
192,Spur::N,spor,след
193,Asche::N,aske,зола
194,Asche::N,aske,пепел
195,Dreck::N,snavs,грязь
196,Eisen::N,jern,железо
197,Gold::N,guld,золото
198,Silber::N,sølv,серебро
199,Kohle::N,kul,уголь
200,Glas::N,glas,стекло
201,Lehm::N,ler,глина
202,Sand::N,sand,песок
203,Mensch::N,mennesge,человек
204,Mann::N,mand,мужчина
205,Frau::N,kvinde,женщина
206,Kind::N,barn,ребенок
207,Junge::N,dreng,мальчик
208,Mädchen::N,pige,девочка
209,Familie::N,familie,семья
210,Großvater::N,bedstefar,дедушка
211,Großmutter::N,bedstemor,бабушка
212,Eltern::N,forældre,родители
213,Vater::N,far,отец
214,Mutter::N,mor,мать
215,Sohn::N,søn,сын
216,Tochter::N,datter,дочь
217,Bruder::N,bror,брат
218,Schwester::N,søster,сестра
219,Onkel::N,onkel,дядя
220,Tante::N,tante,тетя
221,Ehemann::N,ægtemand,муж
222,Ehefrau::N,hustru,жена
223,Freude::N,glæde,радость
224,Gelächter::N,latter,смех
225,Glück::N,lykke,счастье
226,Kummer::N,sorg,горе
227,Wunsch::N,ønske,желание
228,Lust::N,lyst,влечение
229,Geist::N,ånd,дух
230,Gedanke::N,tanke,мысль
231,Gedächtnis::N,hukommelse,память
232,Verstand::N,forstand,ум
233,Sinn::N,mening,смысл
234,Sinn::N,betydning,смысл
235,Grund::N,grund,повод
236,Wahrheit::N,sandhed,правда
237,Gespräch::N,samtale,беседа
238,Märchen::N,eventyr,сказка
239,Erzählung::N,fortælling,рассказ
240,Nachricht::N,efterretning,сообщение
241,Neuigkeit::N,nyhed,новость
242,Name::N,navn,имя
243,Rätsel::N,gåde,загадка
244,Rede::N,tale,речь
245,Sprache::N,sprog,язык
246,Stimme::N,stemme,голос
247,Wort::N,ord,слово
248,Zeichen::N,tegn,знак
249,Ruf::N,råb,зов
250,Lärm::N,larm,шум
251,Laut::N,lyd,звук
252,Ton::N,tone,звучание
253,Lied::N,sang,песня
254,Ruhe::N,ro,покой
255,Ruhe::N,hvile,покой
256,Leute::N,folk,люди
257,Leute::N,mennesker,люди
258,Volk::N,folk,народ
259,Arbeit::N,arbejde,работа
260,Gast::N,gæst,гость
261,Geschenk::N,gave,подарок
262,Spiel::N,leg,игра
263,Gesellschaft::N,selskab,общество
264,Hilfe::N,hjælp,помощь
265,Freund::N,ven,друг
266,Kamerad::N,kammerat,приятель
267,Angelegenheit::N,sag,дело
268,Angelegenheit::N,anliggende,дело
269,Anzahl::N,antal,количество
270,Art::N,art,вид
271,Stück::N,stykke,кусок
272,Teil::N,del,часть
273,Hälfte::N,halvdel,половина
274,Kreis::N,cirkel,круг
275,Kreuz::N,kors,крест
276,Kreuz::N,kryds,крест
277,Linie::N,linie,линия
278,Strich::N,streg,черта
279,Abstand::N,afstand,промежуток
280,Entfernung::N,afstand,расстояние
281,Gegend::N,egn,местность
282,Platz::N,plads,пространство
283,Ort::N,sted,место
284,Seite::N,side,сторона
285,Mitte::N,midte,середина
286,Gegenstand::N,genstand,предмет
287,Sache::N,sag,вещь
288,Rand::N,rand,край
289,Kante::N,kant,ребро
290,Ecke::N,hjørne,угол
291,Spitze::N,spids,кончик
292,Ende::N,ende,конец
293,Loch::N,hul,дыра
294,Winkel::N,vinkel,угол
295,Muster::N,mønster,узор
296,Größe::N,størrelse,размер
297,Länge::N,længde,длина
298,Höhe::N,højde,высота
299,Gewicht::N,vægt,вес
300,Menge::N,mængde,количество
301,Haufen::N,bunke,куча
302,Reihe::N,række,ряд
303,Boot::N,båd,лодка
304,Ruder::N,åre,весло
305,Schlitten::N,kælk,сани
306,Schlitten::N,slæde,сани
307,Ski::N,ski,лыжа
308,Lagerfeuer::N,lejrbål,костер
309,Last::N,last,тяжесть
310,Last::N,byrde,тяжесть
311,Gang::N,gang,ход
312,Schritt::N,skridt,шаг
313,Norden::N,nord,север
314,Süden::N,syd,юг
315,Westen::N,vest,запад
316,Osten::N,øst,восток
317,Holz::N,træ,древесина
318,Brett::N,bræt,доска
319,Platte::N,plade,плита
320,Stütze::N,støtte,подпорка
321,Stange::N,stang,жердь
322,Stock::N,stok,палка
323,Stab::N,stav,шест
324,Rohr::N,rør,труба
325,Haus::N,hus,дом
326,Heim::N,hjem,дом
327,Ofen::N,ovn,печь
328,Fußboden::N,gulv,пол
329,Tisch::N,bord,стол
330,Stuhl::N,stol,стул
331,Wiege::N,vugge,колыбель
332,Bett::N,seng,постель
333,Regal::N,reol,полка
334,Kiste::N,kasse,ящик
335,Fenster::N,vindue,окно
336,Tür::N,dør,дверь
337,Tor::N,port,ворота
338,Zaun::N,stakit,забор
339,Dach::N,tag,крыша
340,Leiter::N,stige,лестница
341,Besen::N,kost,метла
342,Spaten::N,spade,лопата
343,Schaufel::N,skovl,совок
344,Gabel::N,gaffel,вилка
345,Löffel::N,ske,ложка
346,Messer::N,kniv,нож
347,Nagel::N,søm,гвоздь
348,Netz::N,net,сеть
349,Haken::N,krog,крюк
350,Griff::N,tag,ручка
351,Griff::N,håndtag,ручка
352,Schloss::N,lås,замок
353,Bild::N,billede,картина
354,Figur::N,figur,фигура
355,Puppe::N,dukke,кукла
356,Beutel::N,pose,мешок
357,Bündel::N,bylt,связка
358,Bündel::N,bundt,связка
359,Tasche::N,taske,сумка
360,Eimer::N,spand,ведро
361,Deckel::N,låg,крышка
362,Geschirr::N,husgeråd,посуда
363,Sack::N,sæk,мешок
364,Tasse::N,kop,чашка
365,Topf::N,gryde,кастрюля
366,Kessel::N,kedel,котел
367,Essen::N,måltid,еда
368,Nahrung::N,mad,пища
369,Nahrung::N,næring,пища
370,Speise::N,ret,блюдо
371,Speise::N,ret,кушанье
372,Fleisch::N,kød,мясо
373,Getreide::N,korn,хлеб
374,Brei::N,grød,каша
375,Brot::N,brød,хлеб
376,Scheibe::N,skive,ломоть
377,Fett::N,fedt,жир
378,Butter::N,smør,масло
379,Öl::N,olie,масло
380,Salz::N,salt,соль
381,Suppe::N,suppe,суп
382,Honig::N,honning,мед
383,Milch::N,mælk,молоко
384,Tee::N,te,чай
385,Leder::N,skind,кожа
386,Wolle::N,uld,шерсть
387,Stoff::N,stof,ткань
388,Nadel::N,nål,игла
389,Faden::N,tråd,нитка
390,Knopf::N,knap,пуговица
391,Knoten::N,knude,узел
392,Farbe::N,farve,краска
393,Kleidung::N,påklædning,одежда
394,Hemd::N,skjorte,рубашка
395,Kragen::N,krave,воротник
396,Ärmel::N,ærme,рукав
397,Hose::N,bukser,брюки
398,Gürtel::N,bælte,пояс
399,Mütze::N,hue,шапка
400,Schuh::N,sko,ботинок
401,Stiefel::N,støvle,сапог
402,Ring::N,ring,кольцо
403,Band::N,bånd,лента
404,Kamm::N,kam,расческа
405,Spiegel::N,spejl,зеркало
406,Riemen::N,rem,ремень
407,Schnur::N,snor,веревка
408,Leine::N,snor,поводок
409,Decke::N,tæppe,одеяло
410,Kissen::N,pude,подушка
411,Tuch::N,sjaltørklæde,платок
412,Handtuch::N,håndklæde,полотенце
413,Kraft::N,kraft,сила
414,Stärke::N,styrke,крепость
415,Gesundheit::N,sundhed,здоровье
416,Krankheit::N,sygdom,болезнь
417,Schmerz::N,smerte,боль
418,Wunde::N,sår,рана
419,Fieber::N,feber,лихорадка
420,Fieber::N,feber,температура
421,Arznei::N,medicin,лекарство
422,Arznei::N,lægemiddel,лекарство
423,Brücke::N,bro,мост
424,Brunnen::N,brønd,колодец
425,Weide::N,græsgang,пастбище
426,Pfad::N,sti,тропа
427,Weg::N,vej,путь
428,Weg::N,vej,дорога
429,Straße::N,gade,улица
430,Straße::N,gade,дорога
431,Dorf::N,landsby,деревня
432,Stadt::N,by,город
433,Brief::N,brev,письмо
434,Buch::N,bog,книга
435,Buchstabe::N,bogstav,буква
436,Zeitung::N,avis,газета
437,Leben::N,liv,жизнь
438,Tod::N,død,смерть
439,Grab::N,grav,могила
440,Kirche::N,kirke,церковь
441,Sünde::N,synd,грех
442,Gott::N,gud,бог
443,Arbeiter::N,arbejder,рабочий
444,Chef::N,chef,начальник
445,Meister::N,mester,мастер
446,Arzt::N,læge,врач
447,Lehrer::N,lærer,учитель
448,Geld::N,penge,деньги
449,Geschäft::N,forretning,занятие
450,Laden::N,butik,магазин
451,Laden::N,forretning,магазин
452,Preis::N,pris,цена
453,Ware::N,vare,товар
454,Nutzen::N,nytte,выгода
455,Reichtum::N,rigdom,богатство
456,Welt::N,verden,мир
457,Land::N,land,страна
458,Staat::N,stat,государство
459,König::N,konge,король
460,Macht::N,magt,власть
461,Grenze::N,grænse,граница
462,Krieg::N,krig,война
463,Feind::N,fjende,враг
464,Gewalt::N,vold,насилие
465,Kampf::N,kamp,борьба
466,Bogen[Waffe]::N,bue,лук
467,Pfeil::N,pil,стрела
468,Gewehr::N,gevær,ружье
469,Fehler::N,fejl,ошибка
470,Lüge::N,løgn,ложь
471,Schaden::N,skade,вред
472,Unglück::N,uheld,беда
473,Unglück::N,ulykke,беда
474,Schuld::N,skyld,вина
475,Alter::N,alder,возраст
476,Schluss::N,slut,окончание
477,Schluss::N,slutning,окончание
478,Zeit::N,tid,время
479,Tag::N,dag,день
480,Morgen::N,morgen,утро
481,Mittag::N,middag,полдень
482,Abend::N,aften,вечер
483,Nacht::N,nat,ночь
484,Woche::N,uge,неделя
485,Monat::N,måned,месяц
486,Jahr::N,år,год
487,Frühling::N,forår,весна
488,Sommer::N,sommer,лето
489,Herbst::N,efterår,осень
490,Winter::N,vinter,зима
491,Januar::N,januar,январь
492,Februar::N,februar,февраль
493,März::N,marts,март
494,April::N,april,апрель
495,Mai::N,maj,май
496,Juni::N,juni,июнь
497,Juli::N,juli,июль
498,August::N,august,август
499,September::N,september,сентябрь
500,Oktober::N,oktober,октябрь
501,November::N,november,ноябрь
502,Dezember::N,december,декабрь
503,Montag::N,mandag,понедельник
504,Dienstag::N,tirsdag,вторник
505,Mittwoch::N,onsdag,среда
506,Donnerstag::N,torsdag,четверг
507,Freitag::N,fredag,пятница
508,Samstag::N,lørdag,суббота
509,Sonntag::N,søndag,воскресенье
510,groß::A,stor,большой
511,klein::A,lille,маленький
512,lang::A,lang,длинный
513,kurz::A,kort,короткий
514,breit::A,bred,широкий
515,schmal::A,smal,узкий
516,dicht::A,tæt,густой
517,dick[Gegenstand]::A,tyk,толстый
518,dünn::A,tynd,тонкий
519,fein::A,fin,тонкий
520,fest::A,fast,крепкий
521,flach::A,flad,плоский
522,glatt::A,glat,гладкий
523,hart::A,hård,твердый
524,weich::A,blød,мягкий
525,rund::A,rund,круглый
526,spitz::A,spids,остроконечный
527,scharf::A,skarp,острый
528,stumpf::A,sløv,тупой
529,stumpf::A,stump,тупой
530,schwer::A,tung,тяжелый
531,schön::A,skøn,красивый
532,heiß::A,hed,жаркий
533,warm::A,varm,теплый
534,kalt::A,kold,холодный
535,kühl::A,kølig,прохладный
536,frisch::A,frisk,свежий
537,feucht::A,fugtig,влажный
538,nass::A,våd,мокрый
539,trocken::A,tør,сухой
540,voll::A,fuld,полный
541,voll::A,fuld,наполненный
542,leer::A,tom,пустой
543,offen::A,åben,открытый
544,geschlossen::A,lukket,закрытый
545,sauber::A,ren,чистый
546,schmutzig::A,snavset,грязный
547,roh::A,rå,сырой
548,reif::A,moden,зрелый
549,lecker::A,lækker,вкусный
550,süß::A,sød,сладкий
551,bitter::A,bitter,горький
552,sauer::A,sur,кислый
553,hell::A,lys,светлый
554,dunkel::A,mørk,темный
555,schwarz::A,sort,черный
556,weiß::A,hvid,белый
557,rot::A,rød,красный
558,gelb::A,gul,желтый
559,blau::A,blå,синий
560,grün::A,grøn,зеленый
561,grau::A,grå,серый
562,bunt::A,broget,пестрый
563,billig::A,billig,дешевый
564,teuer::A,dyr,дорогой
565,wertvoll::A,værdifuld,ценный
566,blind::A,blind,слепой
567,taub::A,døv,глухой
568,kräftig::A,kraftig,могучий
569,stark::A,stærk,сильный
570,schwach::A,svag,слабый
571,fett::A,fed,жирный
572,schlank::A,slank,стройный
573,hübsch::A,køn,прелестный
574,böse::A,ond,злой
575,böse::A,slem,злой
576,dumm::A,dum,глупый
577,faul::A,doven,ленивый
578,fleißig::A,flittig,прилежный
579,geizig::A,gerrig,жадный
580,klug::A,klog,умный
581,geschickt::A,dygtig,искусный
582,geschickt::A,behændig,искусный
583,lieb::A,rar,милый
584,lustig::A,lystig,веселый
585,sanft::A,blid,нежный
586,hungrig::A,sulten,голодный
587,krank::A,syg,больной
588,nackt::A,nøgen,голый
589,traurig::A,bedrøvet,грустный
590,lebendig::A,levende,живой
591,gut::A,god,хороший
592,schlecht::A,dårlig,плохой
593,richtig::A,rigtig,правильный
594,schlimm::A,slem,отвратительный
595,schlimm::A,slem,мерзкий
596,wahr::A,sand,настоящий
597,alt::A,gammel,старый
598,neu::A,ny,новый
599,ehemalig::A,forhenværende,бывший
600,alt[Lebewesen]::A,gammel,пожилой
601,jung::A,ung,молодой
602,arm::A,fattig,бедный
603,reich::A,rig,богатый
604,bekannt::A,kendt,знакомый
605,berühmt::A,berømt,знаменитый
606,fremd::A,fremmed,чужой
607,verschieden::A,forskellig,разный
608,nah::A,nær,близкий
609,fern::A,fjern,далекий
610,linker::A,venstre,левый
611,rechter::A,højre,правый
612,anderer::A,anden,другой
613,erster::A,første,первый
614,zweiter::A,anden,второй
615,dritter::A,tredje,третий
616,letzter::A,sidste,последний
617,allein::ADV,alene,один
618,auf einmal::ADV,på én gang,сразу
619,zusammen::ADV,sammen,вместе
620,lange::ADV,længe,долго
621,plötzlich::ADV,pludselig,вдруг
622,sofort::ADV,straks,тотчас
623,später::ADV,senere,позже
624,jetzt::ADV,nu,сейчас
625,heute::ADV,i dag,сегодня
626,morgen::ADV,i morgen,завтра
627,bald::ADV,snart,скоро
628,dann::ADV,så,потом
629,gestern::ADV,i går,вчера
630,einst::ADV,engang,однажды
631,damals::ADV,dengang,тогда
632,danach::ADV,derefter,затем
633,vorher::ADV,før,раньше
634,vorher::ADV,forud,раньше
635,zuerst::ADV,først,сперва
636,einmal::ADV,en gang,раз
637,manchmal::ADV,sommetider,иногда
638,oft::ADV,ofte,часто
639,immer::ADV,altid,всегда
640,niemals::ADV,aldrig,никогда
641,hier::ADV,her,здесь
642,hierhin::ADV,hid,сюда
643,hierhin::ADV,herhen,сюда
644,von hier::ADV,herfra,отсюда
645,dort::ADV,der,там
646,dorthin::ADV,derhen,туда
647,geradeaus::ADV,lige ud,прямо
648,vorwärts::ADV,fremad,вперед
649,rückwärts::ADV,baglæns,назад
650,zurück::ADV,tilbage,обратно
651,unten::ADV,nede,внизу
652,unten::ADV,forneden,внизу
653,hinab::ADV,ned,вниз
654,hinab::ADV,nedad,вниз
655,oben::ADV,oppe,наверху
656,oben::ADV,ovenpå,наверху
657,hinauf::ADV,op,вверх
658,hinauf::ADV,opad,вверх
659,überall::ADV,overalt,везде
660,nicht::ADV,ikke,не
661,ein wenig::ADV,lidt,немного
662,kaum::ADV,knap,едва
663,kaum::ADV,næppe,едва
664,sehr::ADV,meget,очень
665,so::ADV,så,так
666,noch::ADV,endnu,еще
667,nur::ADV,kun,только
668,nur::ADV,bare,только
669,schon::ADV,alt,уже
670,schon::ADV,allerede,уже
671,wieder::ADV,igen,опять
672,vergebens::ADV,forgæves,напрасно
673,vor::PRP,foran,перед
674,vor::PRP,uden for,перед
675,hinter::PRP,bag,за
676,hinter::PRP,bag,позади
677,hinter::PRP,bagved,за
678,hinter::PRP,bagved,позади
679,unter::PRP,under,под
680,durch::PRP,gennem,сквозь
681,durch::PRP,igennem,сквозь
682,neben::PRP,ved siden af,возле
683,zwischen::PRP,mellem,между
684,wegen::PRP,på grund af,из-за
685,dies::PRN,dette,это
686,das::PRN,det,то
687,alles::PRN,alt,все
688,ich::PRN,jeg,я
689,du::PRN,du,ты
690,er::PRN,han,он
691,wir::PRN,vi,мы
692,ihr::PRN,I,вы
693,sie::PRN,de,они
694,was::FPRN,hvad,что
695,wer::FPRN,hvem,кто
696,wo::FADV,hvor,где
697,wohin::FADV,hvorhen,куда
698,wie::FADV,hvordan,как
699,warum::FADV,hvorfor,почему
700,wieviel::FNUM,hvor meget,сколько
701,eins::NUM,én,один
702,zwei::NUM,to,два
703,drei::NUM,tre,три
704,vier::NUM,fire,четыре
705,fünf::NUM,fem,пять
706,sechs::NUM,seks,шесть
707,sieben::NUM,syv,семь
708,acht::NUM,otte,восемь
709,neun::NUM,ni,девять
710,zehn::NUM,ti,десять
711,elf::NUM,elleve,одиннадцать
712,zwölf::NUM,tolv,двенадцать
713,zwanzig::NUM,tyve,двадцать
714,dreißig::NUM,tredive,тридцать
715,vierzig::NUM,fyrre,сорок
716,vierzig::NUM,fyrretyve,сорок
717,fünfzig::NUM,halvtreds,пятьдесят
718,sechzig::NUM,tres,шестьдесят
719,siebzig::NUM,halvfjerds,семьдесят
720,achtzig::NUM,firs,восемьдесят
721,neunzig::NUM,halvfems,девяносто
722,hundert::NUM,hundrede,сто
723,tausend::NUM,tusind,тысяча
724,und::CNJ,og,и
725,oder::CNJ,eller,или
726,oder::CNJ,eller,либо
727,stehen::V,stå,стоять
728,sitzen::V,sidde,сидеть
729,liegen::V,ligge,лежать
730,hängen::V,hænge,висеть
731,werden::V,blive,стать
732,passieren::V,ske,случиться
733,passieren::V,hænde,случиться
734,beginnen::V,begynde,начаться
735,enden::V,ende,кончиться
736,wechseln::V,veksle,меняться
737,aufgehen[Sonne]::V,gå op,взойти
738,aufgehen[Sonne]::V,stå op,взойти
739,untergehen[Sonne]::V,gå ned,зайти
740,scheinen[Sonne]::V,skinne,светить
741,donnern::V,tordne,греметь
742,wehen::V,blæse,дуть
743,strömen::V,strømme,литься
744,fließen::V,flyde,течь
745,sich drehen::V,dreje sig,вращаться
746,schwanken::V,vakle,колебаться
747,schwingen::V,svinge,качаться
748,fallen::V,falde,падать
749,brennen::V,brænde,гореть
750,rauchen::V,ryge,дымить
751,regnen::V,regne,дождить
752,gefrieren::V,fryse,замерзнуть
753,tauen::V,tø,таять
754,schmelzen::V,smelte,плавиться
755,trocknen::V,tørre,сохнуть
756,sieden::V,koge,кипеть
757,faulen::V,rådne,гнить
758,verfaulen::V,rådne,сгнить
759,reißen::V,briste,рваться
760,versinken::V,synke,тонуть
761,versinken::V,synke ned,тонуть
762,vergehen::V,forløbe,проходить
763,erscheinen::V,vise sig,появиться
764,verschwinden::V,forsvinde,исчезнуть
765,sinken::V,synke,спадать
766,abnehmen::V,aftage,уменьшиться
767,zunehmen::V,tiltage,увеличиваться
768,steigen::V,stige,подниматься
769,wachsen::V,gro,расти
770,wachsen::V,vokse,расти
771,glänzen::V,glinse,блестеть
772,funkeln::V,tindre,сверкать
773,lärmen::V,larme,шуметь
774,läuten::V,ringe,звонить
775,klingeln::V,ringe,звонить
776,klirren::V,klirre,звякать
777,brausen::V,bruse,бушевать
778,rauschen::V,suse,шелестеть
779,klingen::V,lyde,звучать
780,klingen::V,klinge,звучать
781,bellen::V,gø,лаять
782,heulen::V,hyle,выть
783,blasen::V,blæse,дунуть
784,pfeifen::V,fløjte,свистеть
785,schreien::V,skrige,кричать
786,stöhnen::V,stønne,стонать
787,zittern::V,dirre,дрожать
788,zittern::V,skælve,дрожать
789,leben::V,leve,жить
790,geboren werden::V,fødes,родиться
791,atmen::V,ånde,дышать
792,trinken::V,drikke,пить
793,essen::V,spise,есть
794,essen::V,spise,кушать
795,schlucken::V,synke,глотать
796,müde werden::V,blive træt,устать
797,einschlafen::V,falde i søvn,заснуть
798,schlafen::V,sove,спать
799,aufwachen::V,vågne,проснуться
800,aufstehen::V,stå op,встать
801,sich erholen::V,komme sig,отдыхать
802,krank werden::V,blive syg,заболеть
803,krank sein::V,være syg,болеть
804,schmerzen::V,smerte,болеть
805,husten::V,hoste,кашлять
806,genesen::V,komme sig,поправиться
807,sterben::V,dø,умереть
808,umkommen::V,omkomme,погибнуть
809,sich bewegen::V,bevæge sig,двигаться
810,sich rühren::V,røre på sig,шевельнуться
811,sich erheben::V,rejse sig,встать
812,sich setzen::V,sætte sig,сесть
813,laufen::V,løbe,ходить
814,schreiten::V,skride,шагать
815,spazierengehen::V,gå en tur,гулять
816,eilen::V,ile,спешить
817,sich beeilen::V,skynde sig,торопиться
818,sausen::V,suse,мчаться
819,rennen::V,løbe,бегать
820,rennen::V,rende,бегать
821,springen::V,hoppe,прыгать
822,springen::V,springe,прыгать
823,klettern::V,klatre,лазать
824,schaukeln::V,gynge,раскачиваться
825,kriechen::V,krybe,ползать
826,schwimmen::V,svømme,плавать
827,tauchen::V,dykke,нырять
828,rudern::V,ro,грести
829,fahren::V,køre,ехать
830,fliegen::V,flyve,летать
831,gehen::V,gå,идти
832,weggehen::V,gå bort,уйти
833,abfahren::V,køre bort,отправиться
834,anhalten::V,standse,остановиться
835,hineingehen::V,gå ind,входить
836,eintreten::V,træde ind,войти
837,kommen::V,komme,прийти
838,ankommen::V,ankomme,прибыть
839,zurückkommen::V,komme tilbage,возвратиться
840,bleiben::V,blive,остаться
841,bleiben::V,forblive,остаться
842,warten::V,vente,ждать
843,erwarten::V,vente,ожидать
844,erwarten::V,afvente,ожидать
845,suchen::V,søge,искать
846,finden::V,finde,найти
847,versuchen::V,forsøge,пытаться
848,vorbereiten::V,forberede,подготовить
849,lieben::V,elske,любить
850,mögen::V,holde af,любить
851,mögen::V,kunne lide,любить
852,lachen::V,le,смеяться
853,rühren::V,røre,растрогать
854,weinen::V,græde,плакать
855,schimpfen::V,skænde,ругаться
856,sich ärgern::V,ærgre sig,сердиться
857,sich fürchten::V,være bange,бояться
858,fürchten::V,være bange for,бояться
