,Concept_ID,mdf,no
730,gestern::ADV,ися́к,i går
731,einst::ADV,весть,engang
732,einst::ADV,мзя́рда-бди,engang
733,damals::ADV,эста,den gang
734,danach::ADV,меле,deretter
735,vorher::ADV,инголи,før
736,vorher::ADV,инголи,i forveien
737,zuerst::ADV,ва́сенда,først
738,einmal::ADV,весть,en gang
739,manchmal::ADV,лия́ста,somme tider
740,manchmal::ADV,ко́ста-ко́ста,somme tider
741,oft::ADV,си́деста,ofte
742,immer::ADV,фалу,alltid
743,immer::ADV,най,alltid
744,niemals::ADV,аф мзя́рдонга,aldri
745,hier::ADV,тяса,her
746,hierhin::ADV,сей,hit
747,hierhin::ADV,тяза,hit
748,von hier::ADV,тя́ста,herfra
749,dort::ADV,тоса,der
750,dorthin::ADV,тов,dit
751,dorthin::ADV,тоза,dit
752,geradeaus::ADV,ви́деста,rett fram
753,vorwärts::ADV,и́нголи,fram
754,vorwärts::ADV,и́нголи,framover
755,rückwärts::ADV,ме́ки,baklengs
756,zurück::ADV,ме́ки,tilbake
757,unten::ADV,ала,nede
758,hinab::ADV,алу,ned
759,hinab::ADV,алу,nedover
760,oben::ADV,вяре,oppe
761,oben::ADV,вяре,ovenpå
762,hinauf::ADV,вяри,opp
763,hinauf::ADV,вяри,oppover
764,überall::ADV,се́мбе ва́стова,overalt
765,nicht::ADV,аф,ikke
766,ein wenig::ADV,аф лама,litt
767,kaum::ADV,а́ньцек,neppe
768,sehr::ADV,пяк,svært
769,so::ADV,ста́не,så
770,noch::ADV,нинге,enda
771,nur::ADV,аньцек,bare
772,schon::ADV,ни,alt
773,schon::ADV,ни,allerede
774,wieder::ADV,та́га,igjen
775,vergebens::ADV,стак,forgjeves
776,vor::PRP,инголе,foran
777,vor::PRP,инголе,utenfor
778,hinter::PRP,фтала,bak
779,hinter::PRP,фтала,bakom
780,hinter::PRP,мельге,bak
781,hinter::PRP,мельге,bakom
782,unter::PRP,ала,under
783,durch::PRP,пачк,gjennom
784,durch::PRP,пачк,igjennom
785,neben::PRP,ваксса,ved siden av
786,zwischen::PRP,ёткса,mellom
787,wegen::PRP,сюнеда,på grunn av
788,dies::PRN,тя,dette
789,das::PRN,ся,det
790,das::PRN,тона,det
791,alles::PRN,сембе,alt
792,ich::PRN,мон,jeg
793,du::PRN,тон,du
794,er::PRN,сон,han
795,wir::PRN,минь,vi
796,ihr::PRN,тинь,dere
797,sie::PRN,синь,de
798,was::FPRN,мезе,hva
799,wer::FPRN,кие,hvem
800,wo::FADV,коса,hvor
801,wohin::FADV,ков,hvor ... hen
802,wohin::FADV,коза,hvor ... hen
803,wie::FADV,ко́да,hvordan
804,warum::FADV,мес,hvorfor
805,wieviel::FNUM,мзя́ра,hvor mye
806,eins::NUM,фкя,en
807,eins::NUM,фкя,ett
808,zwei::NUM,кафта,to
809,drei::NUM,колма,tre
810,vier::NUM,ниле,fire
811,fünf::NUM,вете,fem
812,sechs::NUM,кота,seks
813,sieben::NUM,сисем,sju
814,acht::NUM,кафкса,åtte
815,neun::NUM,ве́йхкса,ni
816,zehn::NUM,кемонь,ti
817,elf::NUM,кефкие,elleve
818,zwölf::NUM,кемгафтува,tolv
819,zwanzig::NUM,комсь,tjue
