,Concept_ID,mn,no
91,Wetter::N,тэнгэр,vær
92,Wetter::N,цаг уур,vær
93,Nebel::N,будан,tåke
94,Wolke::N,үүл,sky
95,Regen::N,бороо,regn
96,Schnee::N,цас,snø
97,Eis::N,мөс,is
98,Frost::N,хүйт,frost
99,Kälte::N,хүйт,kulde
100,Hitze::N,халуун,hete
101,Raureif::N,цан,rimfrost
102,Raureif::N,хяруу,rimfrost
103,Regenbogen::N,солонго,regnbue
104,Donner::N,тэнгэрийн дуу,torden
105,Strömung::N,урсгал,strømning
106,Tropfen::N,дусал,dråpe
107,Schaum::N,хөөс,skum
108,Schmutz::N,хир,søl
109,Schmutz::N,хир,skitt
110,Schmutz::N,шавхай,søl
111,Schmutz::N,шавхай,skitt
112,See::N,нуур,sjø
113,Sumpf::N,намаг,sump
114,Sumpf::N,намаг,myrlende
115,Sumpf::N,балчиг,sump
116,Sumpf::N,балчиг,myrlende
117,Moor::N,хүлрийн намаг,myr
118,Moor::N,хүлрийн намаг,myrhei
119,Wiese::N,нуга,eng
120,Wald::N,ой,skog
121,Hügel::N,болдог,haug
122,Hügel::N,болдог,bakke
123,Anhöhe::N,гүвээ,haug
124,Anhöhe::N,гүвээ,bakke
125,Berg::N,уул,berg
126,Berg::N,уул,fjell
127,Gipfel::N,орой,topp
128,Gipfel::N,оргил,topp
129,Höhle::N,агуй,hule
130,Abhang::N,хүр,li
131,Abhang::N,хүр,skråning
132,Quelle::N,булаг,kilde
133,Bach::N,горхи,bekk
134,Fluss::N,гол,elv
135,Fluss::N,мөрөн,elv
136,Ufer::N,эрэг,bredd
137,Küste::N,эрэг,kyst
138,Festland::N,хуурай газар,fastland
139,Meer::N,далай,hav
140,Meer::N,тэнгис,hav
141,Bucht::N,булан,bukt
142,Bucht::N,далайн тохой,bukt
143,Insel::N,арал,øy
144,Blume::N,цэцэг,blomst
145,Gras::N,өвс,gress
146,Gras::N,ногоо,gress
147,Wurzel::N,үндэс,rot
148,Baum::N,мод,tre
149,Stamm::N,иш,stamme
150,Stamm::N,гуалин,stamme
151,Rinde::N,холтос,bark
152,Ast::N,гишүү,gren
153,Zweig::N,салаа,kvist
154,Blatt::N,навч,blad
155,Birke::N,хус,bjørk
156,Kiefer[Baum]::N,нарс,furu
157,Weide[Baum]::N,уд,selje
158,Weide[Baum]::N,уд,piletre
159,Weide[Baum]::N,бургас,selje
160,Weide[Baum]::N,бургас,piletre
161,Tanne::N,гачуур,gran
162,Horn::N,эвэр,horn
163,Feder::N,өд,fjær
164,Fell::N,арьс,skinn
165,Flügel::N,жигүүр,vinge
166,Flügel::N,далавч,vinge
167,Klaue::N,савар,klauv
168,Klaue::N,хумс,klauv
169,Kralle::N,савар,klo
170,Schwanz::N,сүүл,hale
171,Ei::N,өндөг,egg
172,Nest::N,үүр,rede
173,Bau::N,нүх,hi
174,Bau::N,элүү,hi
175,Tier::N,амьтан,dyr
176,Tier::N,адгуус,dyr
177,Herde::N,сүрэг,flokk
178,Kuh::N,үнээ,ku
179,Bulle::N,бух,tyr
180,Pferd::N,морь,hest
181,Pferd::N,адуу,hest
182,Schaf::N,хонь,får
183,Schwein::N,гахай,gris
184,Hund::N,нохой,hund
185,Katze::N,муур,katt
186,Katze::N,мигуй,katt
187,Bär::N,баавгай,bjørn
188,Eichhörnchen::N,хэрэм,ekorn
189,Elch::N,хандгай,elg
190,Fuchs::N,үнэг,rev
191,Hase::N,туулай,hare
192,Maus::N,хулгана,mus
193,Wolf::N,чоно,ulv
194,Wolf::N,чоно,varg
195,Vogel::N,шувуу,fugl
196,Schwarm::N,сүрэг,sverm
197,Huhn::N,тахиа,høne
198,Hahn::N,эр тахиа,hane
199,Gans::N,галуу,gås
200,Adler::N,бүргэд,ørn
201,Ente::N,нугас,and
202,Eule::N,ууль,ugle
203,Kranich::N,тогоруу,trane
204,Krähe::N,хэрээ,kråke
205,Kuckuck::N,хөхөө,gjøk
206,Schwan::N,хун,svane
207,Fisch::N,загас,fisk
208,Barsch::N,алгана,abbor
209,Hecht::N,цурхай,gjedde
210,Schlange[Tier]::N,могой,orm
211,Schlange[Tier]::N,могой,slange
212,Wurm::N,өт,orm
213,Wurm::N,өт,mark
214,Wurm::N,хорхой,orm
215,Wurm::N,хорхой,mark
216,Spinne::N,аалз,edderkopp
217,Ameise::N,шоргоолж,maur
218,Laus::N,бөөс,lus
219,Mücke::N,шумуул,mygg
220,Fliege::N,ялаа,flue
221,Schmetterling::N,эрвээхэй,sommerfugl
222,Beere::N,жимсгэнэ,bær
223,Apfel::N,алим,eple
224,Pilz::N,мөөг,sopp
225,Zwiebel::N,сонгино,løk
226,Saat::N,тариа,sæd
227,Korn::N,үр,korn
228,Korn::N,мөхлөг,korn
229,Heu::N,өвс,høy
230,Schale::N,хальс,skall
231,Grube::N,алам,grop
232,Grube::N,нүх,grop
233,Falle::N,хавх,felle
234,Falle::N,занга,felle
235,Schlinge::N,урхи,snare
236,Spur::N,мөр,spor
237,Asche::N,үнс,aske
238,Dreck::N,хир,møkk
239,Dreck::N,хир,skitt
240,Eisen::N,төмөр,jern
241,Gold::N,алт,gull
242,Silber::N,мөнгө,sølv
243,Kohle::N,нүүрс,kol
244,Kohle::N,нүүрс,kull
245,Glas::N,шил,glass
246,Lehm::N,шавар,leire
247,Sand::N,элс,sand
248,Mensch::N,хүн,menneske
249,Mann::N,эр,mann
250,Mann::N,эрэгтэй,mann
251,Frau::N,эмэгтэй,kvinne
252,Frau::N,хатагтай,kvinne
253,Kind::N,хүүхэд,barn
254,Junge::N,хүү,gutt
255,Mädchen::N,охин,pike
256,Mädchen::N,охин,jente
257,Mädchen::N,бүсгүй,pike
258,Mädchen::N,бүсгүй,jente
259,Familie::N,айл,familie
260,Großvater::N,өвгөн аав,bestefar
261,Großmutter::N,эмэг эх,bestemor
262,Großmutter::N,эмгээ,bestemor
263,Eltern::N,эцэг эх,foreldre
264,Vater::N,аав,far
265,Vater::N,эцэг,far
266,Mutter::N,эх,mor
267,Mutter::N,ээж,mor
268,Sohn::N,хүү,sønn
269,Tochter::N,охин,datter
270,Bruder::N,ах,bror
271,Bruder::N,дүү,bror
272,Schwester::N,эгч,søster
273,Schwester::N,охин дүү,søster
274,Onkel::N,авга ах,onkel
275,Onkel::N,нагац ах,onkel
276,Tante::N,авга эгч,tante
277,Tante::N,нагац эгч,tante
278,Ehemann::N,нөхөр,ektemann
279,Ehefrau::N,эхнэр,hustru
280,Ehefrau::N,гэргий,hustru
281,Freude::N,баяр,glede
282,Freude::N,баясгалан,glede
283,Gelächter::N,инээдэм,latter
284,Glück::N,жаргалан,lykke
285,Kummer::N,гаслан,sorg
286,Wunsch::N,ерөөл,ønske
287,Lust::N,дур,lyst
288,Lust::N,хүсэл,lyst
289,Geist::N,оюун,ånd
290,Gedanke::N,сэтгэл,tanke
291,Gedächtnis::N,ой,minne
292,Gedächtnis::N,ой,hukommelse
293,Gedächtnis::N,цээж,minne
294,Gedächtnis::N,цээж,hukommelse
295,Verstand::N,ухаан,forstand
296,Sinn::N,утга,mening
297,Sinn::N,утга,betydning
298,Grund::N,учир,grunn
299,Wahrheit::N,үнэн,sannhet
300,Gespräch::N,яриа,samtale
301,Märchen::N,явган үлгэр,eventyr
302,Erzählung::N,тууж,fortelling
303,Nachricht::N,мэдээ,melding
304,Neuigkeit::N,сонин,nyhet
305,Name::N,нэр,navn
306,Rätsel::N,оньсого,gåte
307,Rede::N,хэлсэн үг,tale
308,Sprache::N,хэл,språk
309,Stimme::N,дуу,stemme
310,Wort::N,үг,ord
311,Zeichen::N,тамга,tegn
312,Zeichen::N,тэмдэг,tegn
313,Ruf::N,дуудлага,rop
314,Lärm::N,шуугиан,bråk
315,Lärm::N,чимээ,bråk
316,Laut::N,анир,lyd
317,Laut::N,дуу,lyd
318,Ton::N,авиа,tone
319,Ton::N,аялгуу,tone
320,Lied::N,дуу,vise
321,Ruhe::N,энх,ro
322,Ruhe::N,тайван,ro
323,Leute::N,хүмүүс,folk
324,Volk::N,улс,folk
325,Arbeit::N,ажил,arbeid
326,Arbeit::N,хөдөлмөр,arbeid
327,Gast::N,зочин,gjest
328,Gast::N,айлчин,gjest
329,Geschenk::N,бэлэг,gave
330,Spiel::N,наадам,lek
331,Spiel::N,наадам,spill
332,Spiel::N,тоглоом,lek
333,Spiel::N,тоглоом,spill
334,Gesellschaft::N,хамт байх,selskap
335,Hilfe::N,тусламж,hjelp
336,Freund::N,найз,venn
337,Freund::N,нөхөр,venn
338,Kamerad::N,хань,kamerat
339,Kamerad::N,нөхөр,kamerat
340,Angelegenheit::N,хэрэг,sak
341,Angelegenheit::N,хэрэг,anliggende
342,Anzahl::N,тоо,antall
343,Art::N,төрөл,art
344,Art::N,төрөл,slag
345,Art::N,янз,art
346,Art::N,янз,slag
347,Stück::N,хэсэг,stykke
348,Teil::N,хувь,del
349,Teil::N,хэсэг,del
350,Hälfte::N,хагас,halvdel
351,Kreis::N,тойрог,ring
352,Kreis::N,тойрог,sirkel
353,Kreis::N,хүрээ,ring
354,Kreis::N,хүрээ,sirkel
355,Kreuz::N,загалмай,kors
356,Kreuz::N,загалмай,kryss
357,Linie::N,шугам,linje
358,Strich::N,зураас,strek
359,Abstand::N,зай,avstand
360,Entfernung::N,зай,avstand
361,Entfernung::N,хол ойр,avstand
362,Gegend::N,хавь,strøk
363,Gegend::N,газар,strøk
364,Platz::N,зай,plass
365,Platz::N,завсар,plass
366,Ort::N,газар,sted
367,Ort::N,байр,sted
368,Seite::N,тал,side
369,Seite::N,этгээд,side
370,Mitte::N,төв,midte
371,Mitte::N,дунд,midte
372,Gegenstand::N,юм,gjenstand
373,Sache::N,үйл,sak
374,Sache::N,хэрэг,sak
375,Rand::N,зах,rand
376,Rand::N,хөвөө,rand
377,Kante::N,ирмэг,kant
378,Ecke::N,өнцөг,hjørne
379,Spitze::N,үзүүр,spiss
380,Ende::N,зах,ende
381,Ende::N,үзүүр,ende
382,Loch::N,цоорхой,hull
383,Loch::N,онгорхой,hull
384,Winkel::N,өнцөг,vinkel
385,Muster::N,хээ,mønster
386,Muster::N,угалз,mønster
387,Größe::N,хэмжээ,størrelse
388,Länge::N,урт,lengde
389,Höhe::N,өндөр,høyde
390,Gewicht::N,жин,vekt
391,Menge::N,тоо,mengde
392,Haufen::N,бөөн,haug
393,Haufen::N,бөөн,bunke
394,Reihe::N,эгнээ,rekke
395,Boot::N,завь,båt
396,Ruder::N,сэлүүр,åre
397,Schlitten::N,чарга,slede
398,Schlitten::N,чарга,kjelke
399,Ski::N,цана,ski
400,Lagerfeuer::N,түүдэг,leirbål
401,Last::N,ачаа,bør
402,Last::N,ачаа,last
403,Gang::N,явдал,gang
404,Schritt::N,алхам,steg
405,Schritt::N,алхам,skritt
406,Norden::N,умар,nord
407,Süden::N,урд,sør
408,Süden::N,өмнө,sør
409,Westen::N,өрнө,vest
410,Westen::N,баруун,vest
411,Osten::N,зүүн,øst
412,Osten::N,дорно,øst
413,Holz::N,мод,tre
414,Brett::N,банз,fjøl
415,Brett::N,банз,brett
416,Platte::N,хавтан,plate
417,Stütze::N,тулгуур,støtte
418,Stütze::N,тулга,støtte
419,Stange::N,сургааг,stang
420,Stock::N,саваа,pinne
421,Stab::N,таяг,stav
422,Stab::N,таяг,kjepp
423,Rohr::N,хоолой,rør
424,Haus::N,гэр,hus
425,Haus::N,байшин,hus
426,Heim::N,гэр,hjem
427,Ofen::N,зуух,ovn
428,Ofen::N,пийшин,ovn
429,Fußboden::N,шал,gulv
430,Tisch::N,ширээ,bord
431,Stuhl::N,сандал,stol
432,Wiege::N,өлгий,vogge
433,Bett::N,ор,seng
434,Regal::N,тавиур,reol
435,Regal::N,тавиур,hylle
436,Kiste::N,авдар,kasse
437,Kiste::N,хайрцаг,kasse
438,Fenster::N,гэгээвч,vindu
439,Tür::N,үүд,dør
440,Tür::N,хаалга,dør
441,Tor::N,хаалга,port
442,Zaun::N,хашаа,gjerde
443,Dach::N,дээвэр,tak
444,Leiter::N,шат,stige
445,Besen::N,хамуур,kost
446,Besen::N,туужуу,kost
447,Spaten::N,хүрз,spade
448,Schaufel::N,хүрз,skuffe
449,Gabel::N,сэрээ,gaffel
450,Löffel::N,халбага,skje
451,Messer::N,хутга,kniv
452,Nagel::N,хадаас,spiker
453,Netz::N,өөш,nett
454,Netz::N,тор,nett
455,Haken::N,гох,krok
456,Griff::N,иш,tak
457,Griff::N,иш,håndtak
458,Griff::N,сэнж,tak
459,Griff::N,сэнж,håndtak
460,Schloss::N,цуурга,lås
461,Schloss::N,цоож,lås
462,Bild::N,зураг,bilde
463,Figur::N,баримал,figur
464,Puppe::N,хүүхэлдэй,dukke
465,Beutel::N,агсаа,pose
466,Beutel::N,уут,pose
467,Bündel::N,боодол,bylt
468,Tasche::N,цүнх,veske
469,Eimer::N,хөнөг,bøtte
470,Eimer::N,хувин,bøtte
471,Deckel::N,таг,lokk
472,Deckel::N,хавхаг,lokk
473,Geschirr::N,сав суулга,kjøkkentøy
474,Sack::N,шуудай,sekk
475,Tasse::N,аяга,kopp
476,Topf::N,тогоо,gryte
477,Kessel::N,тогоо,kjele
478,Essen::N,идээ,mål
479,Nahrung::N,хүнс,mat
480,Nahrung::N,хүнс,næring
481,Speise::N,идээ,matrett
482,Fleisch::N,мах,kjøtt
483,Getreide::N,будаа,korn
484,Brei::N,богшмол,grøt
485,Brei::N,будаа,grøt
486,Brot::N,талх,brød
487,Scheibe::N,зүсэм,skive
488,Scheibe::N,хэрчим,skive
489,Fett::N,өөх,fett
490,Butter::N,тос,smør
491,Öl::N,тос,olje
492,Salz::N,давс,salt
493,Suppe::N,шөл,suppe
494,Honig::N,бал,honning
495,Milch::N,сүү,melk
496,Tee::N,цай,te
497,Leder::N,арьс,lær
498,Leder::N,арьс,skinn
499,Leder::N,савхи,lær
500,Leder::N,савхи,skinn
501,Wolle::N,ноос,ull
502,Wolle::N,унгас,ull
503,Stoff::N,бөс,tøy
504,Stoff::N,бөс,stoff
505,Nadel::N,зүү,nål
506,Faden::N,боолт,tråd
507,Faden::N,утас,tråd
508,Knopf::N,товч,knapp
509,Knoten::N,зангилаа,knute
510,Farbe::N,будаг,farge
511,Kleidung::N,хувцас,påkledning
512,Hemd::N,цамц,skjorte
513,Kragen::N,зах заам,krage
514,Ärmel::N,ханцуй,erme
515,Hose::N,өмд,bukse
516,Gürtel::N,бүс,belte
517,Mütze::N,малгай,lue
518,Mütze::N,бүрх,lue
519,Schuh::N,туфли,sko
520,Stiefel::N,гутал,støvel
521,Ring::N,бөгж,ring
522,Band::N,тууз,band
523,Kamm::N,сам,kam
524,Spiegel::N,толь,speil
525,Riemen::N,тасам,rem
526,Riemen::N,сур,rem
527,Schnur::N,татлага,snor
528,Leine::N,оосор,line
529,Decke::N,хөнжил,teppe
530,Decke::N,хучлага,teppe
531,Kissen::N,дэр,pute
532,Tuch::N,алчуур,tøy
533,Tuch::N,даавуу,tøy
534,Handtuch::N,алчуур,håndkle
535,Kraft::N,чадал,kraft
536,Kraft::N,хүч,kraft
537,Stärke::N,эрч,styrke
538,Stärke::N,тэнхээ,styrke
539,Gesundheit::N,бие,helse
540,Gesundheit::N,бие,sunnhet
541,Gesundheit::N,эрүүл мэнд,helse
542,Gesundheit::N,эрүүл мэнд,sunnhet
543,Krankheit::N,эмгэг,syke
544,Krankheit::N,эмгэг,sykdom
545,Schmerz::N,өвчин,smerte
546,Wunde::N,шарх,sår
547,Fieber::N,халуун,feber
548,Arznei::N,эм,medisin
549,Arznei::N,эм,legemiddel
550,Brücke::N,гүүр,bro
551,Brunnen::N,худаг,brønn
552,Weide::N,бэлчээр,beite
553,Pfad::N,жим,sti
554,Pfad::N,зөрөг,sti
555,Weg::N,зам,vei
556,Weg::N,харгуй,vei
557,Straße::N,зам,gate
558,Straße::N,харгуй,gate
559,Dorf::N,тосгон,landsby
560,Dorf::N,гацаа,landsby
561,Stadt::N,хот,by
562,Brief::N,захидал,brev
563,Brief::N,захиа,brev
564,Buch::N,ном,bok
565,Buch::N,бичиг,bok
566,Buchstabe::N,үсэг,bokstav
567,Zeitung::N,сонин,avis
568,Leben::N,амь,liv
569,Leben::N,амьдрал,liv
570,Tod::N,үхэл,død
571,Grab::N,булш,grav
572,Kirche::N,сүм,kirke
573,Sünde::N,нүгэл,synd
574,Sünde::N,хилэнц,synd
575,Gott::N,бурхан,gud
576,Arbeiter::N,ажилчин,arbeider
577,Arbeiter::N,хөдөлмөрчин,arbeider
578,Chef::N,дарга,sjef
579,Meister::N,дархан,mester
580,Arzt::N,эмч,lege
581,Lehrer::N,багш,lærer
582,Geld::N,цаас,penger
583,Geld::N,мөнгө,penger
584,Geschäft::N,наймаа,forretning
585,Laden::N,дэлгүүр,butikk
586,Preis::N,үнэ,pris
587,Ware::N,таваар,vare
588,Ware::N,бараа,vare
589,Nutzen::N,ашиг,nytte
590,Reichtum::N,баялаг,rikdom
591,Welt::N,дэлхий,verden
592,Welt::N,орчлон,verden
593,Land::N,улс,land
594,Land::N,орон,land
595,Staat::N,төр,stat
596,Staat::N,гүрэн,stat
597,König::N,ван,konge
598,Macht::N,засаг,makt
599,Grenze::N,хил,grense
600,Krieg::N,дайн,krig
601,Feind::N,дайсан,fiende
602,Gewalt::N,хүчирхэх,vold
603,Kampf::N,тэмцэл,kamp
604,Kampf::N,байлдаан,kamp
605,Bogen[Waffe]::N,нум,bue
606,Pfeil::N,годил,pil
607,Pfeil::N,сум,pil
608,Gewehr::N,буу,gevær
609,Fehler::N,эндэл,feil
610,Fehler::N,алдаа,feil
611,Lüge::N,худал,løgn
612,Schaden::N,хор,skade
613,Schaden::N,хөнөөл,skade
614,Unglück::N,гай,uhell
615,Unglück::N,гамшиг,uhell
616,Schuld::N,гэм,skyld
617,Schuld::N,буруу,skyld
618,Alter::N,нас,alder
619,Schluss::N,эцэс,slutt
620,Schluss::N,төгсгөл,slutt
621,Zeit::N,цаг,tid
622,Tag::N,өдөр,dag
623,Morgen::N,өглөө,morgen
624,Mittag::N,үд,middag
625,Abend::N,үдэш,aften
626,Nacht::N,шөнө,natt
627,Woche::N,долоо хоног,uke
628,Monat::N,сар,måned
629,Jahr::N,жил,år
630,Frühling::N,хавар,vår
631,Sommer::N,зун,sommer
632,Herbst::N,намар,høst
633,Winter::N,өвөл,vinter
634,Januar::N,нэгдүгээр сар,januar
635,Februar::N,хоёрдугаар сар,februar
636,März::N,гуравдугаар сар,mars
637,April::N,дөрөвдүгээр сар,april
638,Mai::N,тавдугаар сар,mai
639,Juni::N,зургаадугаар сар,juni
640,Juli::N,долдугаар сар,juli
641,August::N,наймдугаар сар,august
642,September::N,есдүгээр сар,september
643,Oktober::N,аравдугаар сар,oktober
644,November::N,арван нэгдүгээр сар,november
645,Dezember::N,арван хоёрдугаар сар,desember
646,Montag::N,даваа,mandag
647,Dienstag::N,мягмар,tirsdag
648,Mittwoch::N,лхагва,onsdag
649,Donnerstag::N,пүрэв,torsdag
650,Freitag::N,баасан,fredag
651,Samstag::N,бямба,lørdag
652,Sonntag::N,ням,søndag
653,groß::A,их,stor
654,groß::A,том,stor
655,klein::A,бага,liten
656,klein::A,жаахан,liten
657,lang::A,урт,lang
658,kurz::A,охор,kort
659,kurz::A,богино,kort
660,breit::A,өргөн,bred
661,schmal::A,уйтан,smal
662,schmal::A,нарийн,smal
663,dicht::A,нягт,tett
664,dicht::A,чигжүү,tett
665,dick[Gegenstand]::A,зузаан,tykk
666,dünn::A,нимгэн,tynn
667,fein::A,нарийн,fin
668,fest::A,бөх,fast
669,fest::A,хатуу,fast
670,flach::A,хавтгай,flat
671,glatt::A,цагаан,glatt
672,hart::A,хатуу,hard
673,weich::A,зөөлөн,myk
674,weich::A,зөөлөн,bløt
675,rund::A,дугуй,rund
676,rund::A,дугариг,rund
677,spitz::A,шовх,spiss
678,spitz::A,шовгор,spiss
679,scharf::A,хурц,kvass
680,scharf::A,иртэй,kvass
681,stumpf::A,мохоо,stubb
682,schwer::A,хүнд,tung
683,schön::A,гуа,pen
684,schön::A,гуа,vakker
685,schön::A,сайхан,pen
686,schön::A,сайхан,vakker
687,heiß::A,халуун,het
688,warm::A,дулаан,varm
689,kalt::A,хүйтэн,kald
690,kühl::A,сэрүүн,kjølig
691,frisch::A,эрүүл,fersk
692,frisch::A,жихүүн,fersk
693,feucht::A,чийгтэй,fuktig
694,nass::A,нойтон,våt
695,trocken::A,хатсан,tørr
696,voll::A,дүүрэн,full
697,leer::A,хоосон,tom
698,offen::A,онгорхой,åpen
699,geschlossen::A,битүү,lukket
700,geschlossen::A,хаалтай,lukket
701,sauber::A,цэвэр,ren
702,sauber::A,хиргүй,ren
703,schmutzig::A,бохир,skitten
704,schmutzig::A,хиртэй,skitten
705,roh::A,түүхий,rå
706,reif::A,болсон,moden
707,lecker::A,амттай,lekker
708,süß::A,амттай,søt
709,süß::A,чихэрлэг,søt
710,bitter::A,гашуун,besk
711,bitter::A,гашуун,bitter
712,sauer::A,эсгэлэн,sur
713,hell::A,гэгээн,lys
714,hell::A,гэрэлтэй,lys
715,dunkel::A,бараан,mørk
716,dunkel::A,харанхуй,mørk
717,schwarz::A,хар,svart
718,weiß::A,цагаан,hvit
719,rot::A,улаан,rød
720,gelb::A,шар,gul
721,blau::A,хөх,blå
722,blau::A,цэнхэр,blå
723,grün::A,ногоон,grønn
724,grau::A,орог,grå
725,grau::A,саарал,grå
726,bunt::A,эрээн,broket
727,billig::A,хямд,billig
728,teuer::A,үнэтэй,dyr
729,wertvoll::A,үнэт,verdifull
730,blind::A,сохор,blind
731,taub::A,чих хатуу,døv
732,kräftig::A,чийрэг,kraftig
733,stark::A,хүчтэй,sterk
734,stark::A,чадалтай,sterk
735,schwach::A,сул,svak
736,fett::A,тарган,fet
737,fett::A,голигор,fet
738,schlank::A,голшиг,slank
739,hübsch::A,сайхан,pen
740,hübsch::A,хөөрхөн,pen
741,böse::A,муу,slem
742,böse::A,хортой,slem
743,dumm::A,тэнэг,dum
744,faul::A,залхуу,lat
745,faul::A,залхуу,doven
746,fleißig::A,чармайлтгай,flittig
747,geizig::A,харамч,gjerrig
748,klug::A,цэцэн,klok
749,geschickt::A,дүйтэй,hendig
750,geschickt::A,дүйтэй,skikket
751,lieb::A,хайрт,kjær
752,lieb::A,хайрт,snill
753,lustig::A,цэнгэлтэй,morsom
754,sanft::A,наалинхай,blid
755,hungrig::A,өлөн,sulten
756,hungrig::A,өлссөн,sulten
757,krank::A,өвчтэй,syk
758,nackt::A,нүцгэн,naken
759,traurig::A,гунигт,sørgmodig
760,lebendig::A,амьд,levende
761,lebendig::A,амьтай,levende
762,gut::A,сайн,god
763,schlecht::A,муу,dårlig
764,schlecht::A,өөдгүй,dårlig
765,richtig::A,зөв,riktig
766,richtig::A,зүйтэй,riktig
767,schlimm::A,муухай,slem
768,wahr::A,үнэн,sann
769,wahr::A,жинхэнэ,sann
770,alt::A,хуучин,gammel
771,neu::A,шинэ,ny
772,ehemalig::A,агсан,forhenværende
773,ehemalig::A,байсан,forhenværende
774,alt[Lebewesen]::A,өвгөн,gammel
775,alt[Lebewesen]::A,хижээл,gammel
776,jung::A,залуу,ung
777,arm::A,ядуу,fattig
778,reich::A,баян,rik
779,reich::A,баялаг,rik
780,bekannt::A,танил,kjent
781,berühmt::A,цуутай,berømt
782,berühmt::A,алдартай,berømt
783,fremd::A,харь,fremmed
784,fremd::A,гадаад,fremmed
785,verschieden::A,ондоо,forskjellig
786,verschieden::A,янз янзын,forskjellig
787,nah::A,ойрын,nær
788,nah::A,дөтийн,nær
789,fern::A,холын,fjern
790,linker::A,буруу,venstre
791,rechter::A,баруун,høyre
792,anderer::A,өөр,annen
793,anderer::A,нөгөө,annen
794,erster::A,нэгдэх,første
795,erster::A,нэгдүгээр,første
796,zweiter::A,хоёрдугаар,annen
797,dritter::A,гуравдугаар,tredje
798,letzter::A,сүүлийн,sist
799,allein::ADV,ганцаараа,alene
800,auf einmal::ADV,нэгмөсөн,med ett
801,zusammen::ADV,цуг,sammen
802,zusammen::ADV,хамт,sammen
803,lange::ADV,удаан,lenge
804,plötzlich::ADV,гэнэт,plutselig
805,sofort::ADV,дороо,straks
806,später::ADV,дараа,senere
807,jetzt::ADV,өнөө,nå
808,heute::ADV,өнөө,i dag
809,heute::ADV,өнөөдөр,i dag
810,morgen::ADV,маргааш,i morgen
811,morgen::ADV,маргаадар,i morgen
812,bald::ADV,түргэн,snart
813,bald::ADV,удахгүй,snart
814,dann::ADV,хожим,så
815,dann::ADV,тэгээд,så
816,gestern::ADV,өчигдөр,i går
817,einst::ADV,нэг,engang
818,damals::ADV,тэгэхэд,den gang
