,Concept_ID,myv,no
744,zurück::ADV,мекев,tilbake
745,unten::ADV,ало,nede
746,hinab::ADV,алов,ned
747,hinab::ADV,алов,nedover
748,oben::ADV,вере,oppe
749,oben::ADV,вере,ovenpå
750,hinauf::ADV,верев,opp
751,hinauf::ADV,верев,oppover
752,überall::ADV,эрьва косо,overalt
753,nicht::ADV,а,ikke
754,ein wenig::ADV,аламошка,litt
755,kaum::ADV,ансяк,neppe
756,sehr::ADV,пек,svært
757,sehr::ADV,вельть,svært
758,so::ADV,истя,så
759,noch::ADV,таго,enda
760,nur::ADV,ансяк,bare
761,schon::ADV,уш,alt
762,schon::ADV,уш,allerede
763,wieder::ADV,таго,igjen
764,vergebens::ADV,стяко,forgjeves
765,vor::PRP,икеле,foran
766,vor::PRP,икеле,utenfor
767,hinter::PRP,вельде,bak
768,hinter::PRP,вельде,bakom
769,unter::PRP,ало,under
770,durch::PRP,пачк,gjennom
771,durch::PRP,пачк,igjennom
772,neben::PRP,вакссо,ved siden av
773,zwischen::PRP,ютксо,mellom
774,wegen::PRP,кис,på grunn av
775,wegen::PRP,коряс,på grunn av
776,wegen::PRP,кувалт,på grunn av
777,dies::PRN,те,dette
778,das::PRN,те,det
779,das::PRN,тона,det
780,alles::PRN,весе,alt
781,alles::PRN,весемесь,alt
782,ich::PRN,мон,jeg
783,du::PRN,тон,du
784,er::PRN,сон,han
785,wir::PRN,минь,vi
786,ihr::PRN,тынь,dere
787,sie::PRN,сынь,de
788,was::FPRN,мезе,hva
789,wer::FPRN,ки,hvem
790,wo::FADV,косо,hvor
791,wohin::FADV,ков,hvor ... hen
792,wohin::FADV,козо,hvor ... hen
793,wie::FADV,кода,hvordan
794,warum::FADV,мекс,hvorfor
795,wieviel::FNUM,зяро,hvor mye
796,eins::NUM,вейке,en
797,eins::NUM,вейке,ett
798,zwei::NUM,кавто,to
799,drei::NUM,колмо,tre
800,vier::NUM,ниле,fire
801,fünf::NUM,вете,fem
802,sechs::NUM,кото,seks
803,sieben::NUM,сисем,sju
804,acht::NUM,кавксо,åtte
805,neun::NUM,вейксэ,ni
806,zehn::NUM,кемень,ti
807,elf::NUM,кевейкее,elleve
808,zwölf::NUM,кемгавтово,tolv
809,zwanzig::NUM,комсь,tjue
810,dreißig::NUM,колоньгемень,tretti
811,vierzig::NUM,ниленьгемень,førti
812,fünfzig::NUM,ведьгемень,femti
813,sechzig::NUM,кодгемень,seksti
814,siebzig::NUM,сизьгемень,sytti
815,achtzig::NUM,кавксоньгемень,åtti
816,neunzig::NUM,вейксэньгемень,nitti
817,hundert::NUM,сядо,hundre
818,tausend::NUM,тыща,tusen
819,und::CNJ,ды,og
820,oder::CNJ,или,eller
821,stehen::V,аштемс стядо,stå
822,sitzen::V,аштемс озадо,sitte
823,liegen::V,мадезь аштемс,ligge
824,hängen::V,нурьгемс,henge
825,werden::V,арамс,bli
826,passieren::V,лисэмс,skje
827,passieren::V,лисэмс,hende
828,beginnen::V,ушодомс,begynne
829,enden::V,лоткамс,ende
830,enden::V,лоткамс,slutte
831,wechseln::V,полавтнемс,veksle
832,aufgehen[Sonne]::V,лисемс,stå opp
833,aufgehen[Sonne]::V,стямс,stå opp
834,untergehen[Sonne]::V,валгомс,gå ned
