,Concept_ID,ka,no
102,Schaum::N,ქაფი,skum
103,Schaum::N,დორბლი,skum
104,Schmutz::N,ჭუჭყი,søl
105,Schmutz::N,ჭუჭყი,skitt
106,Schmutz::N,ტალახი,søl
107,Schmutz::N,ტალახი,skitt
108,See::N,ტბა,sjø
109,Sumpf::N,ჭაობი,sump
110,Sumpf::N,ჭაობი,myrlende
111,Moor::N,ტორფნარი,myr
112,Moor::N,ტორფნარი,myrhei
113,Wiese::N,ველი,eng
114,Wiese::N,მდელო,eng
115,Wald::N,ტყე,skog
116,Hügel::N,ბორცვი,haug
117,Hügel::N,ბორცვი,bakke
118,Anhöhe::N,მაღლობი,haug
119,Anhöhe::N,მაღლობი,bakke
120,Berg::N,მთა,berg
121,Berg::N,მთა,fjell
122,Gipfel::N,მწვერვალი,topp
123,Höhle::N,მღვიმე,hule
124,Höhle::N,გამოქვებული,hule
125,Abhang::N,ფერდობი,li
126,Abhang::N,ფერდობი,skråning
127,Quelle::N,წყარო,kilde
128,Quelle::N,სათავე,kilde
129,Bach::N,რუ,bekk
130,Bach::N,ნაკადული,bekk
131,Fluss::N,მდინარე,elv
132,Ufer::N,კიდე,bredd
133,Ufer::N,ნაპირი,bredd
134,Küste::N,ნაპირი,kyst
135,Festland::N,ხმელეთი,fastland
136,Meer::N,ზღვა,hav
137,Bucht::N,ყურე,bukt
138,Insel::N,კუნძული,øy
139,Blume::N,ყვავილი,blomst
140,Gras::N,ბალახი,gress
141,Wurzel::N,ძირი,rot
142,Wurzel::N,ფესვი,rot
143,Baum::N,ხე,tre
144,Stamm::N,ტანი,stamme
145,Rinde::N,ქერქი,bark
146,Ast::N,ტოტი,gren
147,Zweig::N,შტო,kvist
148,Blatt::N,ფოთოლი,blad
149,Birke::N,არყი,bjørk
150,Kiefer[Baum]::N,ფიჭვი,furu
151,Weide[Baum]::N,ტირიფი,selje
152,Weide[Baum]::N,ტირიფი,piletre
153,Tanne::N,ნაძვი,gran
154,Horn::N,რქა,horn
155,Feder::N,ფრთა,fjær
156,Fell::N,ტყავი,skinn
157,Flügel::N,ფრთა,vinge
158,Klaue::N,კლანჭი,klauv
159,Kralle::N,ტორი,klo
160,Schwanz::N,კუდი,hale
161,Ei::N,კვერცხი,egg
162,Nest::N,ბუდე,rede
163,Bau::N,სორო,hi
164,Tier::N,ნადირი,dyr
165,Tier::N,ცხოველი,dyr
166,Herde::N,ფარა,flokk
167,Kuh::N,ფური,ku
168,Kuh::N,ძროხა,ku
169,Bulle::N,ხარი,tyr
170,Pferd::N,რაში,hest
171,Pferd::N,ცხენი,hest
172,Schaf::N,ცხვარი,får
173,Schwein::N,ღორი,gris
174,Hund::N,ძაღლი,hund
175,Katze::N,კატა,katt
176,Bär::N,დათვი,bjørn
177,Eichhörnchen::N,ციყვი,ekorn
178,Elch::N,ცხენ-ირემი,elg
179,Fuchs::N,მელა,rev
180,Hase::N,კურდღელი,hare
181,Maus::N,თაგვი,mus
182,Wolf::N,მგელი,ulv
183,Wolf::N,მგელი,varg
184,Vogel::N,ჩიტი,fugl
185,Vogel::N,ფრინველი,fugl
186,Schwarm::N,გუნდი,sverm
187,Huhn::N,დედალი,høne
188,Hahn::N,მამალი,hane
189,Gans::N,ბატი,gås
190,Adler::N,არწივი,ørn
191,Ente::N,იხვი,and
192,Eule::N,ბუ,ugle
193,Kranich::N,წერო,trane
194,Krähe::N,ყვავი,kråke
195,Kuckuck::N,გუგული,gjøk
196,Schwan::N,გედი,svane
197,Fisch::N,თევზი,fisk
198,Barsch::N,ქორჭილა,abbor
199,Hecht::N,ქარიყლაპია,gjedde
200,Schlange[Tier]::N,გველი,orm
201,Schlange[Tier]::N,გველი,slange
202,Wurm::N,ჭია,orm
203,Wurm::N,ჭია,mark
204,Spinne::N,ობობა,edderkopp
205,Ameise::N,ჭიანჭველა,maur
206,Laus::N,ტილი,lus
207,Laus::N,მკბენარი,lus
208,Mücke::N,კოღო,mygg
209,Fliege::N,ბუზი,flue
210,Schmetterling::N,პეპელა,sommerfugl
211,Beere::N,კენკრა,bær
212,Apfel::N,ვაშლი,eple
213,Pilz::N,სოკო,sopp
214,Zwiebel::N,ხახვი,løk
215,Saat::N,თესლი,sæd
216,Korn::N,მარცვალი,korn
217,Heu::N,თივა,høy
218,Schale::N,ჩენჩო,skall
219,Grube::N,ორმო,grop
220,Falle::N,ხაფანგი,felle
221,Schlinge::N,მახე,snare
222,Spur::N,კვალი,spor
223,Asche::N,ფერფლი,aske
224,Dreck::N,ტალახი,møkk
225,Dreck::N,ტალახი,skitt
226,Dreck::N,სიბინძურე,møkk
227,Dreck::N,სიბინძურე,skitt
228,Eisen::N,რკინა,jern
229,Gold::N,ოქრო,gull
230,Silber::N,ვერცხლი,sølv
231,Kohle::N,ნახშირი,kol
232,Kohle::N,ნახშირი,kull
233,Glas::N,მინა,glass
234,Lehm::N,თიხა,leire
235,Sand::N,ქვიშა,sand
236,Mensch::N,ადამიანი,menneske
237,Mann::N,კაცი,mann
238,Frau::N,ქალი,kvinne
239,Kind::N,ბავშვი,barn
240,Junge::N,ვაჟი,gutt
241,Mädchen::N,გოგო,pike
242,Mädchen::N,გოგო,jente
243,Familie::N,ოჯახი,familie
244,Großvater::N,პაპა,bestefar
245,Großvater::N,ბაბუა,bestefar
246,Großmutter::N,ბებია,bestemor
247,Großmutter::N,დიდედა,bestemor
248,Eltern::N,მშობლები,foreldre
249,Vater::N,მამა,far
250,Mutter::N,დედა,mor
251,Sohn::N,ვაჟიშვილი,sønn
252,Tochter::N,ქალიშვილი,datter
253,Bruder::N,ძმა,bror
254,Schwester::N,და,søster
255,Onkel::N,ბიძა,onkel
256,Tante::N,დეიდა,tante
257,Tante::N,მამიდა,tante
258,Ehemann::N,ქმარი,ektemann
259,Ehefrau::N,ცოლი,hustru
260,Freude::N,სიხარული,glede
261,Gelächter::N,სიცილი,latter
262,Glück::N,ბედნიერება,lykke
263,Kummer::N,მწუხარება,sorg
264,Wunsch::N,წადილი,ønske
265,Wunsch::N,სურვილი,ønske
266,Lust::N,წადილი,lyst
267,Geist::N,სული,ånd
268,Gedanke::N,ფიქრი,tanke
269,Gedächtnis::N,მეხსიერება,minne
270,Gedächtnis::N,მეხსიერება,hukommelse
271,Verstand::N,ჭკუა,forstand
272,Verstand::N,გონება,forstand
273,Sinn::N,მნიშვნელობა,mening
274,Sinn::N,მნიშვნელობა,betydning
275,Grund::N,მიზეზი,grunn
276,Wahrheit::N,სიმართლე,sannhet
277,Wahrheit::N,ჭეშმარიტება,sannhet
278,Gespräch::N,ბაასი,samtale
279,Gespräch::N,საუბარი,samtale
280,Märchen::N,არაკი,eventyr
281,Märchen::N,ზღაპარი,eventyr
282,Erzählung::N,თქმულება,fortelling
283,Nachricht::N,ცნობა,melding
284,Nachricht::N,ამბავი,melding
285,Neuigkeit::N,სიახლე,nyhet
286,Name::N,სახელი,navn
287,Rätsel::N,გამოცანა,gåte
288,Rede::N,სიტყვა,tale
289,Sprache::N,ენა,språk
290,Stimme::N,ხმა,stemme
291,Wort::N,სიტყვა,ord
292,Zeichen::N,ნიშანი,tegn
293,Ruf::N,ძახილი,rop
294,Lärm::N,ხმაური,bråk
295,Laut::N,ხმა,lyd
296,Laut::N,ბგერა,lyd
297,Ton::N,ტონი,tone
298,Lied::N,სიმღერა,vise
299,Ruhe::N,სიწყნარე,ro
300,Leute::N,ადამიანები,folk
301,Volk::N,ერი,folk
302,Volk::N,ხალხი,folk
303,Arbeit::N,მუშაობა,arbeid
304,Gast::N,სტუმარი,gjest
305,Geschenk::N,საჩუქარი,gave
306,Spiel::N,თამაში,lek
307,Spiel::N,თამაში,spill
308,Gesellschaft::N,საზოგადოება,selskap
309,Hilfe::N,შველა,hjelp
310,Hilfe::N,დახმარება,hjelp
311,Freund::N,მეგობარი,venn
312,Kamerad::N,ამხანაგი,kamerat
313,Angelegenheit::N,საქმე,sak
314,Angelegenheit::N,საქმე,anliggende
315,Anzahl::N,ოდენობა,antall
316,Art::N,სახეობა,art
317,Art::N,სახეობა,slag
318,Stück::N,ნატეხი,stykke
319,Teil::N,წილი,del
320,Hälfte::N,ნახევარი,halvdel
321,Kreis::N,წრე,ring
322,Kreis::N,წრე,sirkel
323,Kreuz::N,ჯვარი,kors
324,Kreuz::N,ჯვარი,kryss
325,Linie::N,ხაზი,linje
326,Strich::N,შტრიხი,strek
327,Abstand::N,მანძილი,avstand
328,Entfernung::N,სიშორე,avstand
329,Gegend::N,არე,strøk
330,Gegend::N,მხარე,strøk
331,Platz::N,ფართობი,plass
332,Ort::N,ადგილი,sted
333,Seite::N,მხარე,side
334,Mitte::N,შუა,midte
335,Gegenstand::N,საგანი,gjenstand
336,Sache::N,ნივთი,sak
337,Rand::N,კიდე,rand
338,Kante::N,ნაწიბული,kant
339,Ecke::N,კუთხე,hjørne
340,Spitze::N,წვეტი,spiss
341,Ende::N,ბოლო,ende
342,Loch::N,ხვრელი,hull
343,Winkel::N,კუთხე,vinkel
344,Muster::N,მოხატულობა,mønster
345,Größe::N,ზომა,størrelse
346,Größe::N,სიდიდე,størrelse
347,Länge::N,სიგრძე,lengde
348,Höhe::N,სიმაღლე,høyde
349,Gewicht::N,წონა,vekt
350,Menge::N,რაოდენობა,mengde
351,Haufen::N,გროვა,haug
352,Haufen::N,გროვა,bunke
353,Reihe::N,რიგი,rekke
354,Reihe::N,წყება,rekke
355,Boot::N,გემი,båt
356,Ruder::N,ხოფი,åre
357,Ruder::N,ნიჩაბი,åre
358,Schlitten::N,მარხილი,slede
359,Schlitten::N,მარხილი,kjelke
360,Ski::N,თხილამური,ski
361,Lagerfeuer::N,კოცონი,leirbål
362,Last::N,ტვირთი,bør
363,Last::N,ტვირთი,last
364,Gang::N,სვლა,gang
365,Schritt::N,ბიჯი,steg
366,Schritt::N,ბიჯი,skritt
367,Norden::N,ჩრდილოეთი,nord
368,Süden::N,სამხრეთი,sør
369,Westen::N,დასავლეთი,vest
370,Osten::N,აღმოსავლეთი,øst
371,Holz::N,ხე,tre
372,Brett::N,დაფა,fjøl
373,Brett::N,დაფა,brett
374,Brett::N,ფიცარი,fjøl
375,Brett::N,ფიცარი,brett
376,Platte::N,თლილი ქვა,plate
377,Stütze::N,საყრდენი,støtte
378,Stange::N,ჭოკი,stang
379,Stock::N,კეტი,pinne
380,Stab::N,ლატანი,stav
381,Stab::N,ლატანი,kjepp
382,Rohr::N,მილაკი,rør
383,Haus::N,სახლი,hus
384,Heim::N,ოჯახის კერა,hjem
385,Ofen::N,ღუმელი,ovn
386,Fußboden::N,იატაკი,gulv
387,Tisch::N,სუფრა,bord
388,Tisch::N,მაგიდა,bord
389,Stuhl::N,სკამი,stol
390,Wiege::N,აკვანი,vogge
391,Bett::N,საწოლი,seng
392,Bett::N,სარეცელი,seng
393,Regal::N,თაროები,reol
394,Regal::N,თაროები,hylle
395,Kiste::N,ყუთი,kasse
396,Kiste::N,სკივრი,kasse
397,Fenster::N,ფანჯარა,vindu
398,Fenster::N,სარკმელი,vindu
399,Tür::N,ბჭე,dør
400,Tür::N,კარი,dør
401,Tor::N,ჭიშკარი,port
402,Zaun::N,ღობე,gjerde
403,Zaun::N,გალავანი,gjerde
404,Dach::N,სახურავი,tak
405,Leiter::N,კიბე,stige
406,Besen::N,ცოცხი,kost
407,Spaten::N,ნიჩაბი,spade
408,Schaufel::N,ბარი,skuffe
409,Gabel::N,ჩანგალი,gaffel
410,Löffel::N,კოვზი,skje
411,Messer::N,დანა,kniv
412,Nagel::N,ლურსმანი,spiker
413,Netz::N,ბადე,nett
414,Haken::N,კავი,krok
415,Haken::N,კაუჭი,krok
416,Griff::N,ტარი,tak
417,Griff::N,ტარი,håndtak
418,Schloss::N,კლიტე,lås
419,Schloss::N,საკეტი,lås
420,Bild::N,სურათი,bilde
421,Figur::N,ფიგურა,figur
422,Puppe::N,თოჯინა,dukke
423,Beutel::N,პარკი,pose
424,Bündel::N,გალა,bylt
425,Bündel::N,ასხმა,bylt
426,Tasche::N,ჩანთა,veske
427,Eimer::N,ჩამჩა,bøtte
428,Deckel::N,ხუფი,lokk
429,Deckel::N,სარქველი,lokk
430,Geschirr::N,ჭურჭელი,kjøkkentøy
431,Sack::N,ტომარა,sekk
432,Tasse::N,ფინჯანი,kopp
433,Topf::N,ქოთანი,gryte
434,Kessel::N,ქვაბი,kjele
435,Essen::N,ჭამა,mål
436,Nahrung::N,საზრდო,mat
437,Nahrung::N,საზრდო,næring
438,Nahrung::N,საკვები,mat
439,Nahrung::N,საკვები,næring
440,Speise::N,საჭმელი,matrett
441,Fleisch::N,ხორცი,kjøtt
442,Getreide::N,მარცვლოვანი,korn
443,Brei::N,ფაფა,grøt
444,Brot::N,პური,brød
445,Scheibe::N,ნაჭერი,skive
446,Fett::N,ქონი,fett
447,Fett::N,ცხიმი,fett
448,Butter::N,კარაქი,smør
449,Öl::N,ზეთი,olje
450,Salz::N,მარილი,salt
451,Suppe::N,სუფი,suppe
452,Honig::N,თაფლი,honning
453,Milch::N,რძე,melk
454,Tee::N,ჩაი,te
455,Leder::N,ტყავი,lær
456,Leder::N,ტყავი,skinn
457,Wolle::N,მატყლი,ull
458,Stoff::N,ქსოვილი,tøy
459,Stoff::N,ქსოვილი,stoff
460,Nadel::N,ნემსი,nål
461,Faden::N,ძაფი,tråd
462,Faden::N,მკედი,tråd
463,Knopf::N,ღილი,knapp
464,Knoten::N,ნასკვი,knute
465,Farbe::N,საღებავი,farge
466,Kleidung::N,ტანსაცმელი,påkledning
467,Hemd::N,ხალათი,skjorte
468,Hemd::N,პერანგი,skjorte
469,Kragen::N,საყელო,krage
470,Ärmel::N,სახელო,erme
471,Hose::N,შარვალი,bukse
472,Gürtel::N,ქამარი,belte
473,Mütze::N,ქუდი,lue
474,Schuh::N,ფეხსაცმელი,sko
475,Stiefel::N,ჩექმა,støvel
476,Ring::N,ბეჭედი,ring
477,Band::N,ბაფთი,band
478,Kamm::N,სავარცხელი,kam
479,Spiegel::N,სარკე,speil
480,Riemen::N,ღვედი,rem
481,Schnur::N,ლარი,snor
482,Leine::N,ჯაჭვი,line
483,Decke::N,საბანი,teppe
484,Kissen::N,ბალიში,pute
485,Tuch::N,მაუდი,tøy
486,Tuch::N,თავშალი,tøy
487,Handtuch::N,ხელსახოცი,håndkle
488,Kraft::N,ძალა,kraft
489,Stärke::N,ღონე,styrke
490,Gesundheit::N,ჯანმრთელობა,helse
491,Gesundheit::N,ჯანმრთელობა,sunnhet
492,Krankheit::N,სენი,syke
493,Krankheit::N,სენი,sykdom
494,Krankheit::N,ავადმყოფობა,syke
495,Krankheit::N,ავადმყოფობა,sykdom
496,Schmerz::N,ტკივილი,smerte
497,Wunde::N,იარი,sår
498,Wunde::N,ჭრილობა,sår
499,Fieber::N,ციება,feber
500,Arznei::N,წამალი,medisin
501,Arznei::N,წამალი,legemiddel
502,Brücke::N,ხიდი,bro
503,Brunnen::N,ჭა,brønn
504,Weide::N,საძოვარი,beite
505,Pfad::N,ბილიკი,sti
506,Weg::N,გზა,vei
507,Straße::N,შარაგზა,gate
508,Dorf::N,დაბა,landsby
509,Dorf::N,სოფელი,landsby
510,Stadt::N,ქალაქი,by
511,Brief::N,წერილი,brev
512,Buch::N,წიგნი,bok
513,Buchstabe::N,ასო,bokstav
514,Zeitung::N,გაზეთი,avis
515,Leben::N,სიცოცხლე,liv
516,Tod::N,სიკვდილი,død
517,Grab::N,სამარე,grav
518,Grab::N,საფლავი,grav
519,Kirche::N,ეკლესია,kirke
520,Sünde::N,ცოდვა,synd
521,Gott::N,ღმერთი,gud
522,Arbeiter::N,მუშა,arbeider
523,Chef::N,გამგე,sjef
524,Meister::N,ოსტატი,mester
525,Arzt::N,ექიმი,lege
526,Arzt::N,მკურნალი,lege
527,Lehrer::N,მასწავლებელი,lærer
528,Geld::N,ფული,penger
529,Geschäft::N,საქმე,forretning
530,Geschäft::N,ბიზნესი,forretning
531,Laden::N,დუქანი,butikk
532,Laden::N,მაღაზია,butikk
533,Preis::N,ფასი,pris
534,Ware::N,საქონელი,vare
535,Nutzen::N,ხეირი,nytte
536,Reichtum::N,სიმდიდრე,rikdom
537,Welt::N,მსოფლიო,verden
538,Land::N,მხარე,land
539,Land::N,ქვეყანა,land
540,Staat::N,სახელმწიფო,stat
541,König::N,მეფე,konge
542,Macht::N,ძლიერება,makt
543,Grenze::N,ზღვარი,grense
544,Krieg::N,ომი,krig
545,Feind::N,მტერი,fiende
546,Gewalt::N,სისასტიკე,vold
547,Kampf::N,ბრძოლა,kamp
548,Bogen[Waffe]::N,მშვილდი,bue
549,Pfeil::N,ისარი,pil
550,Pfeil::N,მახვილი,pil
551,Gewehr::N,თოფი,gevær
552,Gewehr::N,შაშხანა,gevær
553,Fehler::N,შეცდომა,feil
554,Lüge::N,სიცრუე,løgn
555,Schaden::N,ვნება,skade
556,Unglück::N,ხიფათი,uhell
557,Unglück::N,უბედურება,uhell
558,Schuld::N,ბრალი,skyld
559,Alter::N,ასაკი,alder
560,Schluss::N,ბოლო,slutt
561,Schluss::N,დასასრული,slutt
562,Zeit::N,დრო,tid
563,Tag::N,დღე,dag
564,Morgen::N,დილა,morgen
565,Mittag::N,შუადღე,middag
566,Abend::N,საღამო,aften
567,Nacht::N,ღამე,natt
568,Woche::N,კვირა,uke
569,Monat::N,თვე,måned
570,Jahr::N,წელი,år
571,Frühling::N,გაზაფხული,vår
572,Sommer::N,ზაფხული,sommer
573,Herbst::N,შემოდგომა,høst
574,Winter::N,ზამთარი,vinter
575,Januar::N,იანვარი,januar
576,Februar::N,თებერვალი,februar
577,März::N,მარტი,mars
578,April::N,აპრილი,april
579,Mai::N,მაისი,mai
580,Juni::N,ივნისი,juni
581,Juli::N,ივლისი,juli
582,August::N,აგვისტო,august
583,September::N,სექტემბერი,september
584,Oktober::N,ოქტომბერი,oktober
585,November::N,ნოემბერი,november
586,Dezember::N,დეკემბერი,desember
587,Montag::N,ორშაბათი,mandag
588,Dienstag::N,სამშაბათი,tirsdag
589,Mittwoch::N,ოთხშაბათი,onsdag
590,Donnerstag::N,ხუთშაბათი,torsdag
591,Freitag::N,პარასკევი,fredag
592,Samstag::N,შაბათი,lørdag
593,Sonntag::N,კვირა,søndag
594,groß::A,დიდი,stor
595,klein::A,მცირე,liten
596,klein::A,პატარა,liten
597,lang::A,გრძელი,lang
598,kurz::A,მოკლე,kort
599,breit::A,ფართო,bred
600,breit::A,განიერი,bred
601,schmal::A,ვიწრო,smal
602,schmal::A,წვრილი,smal
603,dicht::A,მჭიდრო,tett
604,dick[Gegenstand]::A,სქელი,tykk
605,dünn::A,წვრილი,tynn
606,fein::A,თხელი,fin
607,fest::A,მყარი,fast
608,flach::A,ბრტყელი,flat
609,glatt::A,გლუ,glatt
610,hart::A,მაგარი,hard
611,weich::A,რბილი,myk
612,weich::A,რბილი,bløt
613,rund::A,მრგვალი,rund
614,spitz::A,წვეტიანი,spiss
615,scharf::A,მჭრელი,kvass
616,stumpf::A,ბლაგვი,stubb
617,schwer::A,მძიმე,tung
618,schön::A,ლამაზი,pen
619,schön::A,ლამაზი,vakker
620,heiß::A,ცხელი,het
621,warm::A,თბილი,varm
622,kalt::A,ცივი,kald
623,kühl::A,გრილი,kjølig
624,frisch::A,სუფთა,fersk
625,feucht::A,ნოტიო,fuktig
626,nass::A,სველი,våt
627,trocken::A,მშრალი,tørr
628,voll::A,სავსე,full
629,leer::A,ცარიელი,tom
630,offen::A,ღია,åpen
631,offen::A,გაშლილი,åpen
632,geschlossen::A,დახურული,lukket
633,sauber::A,სუფთა,ren
634,sauber::A,წმინდა,ren
635,schmutzig::A,ტალახიანი,skitten
636,roh::A,უმი,rå
637,reif::A,მწიფე,moden
638,lecker::A,გემრიელი,lekker
639,süß::A,ტკბილი,søt
640,bitter::A,მწარე,besk
641,bitter::A,მწარე,bitter
642,sauer::A,მჟავე,sur
643,hell::A,ნათელი,lys
644,dunkel::A,ბნელი,mørk
645,schwarz::A,შავი,svart
646,weiß::A,თეთრი,hvit
647,rot::A,წითელი,rød
648,gelb::A,ყვითელი,gul
649,blau::A,ლურჯი,blå
650,blau::A,ცისფერი,blå
651,grün::A,მწვანე,grønn
652,grau::A,რუხი,grå
653,grau::A,ნაცრისფერი,grå
654,bunt::A,ჭრელი,broket
655,bunt::A,ფერადი,broket
656,billig::A,იაფი,billig
657,teuer::A,ძვირი,dyr
658,wertvoll::A,ღირსიანი,verdifull
659,blind::A,ბრმა,blind
660,taub::A,ყრუ,døv
661,kräftig::A,ძალავანი,kraftig
662,stark::A,ძლიერი,sterk
663,stark::A,ღონიერი,sterk
664,schwach::A,სუსტი,svak
665,fett::A,სქელი,fet
666,schlank::A,გამხდარი,slank
667,hübsch::A,ეშხიანი,pen
668,hübsch::A,მშვენიერი,pen
669,böse::A,ავი,slem
670,böse::A,ბოროტი,slem
671,dumm::A,ბოთე,dum
672,dumm::A,სულელი,dum
673,faul::A,ზანტი,lat
674,faul::A,ზანტი,doven
675,faul::A,ზარმაცი,lat
676,faul::A,ზარმაცი,doven
677,fleißig::A,ბეჯითი,flittig
678,fleißig::A,მუყაითი,flittig
679,geizig::A,ძუნწი,gjerrig
680,klug::A,ჭკვიანი,klok
681,geschickt::A,მარჯვე,hendig
682,geschickt::A,მარჯვე,skikket
683,geschickt::A,გაწაფული,hendig
684,geschickt::A,გაწაფული,skikket
685,lieb::A,სატრფიალო,kjær
686,lieb::A,სატრფიალო,snill
687,lustig::A,მხიარული,morsom
688,sanft::A,ალერსიანი,blid
689,sanft::A,გრძნობიერი,blid
690,hungrig::A,მშიერი,sulten
691,krank::A,სნეული,syk
692,krank::A,ავადმყოფი,syk
693,nackt::A,ტიტველი,naken
694,traurig::A,მწუხარე,sørgmodig
695,traurig::A,სევდიანი,sørgmodig
696,lebendig::A,ცოცხალი,levende
697,gut::A,კარგი,god
698,schlecht::A,უხეირო,dårlig
699,richtig::A,ნამდვილი,riktig
700,schlimm::A,ცუდი,slem
701,wahr::A,სწორი,sann
702,wahr::A,ჭეშმარიტი,sann
703,alt::A,ძველი,gammel
704,neu::A,ახალი,ny
705,ehemalig::A,ყოფილი,forhenværende
706,alt[Lebewesen]::A,ბებერი,gammel
707,jung::A,ნორჩი,ung
708,jung::A,ახალგაზრდა,ung
709,arm::A,ღარიბი,fattig
710,reich::A,მდიდარი,rik
711,bekannt::A,ცნობილი,kjent
712,berühmt::A,გამოჩენილი,berømt
713,fremd::A,უცხო,fremmed
714,fremd::A,გარეშე,fremmed
715,verschieden::A,სხვაგვარი,forskjellig
716,nah::A,ახლო,nær
717,fern::A,შორი,fjern
718,fern::A,შორეული,fjern
719,linker::A,მარცხენა,venstre
720,rechter::A,მარჯვენა,høyre
721,anderer::A,სხვა,annen
722,erster::A,პირველი,første
723,zweiter::A,მეორე,annen
724,dritter::A,მესამე,tredje
725,letzter::A,ბოლო,sist
726,letzter::A,უკანასკნელი,sist
727,allein::ADV,მარტო,alene
728,auf einmal::ADV,ერთდროულად,med ett
729,zusammen::ADV,ერთად,sammen
730,lange::ADV,დიდხანს,lenge
731,plötzlich::ADV,მოულოდნელად,plutselig
732,sofort::ADV,ახლავე,straks
733,später::ADV,მოგვიანებით,senere
734,jetzt::ADV,ახლა,nå
735,heute::ADV,დღეს,i dag
736,morgen::ADV,ხვალ,i morgen
737,bald::ADV,მალე,snart
738,dann::ADV,მერე,så
739,gestern::ADV,გუშინ,i går
740,einst::ADV,ოდესღაც,engang
741,damals::ADV,მაშინ,den gang
742,danach::ADV,მერმე,deretter
743,danach::ADV,შემდეგ,deretter
744,vorher::ADV,ადრე,før
745,vorher::ADV,ადრე,i forveien
746,vorher::ADV,წინათ,før
747,vorher::ADV,წინათ,i forveien
748,zuerst::ADV,ჯერ,først
749,einmal::ADV,ერთხელ,en gang
750,manchmal::ADV,ხან,somme tider
751,manchmal::ADV,ზოგჯერ,somme tider
752,oft::ADV,ხშირად,ofte
753,immer::ADV,მუდამ,alltid
